,group,series,carbon,transfer,day
C0C,C0C,C0C,C0C,C0C,10
1C3A,1C,C,C,1,3
1C3B,1C,C,C,1,3
1C5A,1C,C,C,1,5
1C5B,1C,C,C,1,5
1C7A,1C,C,C,1,7
1C7B,1C,C,C,1,7
1C10A,1C,C,C,1,10
1C10B,1C,C,C,1,10
1C20B,1C,C,C,1,20
1C20A,1C,C,C,1,20
2C3A,2C,C,C,2,3
2C3B,2C,C,C,2,3
2C5A,2C,C,C,2,5
2C5B,2C,C,C,2,5
2C10A,2C,C,C,2,10
2C10B,2C,C,C,2,10
1M3A,1M,M,M,1,3
1M3B,1M,M,M,1,3
1M3C,1M,M,M,1,3
1M5A,1M,M,M,1,5
1M5B,1M,M,M,1,5
1M5C,1M,M,M,1,5
1M7A,1M,M,M,1,7
1M7B,1M,M,M,1,7
1M7C,1M,M,M,1,7
1M10A,1M,M,M,1,10
1M10B,1M,M,M,1,10
1M10C,1M,M,M,1,10
2M3A,2M,M,C,2,3
2M3B,2M,M,C,2,3
2M3C,2M,M,C,2,3
2M5A,2M,M,C,2,5
2M5B,2M,M,C,2,5
2M7A,2M,M,C,2,7
2M7B,2M,M,C,2,7
2M7C,2M,M,C,2,7
2M10A,2M,M,C,2,10
2M10B,2M,M,C,2,10
2M10C,2M,M,C,2,10
3M3A,3M,M,C,3,3
3M3B,3M,M,C,3,3
3M3C,3M,M,C,3,3
3M5B,3M,M,C,3,5
3M5C,3M,M,C,3,5
3M5A,3M,M,C,3,5
3M7A,3M,M,C,3,7
3M7B,3M,M,C,3,7
3M7C,3M,M,C,3,7
3M10A,3M,M,C,3,10
3M10B,3M,M,C,3,10
3M10C,3M,M,C,3,10
1G3A,1G,G,G,1,3
1G3B,1G,G,G,1,3
1G3C,1G,G,G,1,3
1G5A,1G,G,G,1,5
1G5B,1G,G,G,1,5
1G5C,1G,G,G,1,5
1G7A,1G,G,G,1,7
1G7B,1G,G,G,1,7
1G7C,1G,G,G,1,7
1G10A,1G,G,G,1,10
1G10B,1G,G,G,1,10
1G10C,1G,G,G,1,10
2G3A,2G,G,C,2,3
2G3B,2G,G,C,2,3
2G3C,2G,G,C,2,3
2G5A,2G,G,C,2,5
2G5B,2G,G,C,2,5
2G5C,2G,G,C,2,5
2G7A,2G,G,C,2,7
2G7B,2G,G,C,2,7
2G7C,2G,G,C,2,7
2G10A,2G,G,C,2,10
2G10B,2G,G,C,2,10
2G10C,2G,G,C,2,10
3G3A,3G,G,C,3,3
3G3B,3G,G,C,3,3
3G3C,3G,G,C,3,3
3G5A,3G,G,C,3,5
3G5B,3G,G,C,3,5
3G5C,3G,G,C,3,5
3G7A,3G,G,C,3,7
3G7B,3G,G,C,3,7
3G7C,3G,G,C,3,7
3G10A,3G,G,C,3,10
3G10B,3G,G,C,3,10
