,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,desulfovibrio desulfuricans,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,bradyrhizobium elkanii,clostridium spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis,vitis vinifera,methylocystis heyerii,micrococcus luteus,pseudomonas veronii,streptococcus salivarius,stenotrophomonas spp.,zoogloea sp.,bordetella hinzii,cytophaga spp.,rhizobium straminoryzae,methanosaeta sp.,pontibacter korlensis,bacteroides fragilis,sphingobium yanoikuyae,rhodothermus spp.,rhodovibrio sodomensis,rhizobium sp.,enterobacter sp.,gemmatimonas spp.,bacteroides caccae,eubacterium rectale,citrobacter sp.,pseudomonas spp.,hydrogenophaga spp.,atopostipes sp.,rhodovibrio spp.,ochrobactrum intermedium,pseudochrobactrum kiredjianiae,steroidobacter spp.,oligotropha carboxidovorans,salinibacter spp.,pantoea agglomerans,chelatococcus spp.,streptococcus sanguinis,afipia broomeae,prevotella sp.,thioalkalivibrio spp.,methyloligella halotolerans,rhodopseudomonas oryzae,porphyromonas spp.,methylocella silvestris,rhodoplanes spp.,sphingobacterium spp.,nitrobacter spp.,spirosoma spp.,pseudomonas sp.,hartmannibacter stappia sp.,aquabacterium spp.,neisseria perflava,tumebacillus sp.,staphylococcus aureus,phyllobacterium sp.,lactobacillus iners,roseburia spp.,paenibacillus spp.,streptococcus thermophilus,stenoxybacter spp.,elizabethkingia meningoseptica,oribacterium sinus,flexithrix dorotheae,methylococcus capsulatus,flavobacterium sp.,prevotella spp.,methylopila sp.,acinetobacter lwoffii,parabacteroides spp.,enhydrobacter aerosaccus,prevotella pallens,fusobacterium nucleatum,burkholderia ubonensis,aeromonas spp.,methylocystis sp.,corynebacterium tuberculostearicum,sphingomonas faeni,prevotella nanceiensis,lactobacillus helveticus,bacillus thermoamylovorans,bosea spp.,corynebacterium durum
C0C,0.20768611076441287,0.18667241555376532,0.11138846969920461,0.10528405931943767,0.07463719605596088,0.07261752124629821,0.06137315194081672,0.051297470867892846,0.044398806349494516,0.02221642290628936,0.020798111944447598,0.016202784428080288,0.007579453780082375,0.0062632612074932205,0.003891845279293795,0.0017700520803785188,0.0014069644741470278,0.0008282936017155889,0.000714828724768248,0.00030635516775782056,0.0002609692169788842,0.000238276241589416,0.00020423677850521372,0.00017019731542101144,0.00014750434003154325,0.00013615785233680913,0.00012481136464207503,0.00012481136464207503,7.942541386313867e-05,7.942541386313867e-05,7.942541386313867e-05,6.807892616840456e-05,6.807892616840456e-05,6.807892616840456e-05,5.673243847367048e-05,5.673243847367048e-05,5.673243847367048e-05,4.538595077893638e-05,4.538595077893638e-05,4.538595077893638e-05,4.538595077893638e-05,3.403946308420228e-05,3.403946308420228e-05,3.403946308420228e-05,3.403946308420228e-05,2.269297538946819e-05,2.269297538946819e-05,2.269297538946819e-05,2.269297538946819e-05,2.269297538946819e-05,2.269297538946819e-05,2.269297538946819e-05,2.269297538946819e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,1.1346487694734096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C3A,0.2669821401312777,0.056341155409999864,0.18961712993158575,0.1275447190574652,0.012517172950694551,0.026241656374460527,0.05060989994587919,0.038828214984527,0.016139104369908827,0.00356642289171674,0.19074117761341086,0.004315788012933487,0.001845658539293099,0.0006938565937192102,0.004190893826064029,0.0007493651212167469,0.004190893826064029,0.00013877131874384202,0.001637501561177336,0.00011101705499507362,0.0008465050443374364,0.00020815697811576303,1.3877131874384203e-05,0.00020815697811576303,4.163139562315261e-05,2.7754263748768406e-05,8.326279124630521e-05,2.7754263748768406e-05,8.326279124630521e-05,0.00013877131874384202,0.0,5.550852749753681e-05,0.00020815697811576303,0.0,5.550852749753681e-05,0.00036080542873398924,1.3877131874384203e-05,2.7754263748768406e-05,0.0,0.0,0.0,4.163139562315261e-05,9.713992312068942e-05,5.550852749753681e-05,1.3877131874384203e-05,2.7754263748768406e-05,1.3877131874384203e-05,6.938565937192101e-05,1.3877131874384203e-05,0.0,0.0,0.0,0.0,5.550852749753681e-05,0.0,0.0,4.163139562315261e-05,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,2.7754263748768406e-05,1.3877131874384203e-05,0.0,0.0,0.0,0.0,1.3877131874384203e-05,1.3877131874384203e-05,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C3B,0.2904855458882964,0.05205861590930353,0.1632434363279157,0.11769108429226308,0.011864363534304595,0.026509835940091344,0.04106175422481906,0.032811981731431634,0.011541176570646119,0.0018795873412769286,0.22940320975684433,0.007662933006744401,0.0031128007552369045,0.0006888985277983314,0.0033509385179326242,0.0004422558450063362,0.002262308745609335,0.0002041180823106167,0.0014373314962705926,0.00012757380144413544,0.0001445836416366868,0.0001615934818292382,5.9534440673929865e-05,0.00013607872154041114,8.504920096275696e-06,4.2524600481378476e-05,4.2524600481378476e-05,2.5514760288827087e-05,4.2524600481378476e-05,0.00013607872154041114,2.5514760288827087e-05,5.1029520577654174e-05,0.000195613162214341,8.504920096275696e-06,8.504920096275696e-06,0.0004507607651026119,6.803936077020557e-05,1.7009840192551392e-05,0.0,0.0,0.0,5.9534440673929865e-05,5.1029520577654174e-05,2.5514760288827087e-05,0.0,2.5514760288827087e-05,2.5514760288827087e-05,7.654428086648125e-05,2.5514760288827087e-05,0.0,0.0,0.0,0.0,4.2524600481378476e-05,1.7009840192551392e-05,3.4019680385102785e-05,8.504920096275696e-06,0.0,8.504920096275696e-06,1.7009840192551392e-05,0.0,0.0,0.0,8.504920096275696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7009840192551392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504920096275696e-06,1.7009840192551392e-05,1.7009840192551392e-05,0.0,8.504920096275696e-06,0.0,0.0,0.0,0.0,8.504920096275696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504920096275696e-06,0.0,0.0,0.0,0.0,8.504920096275696e-06,0.0,0.0,0.0,8.504920096275696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504920096275696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C5A,0.1941179986849184,0.023516049973100604,0.29457827724311075,0.0978898918046506,0.008607806802558432,0.01817203658317891,0.03157391356327336,0.027592802917090084,0.024460517663936875,0.0031681511148305337,0.07891685097734473,0.0034789885827006995,0.0013270368820610915,0.00017932930838663398,0.18213880088469125,0.00019128459561240958,0.0013629027437384183,0.00033474804232171677,0.0017693825094147887,1.1955287225775599e-05,0.00029888218064439,0.00046625620180524836,7.17317233546536e-05,0.002056309402833403,1.1955287225775599e-05,0.0,2.3910574451551197e-05,0.0003227927550959412,0.00025106103174128756,4.7821148903102395e-05,1.1955287225775599e-05,3.58658616773268e-05,0.0001075975850319804,0.0,2.3910574451551197e-05,0.00025106103174128756,0.00016737402116085838,2.3910574451551197e-05,0.0,1.1955287225775599e-05,0.0,2.3910574451551197e-05,2.3910574451551197e-05,3.58658616773268e-05,0.0,0.0,5.9776436128878e-05,0.0001075975850319804,1.1955287225775599e-05,2.3910574451551197e-05,1.1955287225775599e-05,0.0,0.0,0.0002869268934186144,0.000836870105804292,0.0,1.1955287225775599e-05,0.0002869268934186144,0.0,5.9776436128878e-05,9.564229780620479e-05,0.0,2.3910574451551197e-05,0.0,0.0,0.0,0.0,0.0,1.1955287225775599e-05,0.0,0.0,2.3910574451551197e-05,4.7821148903102395e-05,0.0,0.0,0.0,0.0,2.3910574451551197e-05,2.3910574451551197e-05,1.1955287225775599e-05,5.9776436128878e-05,2.3910574451551197e-05,0.0,3.58658616773268e-05,3.58658616773268e-05,0.0,0.0,0.0,2.3910574451551197e-05,0.0,2.3910574451551197e-05,4.7821148903102395e-05,1.1955287225775599e-05,0.0,0.0,1.1955287225775599e-05,1.1955287225775599e-05,0.0,0.0,2.3910574451551197e-05,1.1955287225775599e-05,0.0,0.0,0.0,0.0,0.0,2.3910574451551197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1955287225775599e-05,1.1955287225775599e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1955287225775599e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C5B,0.1878712451207784,0.04850532168515989,0.132181446431602,0.13045199977371727,0.011160588011863681,0.03605977096954072,0.049378126540540974,0.03794276662976103,0.02506081348645132,0.004889323495421816,0.1784643483461156,0.037894277471128744,0.017262140473092557,0.0005576253242712484,0.09259004840834337,0.00026669037247755356,0.0026749852512142494,0.000695011273729382,0.0012122289658070616,0.00010505984370327868,0.00025052731960012605,0.0005737883771486759,8.889679082585119e-05,0.0010990875956650692,0.0,9.697831726456493e-05,0.0002586088460388398,0.0001293044230194199,0.00010505984370327868,6.465221150970995e-05,3.2326105754854975e-05,0.0,8.889679082585119e-05,8.081526438713744e-06,1.6163052877427488e-05,0.000379831742619546,8.889679082585119e-05,0.0,2.424457931614123e-05,0.0,0.0,6.465221150970995e-05,8.889679082585119e-05,8.081526438713744e-06,0.0,8.081526438713744e-06,1.6163052877427488e-05,9.697831726456493e-05,8.081526438713744e-06,8.081526438713744e-06,8.081526438713744e-06,0.0,0.0,0.0001616305287742749,0.0004283209012518284,8.081526438713744e-06,8.081526438713744e-06,0.0001293044230194199,8.081526438713744e-06,8.081526438713745e-05,1.6163052877427488e-05,8.081526438713744e-06,3.2326105754854975e-05,8.081526438713744e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081526438713744e-06,3.2326105754854975e-05,0.0,1.6163052877427488e-05,8.081526438713744e-06,0.0,0.0,2.424457931614123e-05,0.0,2.424457931614123e-05,1.6163052877427488e-05,0.0,2.424457931614123e-05,2.424457931614123e-05,0.0,0.0,0.0,8.081526438713744e-06,8.081526438713744e-06,0.0,1.6163052877427488e-05,8.081526438713744e-06,0.0,0.0,8.081526438713744e-06,0.0,8.081526438713744e-06,0.0,0.0,8.081526438713744e-06,0.0,0.0,0.0,0.0,8.081526438713744e-06,8.081526438713744e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.081526438713744e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081526438713744e-06
1C7A,0.23425460786241664,0.022739868065859807,0.18715698017412447,0.0906734361871391,0.020710799649605805,0.061631835815292205,0.052094320396159965,0.025090727067951447,0.022346568460947135,0.0049519995709458855,0.04372776516438136,0.0027888517439262025,0.0011888374421223876,0.0002860360763001234,0.22208019736489265,0.00010726352861254625,0.0008402309741316124,0.0004826858787564582,0.0005899494073690044,6.257039169065198e-05,0.0001608952929188194,0.00036648372275953307,3.575450953751542e-05,0.0018234799864132864,0.0,8.938627384378855e-06,2.6815882153136563e-05,0.0003843609775282908,0.00023240431199385024,5.3631764306273126e-05,9.83249012281674e-05,1.787725476875771e-05,0.00012514078338130396,1.787725476875771e-05,3.575450953751542e-05,0.00015195666553444054,8.938627384378855e-05,8.938627384378855e-06,0.0,0.0,0.0,0.0,5.3631764306273126e-05,1.787725476875771e-05,8.938627384378855e-06,8.938627384378855e-06,8.938627384378855e-06,0.0001787725476875771,8.938627384378855e-06,0.0,0.0,8.938627384378855e-06,0.0,0.0004558699966033216,0.000867046856284749,0.0,0.0,0.0002145270572250925,2.6815882153136563e-05,8.938627384378855e-05,6.257039169065198e-05,0.0,2.6815882153136563e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.257039169065198e-05,5.3631764306273126e-05,0.0,0.0,0.0,0.0,8.04476464594097e-05,0.0,1.787725476875771e-05,7.150901907503084e-05,2.6815882153136563e-05,8.938627384378855e-06,1.787725476875771e-05,0.0,0.0,0.0,8.938627384378855e-06,1.787725476875771e-05,0.0,0.0,1.787725476875771e-05,0.0,0.0,0.0,8.938627384378855e-06,8.938627384378855e-06,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.575450953751542e-05,0.0,1.787725476875771e-05,0.0,0.0,0.0,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938627384378855e-06,0.0,8.938627384378855e-06,8.938627384378855e-06,0.0,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938627384378855e-06,0.0,0.0
1C7B,0.20568013054399442,0.01007498945747236,0.26293980675088463,0.050567463009479105,0.013393593810161163,0.04325186556902147,0.037632239966263914,0.019407418272492254,0.014521185896848242,0.002016831374562256,0.019187400304358188,0.0014759538695660146,0.0007792303038081443,0.0001833483067783869,0.30984947104013494,5.5004492033516074e-05,0.0004308685209292092,0.00031169212152325773,0.0005775471663519188,1.833483067783869e-05,5.5004492033516074e-05,0.00024752021415082233,4.583707669459673e-05,0.002319356080746594,9.167415338919345e-06,1.833483067783869e-05,9.167415338919345e-06,0.0005317100896573221,0.0004308685209292092,9.167415338919345e-06,0.00011917639940595148,0.0,0.00014667864542270952,1.833483067783869e-05,4.583707669459673e-05,7.333932271135476e-05,7.333932271135476e-05,0.0,0.0,9.167415338919345e-06,0.0,9.167415338919345e-06,2.7502246016758037e-05,1.833483067783869e-05,0.0,9.167415338919345e-06,9.167415338919345e-06,0.00016501347610054821,0.0,9.167415338919345e-06,0.0,0.0,0.0,0.0006325516583854348,0.0014301167928714178,0.0,9.167415338919345e-06,0.0002841898755064997,0.0,7.333932271135476e-05,0.00012834381474487083,0.0,9.167415338919345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.417190737243541e-05,6.417190737243541e-05,0.0,0.0,0.0,0.0,0.00011000898406703215,2.7502246016758037e-05,1.833483067783869e-05,3.666966135567738e-05,2.7502246016758037e-05,0.0,4.583707669459673e-05,0.0,9.167415338919345e-06,0.0,0.0,9.167415338919345e-06,1.833483067783869e-05,1.833483067783869e-05,1.833483067783869e-05,2.7502246016758037e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.7502246016758037e-05,2.7502246016758037e-05,0.0,0.0,9.167415338919345e-06,0.0,0.0,0.0,9.167415338919345e-06,3.666966135567738e-05,0.0,0.0,0.0,1.833483067783869e-05,0.0,9.167415338919345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.167415338919345e-06,2.7502246016758037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C10A,0.17972690043848677,0.12907048707583318,0.07651791475185336,0.10393321306769551,0.08892195462386264,0.1494410281395257,0.06234939362416549,0.03731746178054594,0.02654622545856761,0.01606468008901413,0.024360375544816508,0.02000184348787907,0.012483046495397864,0.0007110596104973467,0.06624705371133613,6.583885282382839e-05,0.0004345364286372674,0.0001975165584714852,0.00035552980524867334,0.0,0.0005135430520258615,0.0005662141342849242,0.00014484547621242247,0.0009612472512278946,0.0,0.00017118101734195384,0.00015801324677718815,0.0002765231818600793,0.0001843487879067195,0.00015801324677718815,9.217439395335975e-05,0.0,0.00013167770564765678,1.316777056476568e-05,0.00010534216451812544,3.950331169429704e-05,0.00013167770564765678,0.0,5.267108225906272e-05,6.583885282382839e-05,0.0,0.0,7.900662338859408e-05,3.950331169429704e-05,1.316777056476568e-05,0.0,0.0,7.900662338859408e-05,1.316777056476568e-05,2.633554112953136e-05,0.0,0.0,1.316777056476568e-05,0.0001843487879067195,0.00030285872298961065,0.0,1.316777056476568e-05,0.00010534216451812544,2.633554112953136e-05,5.267108225906272e-05,1.316777056476568e-05,0.0,0.0,0.0,1.316777056476568e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.900662338859408e-05,3.950331169429704e-05,0.0,5.267108225906272e-05,3.950331169429704e-05,0.0,1.316777056476568e-05,2.633554112953136e-05,0.0,0.0,1.316777056476568e-05,0.0,2.633554112953136e-05,1.316777056476568e-05,1.316777056476568e-05,0.0,0.0,1.316777056476568e-05,0.0,0.0,0.0,0.0,0.0,2.633554112953136e-05,1.316777056476568e-05,0.0,0.0,0.0,3.950331169429704e-05,0.0,1.316777056476568e-05,0.0,0.0,0.0,2.633554112953136e-05,3.950331169429704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316777056476568e-05,0.0,0.0,1.316777056476568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C10B,0.18598915306379538,0.10683834352167398,0.09536817259623673,0.07953535862517072,0.11334915730709559,0.17170779573813533,0.05707238804980574,0.02629520109264981,0.011881240634903796,0.01856443849203718,0.023616617824513016,0.01856443849203718,0.00929547955922719,0.002254253245461658,0.07485446806253564,2.6520626417195974e-05,0.0007027966000556933,0.00033150783021494967,0.00023868563775476378,0.0,9.28221924601859e-05,0.0003049872037977537,0.00023868563775476378,0.0004906315887181255,0.0,0.0001060825056687839,0.00013260313208597987,0.00025194595096336177,0.00015912375850317585,7.956187925158793e-05,7.956187925158793e-05,0.0,3.978093962579396e-05,2.6520626417195974e-05,6.630156604298993e-05,7.956187925158793e-05,7.956187925158793e-05,0.0,0.0,0.00015912375850317585,0.0,0.0,6.630156604298993e-05,1.3260313208597987e-05,2.6520626417195974e-05,0.0,0.0,0.0001060825056687839,1.3260313208597987e-05,1.3260313208597987e-05,0.0,0.0,0.0,0.0001060825056687839,0.00035802845663214565,0.0,0.0,6.630156604298993e-05,1.3260313208597987e-05,5.304125283439195e-05,3.978093962579396e-05,0.0,1.3260313208597987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.978093962579396e-05,1.3260313208597987e-05,0.0,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,1.3260313208597987e-05,1.3260313208597987e-05,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,1.3260313208597987e-05,0.0,1.3260313208597987e-05,0.0,0.0,0.0,1.3260313208597987e-05,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3260313208597987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C20B,0.13785152550747312,0.07545188784123194,0.016346193436818052,0.2161032651212583,0.03231152468398732,0.256165850043233,0.0785914275126611,0.05630584263186066,0.03238357969283979,0.03215712109358916,0.02063861324988677,0.02063861324988677,0.015409478321735908,0.000514678634660518,0.004457116976160086,4.1174290772841436e-05,0.000916127969695722,0.00047350434388767655,0.00014411001770494504,0.00033968789887594186,0.00033968789887594186,0.0005558529254333594,0.0001235228723185243,0.00031910075348952116,1.0293572693210359e-05,9.264215423889324e-05,4.1174290772841436e-05,0.0,8.234858154568287e-05,5.14678634660518e-05,4.1174290772841436e-05,1.0293572693210359e-05,9.264215423889324e-05,2.0587145386420718e-05,0.0001029357269321036,4.1174290772841436e-05,0.0002058714538642072,0.0,1.0293572693210359e-05,2.0587145386420718e-05,0.0,1.0293572693210359e-05,3.088071807963108e-05,1.0293572693210359e-05,4.1174290772841436e-05,0.0,0.0,4.1174290772841436e-05,8.234858154568287e-05,1.0293572693210359e-05,0.0,0.0,1.0293572693210359e-05,3.088071807963108e-05,1.0293572693210359e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0293572693210359e-05,2.0587145386420718e-05,0.0,1.0293572693210359e-05,0.0,5.14678634660518e-05,2.0587145386420718e-05,0.0,0.0,0.0,1.0293572693210359e-05,2.0587145386420718e-05,0.0,2.0587145386420718e-05,2.0587145386420718e-05,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,2.0587145386420718e-05,1.0293572693210359e-05,0.0,2.0587145386420718e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293572693210359e-05,1.0293572693210359e-05,0.0,0.0,2.0587145386420718e-05,0.0,0.0,0.0,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293572693210359e-05,0.0,0.0,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
