,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis
C0C,-0.682524091265357,-0.7288497938009474,-0.9530789910402963,-0.9775550672161297,-1.1269508337847727,-1.1388636264471204,-1.2119191544152068,-1.289792160319911,-1.3525078581774663,-1.6531384917375245,-1.6817796345749194,-1.790173557778026,-2.1199176702525198,-2.2026730983772027,-2.4090306009927787,-2.750291294968614,-2.8495646784092905,-3.078203780710461,-3.1416240469786714,-3.5041679293433807,-3.5721637654259863,-3.610621223100146,-3.6755605185998843,-3.7519467717182557,-3.8115305536201833,-3.8446977356832237,-3.8806089067349636,-3.8806089067349636,-4.0642441201243065,-4.0642441201243065,-4.0642441201243065,-4.125509741725446,-4.125509741725446,-4.125509741725446,-4.196860174062659,-4.196860174062659,-4.196860174062659,-4.282282512353592,-4.282282512353592,-4.282282512353592,-4.388725621497995,-4.388725621497995,-4.388725621497995,-4.388725621497995,-4.530033152005649,-4.530033152005649,-4.530033152005649,-4.530033152005649,-4.530033152005649,-4.530033152005649,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348,-4.740837871106348
1C3A,-0.5734404080984763,-1.2490554381725611,-0.7220405277751358,-0.8942480211786774,-1.9021911291043183,-1.5808297172134649,-1.2956397620212037,-1.410710078213776,-1.7918709752330741,-2.4468720139649824,-0.7194737288942963,-2.3641885505352893,-2.732182158240656,-3.154420434706122,-2.3769215979109903,-3.121309597950942,-2.3769215979109903,-3.836819127970081,-2.7839488001666886,-3.928677652237306,-3.0688227756280066,-3.6675559058860214,-4.68417062435701,-3.6675559058860214,-4.314690236377491,-4.461268806511726,-4.0453256567423965,-4.461268806511726,-4.0453256567423965,-3.836819127970081,-5.166595866060186,-4.2052956718401635,-3.6675559058860214,-5.166595866060186,-4.2052956718401635,-3.4345364363668183,-4.68417062435701,-4.461268806511726,-5.166595866060186,-5.166595866060186,-4.314690236377491,-3.983097030845729,-4.2052956718401635,-4.68417062435701,-4.461268806511726,-4.68417062435701,-4.117986419639678,-4.68417062435701,-5.166595866060186,-5.166595866060186,-4.2052956718401635,-5.166595866060186,-5.166595866060186,-4.314690236377491,-4.68417062435701,-5.166595866060186,-5.166595866060186,-5.166595866060186,-5.166595866060186,-5.166595866060186
1C3B,-0.5368135724404598,-1.283398833714764,-0.7870944321430333,-0.9291795810374288,-1.9254545145551947,-1.5764296434239906,-1.3864387319190072,-1.4838256554830742,-1.9374418947012106,-2.724314368966291,-0.6393358975569251,-2.115167291518379,-2.5058474287224315,-3.1575189489693014,-2.4738997033873362,-3.3476351469770624,-2.64409044604229,-3.6758072516871962,-2.840337570306757,-3.871590957257472,-3.8198314130333464,-3.7735889151933937,-4.178122670361679,-3.8449405483792054,-4.814742245551682,-4.306768324516312,-4.306768324516312,-4.490369711790757,-4.306768324516312,-3.8449405483792054,-4.490369711790757,-4.237699423542646,-3.6936811722955487,-4.814742245551682,-4.814742245551682,-3.339486960732775,-4.125741506739573,-4.622950735823801,-5.166595866060186,-5.166595866060186,-4.178122670361679,-4.237699423542646,-4.490369711790757,-5.166595866060186,-4.490369711790757,-4.490369711790757,-4.079003599758702,-4.490369711790757,-5.166595866060186,-5.166595866060186,-4.306768324516312,-4.622950735823801,-4.388938055532636,-4.814742245551682,-5.166595866060186,-4.814742245551682,-4.622950735823801,-5.166595866060186,-5.166595866060186,-5.166595866060186
1C5A,-0.7116904450916969,-1.6282813552512754,-0.5305607283521392,-1.009003424414397,-2.0645355004597596,-1.7402051516243275,-1.5003494045270234,-1.5588684886315387,-1.6111849408442813,-2.4980330150075027,-1.1025642619945437,-2.457469142137327,-2.8746653633255566,-3.729932347847714,-0.7393527751310743,-3.7028978793836305,-2.863141848640142,-3.4663064027070183,-2.7502813432962925,-4.7264059244151495,-3.5144865217282053,-3.3248491554031205,-4.104668588586802,-2.6852470292631043,-4.7264059244151495,-5.166595866060186,-4.512335834530125,-3.481780064535806,-3.588368176044129,-4.262327599068177,-4.7264059244151495,-4.369584638588917,-3.9413149713953826,-5.166595866060186,-4.512335834530125,-3.588368176044129,-3.7587620598612577,-4.512335834530125,-5.166595866060186,-4.7264059244151495,-4.512335834530125,-4.512335834530125,-4.369584638588917,-5.166595866060186,-5.166595866060186,-4.17638280004919,-3.9413149713953826,-4.7264059244151495,-4.512335834530125,-4.7264059244151495,-3.531812328417989,-3.0735934482440266,-5.166595866060186,-4.7264059244151495,-3.531812328417989,-5.166595866060186,-4.17638280004919,-3.989247888551312,-5.166595866060186,-4.512335834530125
1C5B,-0.7260010802805301,-1.3140267636047038,-0.8786842597681557,-0.8844037219697007,-1.9519250642203965,-1.4427721414724373,-1.3062826224001798,-1.4206701816479403,-1.6007639414776187,-2.3100237037608986,-0.7483090934305449,-1.4212254457573872,-1.7626111440662213,-3.2482613364475843,-1.0332808787225494,-3.5629158777274528,-2.5714511827885866,-3.1536493104264323,-2.913858803555187,-3.9511559413627815,-3.589370816931975,-3.235999749481473,-4.018924839218924,-2.956161400792218,-5.166595866060186,-3.9837198659315813,-3.5759419414693867,-3.8659662810365285,-3.9511559413627815,-4.145787902083683,-4.407276183595357,-5.166595866060186,-4.018924839218924,-4.826876565239495,-4.638618653913747,-3.412566038014642,-4.018924839218924,-5.166595866060186,-4.507722066208652,-5.166595866060186,-4.145787902083683,-4.018924839218924,-4.826876565239495,-5.166595866060186,-4.826876565239495,-4.638618653913747,-3.9837198659315813,-4.826876565239495,-4.826876565239495,-4.826876565239495,-3.7734251198667654,-3.3612551146693903,-4.826876565239495,-4.826876565239495,-3.8659662810365285,-4.826876565239495,-4.057237371320257,-4.638618653913747,-4.826876565239495,-4.407276183595357
1C7A,-0.6300701334594784,-1.6428529123465674,-0.7275490694498652,-1.0422582091713917,-1.683431246548401,-1.2099178098857604,-1.2829237521990795,-1.6001397898719913,-1.6504277221405548,-2.304393432677844,-1.3589459852737116,-2.5532862101941247,-2.9221676036480244,-3.5331308429059467,-0.6532477489328921,-3.9425843590366094,-3.0718662582019087,-3.310021473619872,-3.2239713091309783,-4.158531413513737,-3.775222998333471,-3.427719705387704,-4.370718800600276,-2.7372508942106553,-5.166595866060186,-4.802516119163245,-4.473091559846863,-3.4074037902976912,-3.62098294724977,-4.21843062252115,-3.978022181968422,-4.60729039987971,-3.8793574876557444,-4.60729039987971,-4.370718800600276,-3.7990103803159077,-4.0166106749284785,-4.802516119163245,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.21843062252115,-4.60729039987971,-4.802516119163245,-4.802516119163245,-4.802516119163245,-3.731232744637477,-4.802516119163245,-5.166595866060186,-5.166595866060186,-3.3344897670534808,-3.058330386108066,-5.166595866060186,-5.166595866060186,-3.6547159111032834,-4.473091559846863,-4.0166106749284785,-4.158531413513737,-5.166595866060186,-4.473091559846863
1C7B,-0.6865025463100968,-1.9961712319500986,-0.5798416771937127,-1.295779619488519,-1.8725913950426196,-1.3636360501744265,-1.424070616656395,-1.711589143652409,-1.8375035708633765,-2.693575826792695,-1.716539026631491,-2.8286374233616662,-3.104264740824493,-3.720595169262577,-0.5085489602411235,-4.208622672971211,-3.3585545539968593,-3.4965976549204787,-3.233031282021716,-4.599269678742529,-4.208622672971211,-3.594312209339721,-4.278339363094126,-2.6330686435535386,-4.796217108243498,-4.599269678742529,-4.796217108243498,-3.2685077804821328,-3.3585545539968593,-4.796217108243498,-3.8993874215818254,-5.166595866060186,-3.813634506021108,-4.599269678742529,-4.278339363094126,-4.09581227129676,-4.09581227129676,-5.166595866060186,-5.166595866060186,-4.796217108243498,-4.796217108243498,-4.464266807606809,-4.599269678742529,-5.166595866060186,-4.796217108243498,-4.796217108243498,-3.764628098907745,-5.166595866060186,-4.796217108243498,-5.166595866060186,-3.1939630339753218,-2.84227478066408,-5.166595866060186,-4.796217108243498,-3.535817249346895,-5.166595866060186,-4.09581227129676,-3.868882654024115,-5.166595866060186,-4.796217108243498
1C10A,-0.7451359295234351,-0.8889156066576074,-1.1159636922109746,-0.9829826600469089,-1.0507232094218277,-0.8252758322989484,-1.204885801368068,-1.427774123159892,-1.5756512892034562,-1.7937093160552708,-1.6129600938432345,-1.698547599610139,-1.9032080096344595,-3.1437196882368044,-1.1785542580808623,-4.138534601060146,-3.354985506684521,-3.6894399006007665,-3.4406490010805415,-5.166595866060186,-3.283467069847909,-3.2415922893721048,-3.818906363245615,-3.01386426977192,-5.166595866060186,-3.7493665244442234,-3.782746076194247,-3.547467490950039,-3.718370400985468,-3.782746076194247,-4.004197194511086,-5.166595866060186,-3.858353144035479,-4.699210781915288,-3.9499564447834237,-4.334056326086646,-3.858353144035479,-5.166595866060186,-4.2253840332559225,-4.138534601060146,-5.166595866060186,-4.066192263032329,-4.334056326086646,-4.699210781915288,-5.166595866060186,-5.166595866060186,-4.066192263032329,-4.699210781915288,-4.479335735417241,-5.166595866060186,-3.718370400985468,-3.5088676325719903,-5.166595866060186,-4.699210781915288,-3.9499564447834237,-4.479335735417241,-4.2253840332559225,-4.699210781915288,-5.166595866060186,-5.166595866060186
1C10B,-0.7303928039494993,-0.9711414905741241,-1.0204618451060254,-1.0992988872924305,-0.9454519312775463,-0.7650890846426662,-1.243418446729109,-1.5799073314694638,-1.924785593694886,-1.7310551704290824,-1.6265533683804376,-1.7310551704290824,-2.031306361497271,-2.6455831554140175,-1.1256390765234077,-4.4770215155755775,-3.1488772096183255,-3.4705683536381375,-3.609848293658419,-5.166595866060186,-4.001486157065933,-3.50602076175131,-3.609848293658419,-3.3031521362980305,-5.166595866060186,-3.947221963348715,-3.8555851514773867,-3.587001944539543,-3.779955282816353,-4.063511865983582,-4.063511865983582,-5.166595866060186,-4.331572440704254,-4.4770215155755775,-4.135895955117137,-4.063511865983582,-4.063511865983582,-5.166595866060186,-5.166595866060186,-3.779955282816353,-5.166595866060186,-4.135895955117137,-4.697290139073185,-4.4770215155755775,-5.166595866060186,-5.166595866060186,-3.947221963348715,-4.697290139073185,-4.697290139073185,-5.166595866060186,-3.947221963348715,-3.437792855007047,-5.166595866060186,-5.166595866060186,-4.135895955117137,-4.697290139073185,-4.222805630889744,-4.331572440704254,-5.166595866060186,-4.697290139073185
1C20B,-0.8604373009943389,-1.1221610198438137,-1.7862727567675596,-0.6651953195156457,-1.490421336866145,-0.5913375565245561,-1.1044575192702382,-1.2492643369768832,-1.4894541379593038,-1.4925011878296364,-1.685046505084385,-1.685046505084385,-1.8118904574884802,-3.282623826591232,-2.350153061995244,-4.318753180323505,-3.0346968847152307,-3.3183429754325773,-3.8211177426616696,-3.4601672289251777,-3.4601672289251777,-3.2496204962650825,-3.8848097157628674,-3.4867689858963336,-4.76673278563511,-4.0022474208176355,-4.318753180323505,-5.166595866060186,-4.049697458149193,-4.234351831748754,-4.318753180323505,-4.76673278563511,-4.0022474208176355,-4.562133362637523,-3.9594748142241083,-4.318753180323505,-3.6721366387918932,-5.166595866060186,-4.76673278563511,-4.562133362637523,-4.76673278563511,-4.423612911888718,-4.76673278563511,-4.318753180323505,-5.166595866060186,-5.166595866060186,-4.318753180323505,-4.049697458149193,-4.76673278563511,-5.166595866060186,-4.423612911888718,-4.76673278563511,-5.166595866060186,-5.166595866060186,-5.166595866060186,-5.166595866060186,-5.166595866060186,-5.166595866060186,-4.76673278563511,-4.562133362637523
