"","OTU","diff.btw","diff.win","effect","wi.ep","wi.eBH","kingdom","phylum","class","order","family","genus","species"
"1","OTU_1",2.96732439905372,0.937020794842065,3.14444014444597,4.11353352529823e-05,0.00120938136707044,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"2","OTU_114",-3.90225704633525,2.24433927849528,-1.6654216925667,0.000130797511312217,0.00228207913553814,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas spp."
"3","OTU_12",2.33432253359658,1.6686794247541,1.39928114262396,0.000477555532702591,0.00567182513118379,"bacteria","bacteroidetes","bacteroidia","bacteroidales","porphyromonadaceae","paludibacter","paludibacter propionicigenes"
"4","OTU_13",2.39626999566641,1.39045342154922,1.66423956010997,0.000273807075277663,0.00387646236654909,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"5","OTU_136",-1.96114481878888,1.6939155478925,-1.09002503293833,0.00368161250514192,0.0246837746121233,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodoblastus","rhodoblastus acidophilus"
"6","OTU_14",-1.63975351155297,1.15397642785652,-1.38109175869492,0.00179613584944467,0.0146903642236664,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","ancalomicrobium","ancalomicrobium spp."
"7","OTU_15",1.51594831677744,1.21803918576907,1.19442245874214,0.00133304195804196,0.0115878180051556,"bacteria","spirochaetes","spirochaetia","spirochaetales","spirochaetaceae","spirochaeta","spirochaeta spp."
"8","OTU_2",-1.30085118408054,0.739586869960685,-1.7651775434006,0.000242634204031263,0.00344840511269499,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"9","OTU_222",3.61042553701709,0.846516474086456,4.36682161152957,4.11353352529823e-05,0.00120938136707044,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"10","OTU_23",-1.93998261435181,0.946966296040809,-2.00624135230073,0.000283448169477581,0.00387967420133562,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","afipia","afipia sp."
"11","OTU_259",-2.74902728093015,1.57763340109823,-1.61372034279015,0.000429028691896339,0.00550834851751909,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"12","OTU_269",2.60710056617551,2.14752133275374,1.12968767984529,0.00876986065405183,0.0483531753328312,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"13","OTU_27",-2.8297485870513,2.31866029271164,-1.1819964837144,0.00140149372686137,0.0122062501560069,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","ancalomicrobium","ancalomicrobium spp."
"14","OTU_275",3.33326964146726,2.16900003996118,1.4466023328055,0.000417780748663102,0.00477361383440443,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
"15","OTU_284",1.75713522946891,1.03576654704481,1.67352049517451,0.000467914438502674,0.00537270451497936,"bacteria","proteobacteria","gammaproteobacteria","enterobacteriales","enterobacteriaceae","escherichia","escherichia spp."
"16","OTU_298",-1.39397614038782,1.1499264590075,-1.14107531126073,0.00378573632250103,0.0236098778779646,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas palustris"
"17","OTU_3",-1.10417136792207,0.908954105132526,-1.15171704250294,0.00452135180995475,0.026839056130718,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas palustris"
"18","OTU_315",1.11198702619603,0.913712395149348,1.16545999376067,0.00800532188399835,0.0394383694509205,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"19","OTU_352",4.1068599609319,2.68560547420812,1.47249770831515,0.000380501851090086,0.00464290009518488,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"20","OTU_39",-2.33107219568884,2.19604815950677,-0.958784926277284,0.0042456165158371,0.0248690055487025,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas sp."
"21","OTU_4",-2.63860493112696,1.26104850388918,-2.04029819688343,7.71287535993418e-05,0.00178426234951491,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"22","OTU_42",-3.02752236821535,2.62825464224531,-1.05172589757374,0.00429221513780337,0.0280213897007069,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","ancalomicrobium","ancalomicrobium spp."
"23","OTU_437",-1.50575876395115,1.02198207988696,-1.41133398916673,0.000690302344714109,0.00739386382520395,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas palustris"
"24","OTU_444",2.90737444109394,1.91906390024661,1.4354005997376,0.000860949712052653,0.00686020787483615,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"25","OTU_448",3.27662325070123,2.52875904083668,1.16457914914594,0.00193175390785685,0.013702776149842,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"26","OTU_467",3.14169864044906,0.882224231600683,3.50429509396818,4.11353352529823e-05,0.00120938136707044,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"27","OTU_5",-1.75218142813362,1.07023793766713,-1.6420048331917,0.000399141299876594,0.00513177743651765,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodoblastus","rhodoblastus acidophilus"
"28","OTU_51",1.7231489985754,1.66559103865305,1.02586135833918,0.0072815970793912,0.042177056302335,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter spp."
"29","OTU_52",3.02573603194089,1.17040664844871,2.58339489797904,4.2420814479638e-05,0.00122956302738843,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"30","OTU_559",-1.90879358780763,1.44202311207826,-1.27987045836603,0.00244241053064582,0.0189052429890172,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"31","OTU_562",2.49037173129923,2.16993352307033,0.993809962791492,0.00631266711229946,0.0357212987517911,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"32","OTU_563",-2.5866454498057,1.88781976360654,-1.28913279060565,0.00166662381735911,0.0137715062244075,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"33","OTU_565",-1.76168999056035,1.15159118487057,-1.4680729104939,0.00196421225832991,0.0127790763575005,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"34","OTU_567",-2.30659367295172,1.57117969274153,-1.42008778856517,0.000482054709995886,0.00575003912093791,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"35","OTU_583",3.56610147362062,1.12678083193304,3.1705766364325,4.20994446729741e-05,0.00122088887822445,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"36","OTU_6",3.23625180946079,0.74568003974972,4.36744258485729,4.11353352529823e-05,0.00120938136707044,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"37","OTU_60",-2.42371786861714,2.32758568906778,-0.912341521086282,0.00919278331962155,0.0445197274979984,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas sp."
"38","OTU_608",2.89242558673998,0.961063890580919,2.91001397834187,4.6598621966269e-05,0.00128558192216686,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"39","OTU_67",3.23670008889948,1.12919442291722,2.83745573959191,4.11353352529823e-05,0.00120938136707044,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"40","OTU_73",3.58215835089308,2.83796514827943,1.16137019687449,0.00346243829699712,0.0254274826834753,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"41","OTU_75",-3.96659129333471,2.53346177649347,-1.5655868176878,0.000595498251748252,0.00650245706695347,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"42","OTU_8",-1.48936310430542,1.16032544727468,-1.23683792038777,0.00172029257507199,0.0153875760765716,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"43","OTU_84",-3.65271765355152,2.30206302212946,-1.53266888770813,0.000327154463183875,0.00392090712217063,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"44","OTU_9",1.25752188650435,0.687938150349845,1.70839467824865,0.00036443336075689,0.00433716999208084,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
