"","OTU","diff.btw","diff.win","effect","wi.ep","wi.eBH","kingdom","phylum","class","order","family","genus","species"
"1","OTU_1",-2.45361094125032,3.00418838368801,-0.778043720935695,0.000105937429347726,0.000849433689862721,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"2","OTU_10",1.61147524609338,2.19728836490846,0.723778440362901,0.00060932670596613,0.00385278593129209,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter spp."
"3","OTU_101",-1.99247445606396,3.52503576340889,-0.486342361310106,0.00861711031727871,0.0280037260489195,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"4","OTU_102",-3.3730280968747,2.81407650864124,-1.13346610673523,1.27549672635181e-07,2.81173795204166e-06,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas pangongensis"
"5","OTU_105",-3.10337299673667,2.99288823522842,-0.916775197007403,3.01836355870096e-05,0.000188488852999967,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"6","OTU_108",1.28547506800785,2.59959018031294,0.416889672683267,0.0143201906886987,0.0475020793717549,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"7","OTU_11",2.19862149554887,1.70499774198086,1.26440050513089,4.16756625370216e-09,1.57070421745295e-07,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
"8","OTU_115",-0.85953729401212,1.23615363664444,-0.638030890471609,0.00265787057191311,0.0128033734218677,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"9","OTU_116",2.31139031191731,1.9409155232549,1.13385678677433,1.05768884010409e-07,2.38489656151813e-06,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
"10","OTU_117",-2.44109898746057,3.90670414069891,-0.552610764070264,0.00829834667513409,0.0267029439817019,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","brucellaceae","ochrobactrum","ochrobactrum intermedium"
"11","OTU_121",1.92719765034003,3.37168609485836,0.498177431212114,0.0139629582974353,0.0420879729791628,"bacteria","bacteroidetes","bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","salinibacter","salinibacter spp."
"12","OTU_122",-2.04121499472449,3.65823881073334,-0.477468932415615,0.0177545466342193,0.0493819727440556,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"13","OTU_13",1.81473439070905,2.53167637132785,0.704539916286202,0.000702472732538893,0.00432168252830303,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"14","OTU_130",-2.04270576604432,3.38374569097673,-0.506143606290843,0.00608469973974981,0.022972293314253,"bacteria","bacteroidetes","bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","rhodothermus","rhodothermus spp."
"15","OTU_131",1.17411067652049,2.20716474318311,0.454525784485342,0.0124157239945788,0.0407156795067507,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas palustris"
"16","OTU_132",-2.3531829092028,3.88031182443452,-0.528878116475875,0.0134426720631327,0.0366246798484303,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiales","methyloligella","methyloligella halotolerans"
"17","OTU_135",-2.28128983441177,3.73959971748409,-0.538723458715061,0.00993812605541061,0.0284505924889332,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
"18","OTU_140",-3.09564984999322,2.40031038108145,-1.19783542356224,3.03697055526781e-08,7.87898008572836e-07,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"19","OTU_143",-2.34690974867571,3.59687106348274,-0.583178385208025,0.00460192377555556,0.0156917443609715,"bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"20","OTU_164",-2.94573432799203,2.61395294970778,-1.02085900066775,1.90832341029698e-06,2.3584798516065e-05,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","afipia","afipia sp."
"21","OTU_177",2.45546765127011,2.40010805777623,0.937894314600537,4.20424909150488e-06,4.93064559809589e-05,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"22","OTU_196",-2.82026447138371,1.4794825776269,-1.83432865014545,2.32828564227268e-12,3.53667637044409e-10,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","brucellaceae","ochrobactrum","ochrobactrum anthropi"
"23","OTU_201",1.74992349327273,3.46914753749609,0.460071611288762,0.0105074659174782,0.0344324266834661,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter spp."
"24","OTU_211",2.01217943650357,2.31519598895682,0.821484962995226,8.24827486256811e-05,0.000747367710744014,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter sp."
"25","OTU_215",-2.66804485278298,1.72051215475791,-1.4847602213647,5.76794203071119e-10,3.10692789024368e-08,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
