,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,fz,perturbed M,perturbed G,-Inf,-2,-1.55555555555556,0.0247807919634545,OTU_189,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas sp.
2,bz,perturbed M,perturbed G,-Inf,-3,-3.55555555555556,0.0320624527360701,NA,NA,NA,NA,NA,NA,NA,NA
3,dr,perturbed M,perturbed G,-Inf,-3,-2.55555555555556,0.0394811651645617,NA,NA,NA,NA,NA,NA,NA,NA
4,gf,perturbed M,perturbed G,-Inf,-3,-2.55555555555556,0.0394811651645617,OTU_64,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,beijerinckiaceae,methylocella,methylocella palustris
5,ge,perturbed M,perturbed G,-Inf,-1,-2.11111111111111,0.0408665867034209,OTU_53,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,bradyrhizobium,bradyrhizobium yuanmingense
6,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_464,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
7,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_362,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
8,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_456,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
9,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_463,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
10,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_436,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
11,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_141,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
12,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_380,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
13,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_114,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
14,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_382,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
15,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_295,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
16,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_421,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
17,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_411,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
18,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_239,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
19,gm,perturbed M,perturbed G,-2.75488750216347,-23,-23.7777777777778,0.00453789467849375,OTU_197,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.
20,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_191,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
21,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_84,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
22,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_247,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
23,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_393,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
24,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_75,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
25,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_538,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
26,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_563,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
27,gl,perturbed M,perturbed G,-2.74630361118101,-34865,-35879.2222222222,0.000970793911970383,OTU_567,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
