,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,ac,perturbed M,perturbed G,-2.68224550057285,-45.9549775762069,-42.7666914083393,0.00084416861910468,NA,NA,NA,NA,NA,NA,NA,NA
2,ae,perturbed M,perturbed G,-2.55225582963588,27.1505645471626,30.4663078645379,0.00766416246292407,NA,NA,NA,NA,NA,NA,NA,NA
3,by,perturbed M,perturbed G,-2.35329383982994,-35.4834065519735,-37.5282722990161,0.000462282815223992,NA,NA,NA,NA,NA,NA,NA,NA
4,ak,perturbed M,perturbed G,-2.08597628706217,-48.5307422645851,-46.9838119372076,0.000462282815223992,NA,NA,NA,NA,NA,NA,NA,NA
5,az,perturbed M,perturbed G,-1.54005872573413,1.85778151639288,1.46486869780151,0.0372137666255313,NA,NA,NA,NA,NA,NA,NA,NA
6,bx,perturbed M,perturbed G,-1.54005872573413,1.85778151639288,1.46486869780151,0.0372137666255313,NA,NA,NA,NA,NA,NA,NA,NA
7,dj,perturbed M,perturbed G,-1.54005872573413,1.85778151639288,1.46486869780151,0.0372137666255313,NA,NA,NA,NA,NA,NA,NA,NA
8,dy,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,NA,NA,NA,NA,NA,NA,NA,NA
9,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_434,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
10,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_312,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
11,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_72,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
12,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_54,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
13,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_293,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
14,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_217,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
15,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_445,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
16,gp,perturbed M,perturbed G,-1.25574980563742,5.72144553162181,4.93711763469358,0.00143821320291909,OTU_208,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,phaeospirillum,phaeospirillum sp.
17,dm,perturbed M,perturbed G,-1.24410823625187,-14.8007646264834,-14.1249437315995,0.00084416861910468,NA,NA,NA,NA,NA,NA,NA,NA
18,aj,perturbed M,perturbed G,-1.19482746980558,3.64466259290751,3.81257700916408,0.0106628183773796,NA,NA,NA,NA,NA,NA,NA,NA
19,aw,perturbed M,perturbed G,-1.19482746980558,3.64466259290751,3.81257700916408,0.0106628183773796,NA,NA,NA,NA,NA,NA,NA,NA
20,bu,perturbed M,perturbed G,-1.19482746980558,3.64466259290751,3.81257700916408,0.0106628183773796,NA,NA,NA,NA,NA,NA,NA,NA
21,de,perturbed M,perturbed G,-1.19482746980558,3.64466259290751,3.81257700916408,0.0106628183773796,NA,NA,NA,NA,NA,NA,NA,NA
22,fh,perturbed M,perturbed G,-1.19482746980558,3.64466259290751,3.81257700916408,0.0106628183773796,NA,NA,NA,NA,NA,NA,NA,NA
23,il,perturbed M,perturbed G,-1.19482746980558,3.64466259290751,3.81257700916408,0.0106628183773796,OTU_106,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
