,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,kw,recovering C,recovering M,-Inf,-2.5,-2.85714285714286,0.0192240447377192,OTU_19,bacteria,firmicutes,bacilli,lactobacillales,streptococcaceae,streptococcus,streptococcus salivarius
2,kl,recovering C,recovering M,-Inf,-8,-6.31428571428571,0.0498672513104554,OTU_18,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas veronii
3,ei,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,NA,NA,NA,NA,NA,NA,NA,NA
4,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_89,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
5,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_323,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
6,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_378,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
7,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_430,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
8,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_615,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
9,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_71,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
10,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_104,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
11,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_335,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
12,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_370,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
13,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_429,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
14,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_213,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
15,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_600,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
16,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_5,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
17,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_415,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
18,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_390,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
19,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_136,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
20,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_417,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
21,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_183,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
22,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_279,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
23,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_515,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
24,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_400,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
25,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_349,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
26,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_597,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
27,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_566,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
28,hr,recovering C,recovering M,-3.61541600000686,-17829.5,-23765.5,0.0158371040723982,OTU_245,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
29,ej,recovering C,recovering M,-3.52356195605701,-10.5,-13.2571428571429,0.0315895593203144,NA,NA,NA,NA,NA,NA,NA,NA
30,hs,recovering C,recovering M,-3.52356195605701,-10.5,-13.2571428571429,0.0315895593203144,OTU_543,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,beijerinckiaceae,beijerinckia,beijerinckia spp.
31,hs,recovering C,recovering M,-3.52356195605701,-10.5,-13.2571428571429,0.0315895593203144,OTU_418,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,beijerinckiaceae,beijerinckia,beijerinckia spp.
32,cg,recovering C,recovering M,-2.96962635095648,-20.5,-17.8142857142857,0.0413141845366909,NA,NA,NA,NA,NA,NA,NA,NA
