,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_127,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
2,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_186,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
3,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_60,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
4,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_91,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
5,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_270,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
6,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_523,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
7,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_39,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
8,hx,stable C,stable G,-2.32192809488736,-32,-29.4415584415584,0.0271879955137874,OTU_273,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.
9,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_191,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
10,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_75,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
11,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_84,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
12,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_247,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
13,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_249,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
14,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_326,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
15,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_563,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
16,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_426,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
17,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_190,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
18,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_643,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
19,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_559,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
20,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_638,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
21,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_570,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
22,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_276,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
23,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_297,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
24,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_140,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
25,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_361,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
26,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_605,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
27,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_4,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
28,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_333,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
29,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_567,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
30,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_387,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
31,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_541,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
32,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_548,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
33,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_61,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
34,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_299,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
35,hu,stable C,stable G,-2.04625996077995,-16932,-13586.3766233766,0.0271879955137874,OTU_527,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae
