,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,aw,stable C,stable G,-1.70626057240032,2.43457407089712,2.86924795626363,0.0117488290862904,NA,NA,NA,NA,NA,NA,NA,NA
2,bv,stable C,stable G,-1.70626057240032,2.43457407089712,2.86924795626363,0.0117488290862904,NA,NA,NA,NA,NA,NA,NA,NA
3,dk,stable C,stable G,-1.70626057240032,2.43457407089712,2.86924795626363,0.0117488290862904,NA,NA,NA,NA,NA,NA,NA,NA
4,fy,stable C,stable G,-1.70626057240032,2.43457407089712,2.86924795626363,0.0117488290862904,NA,NA,NA,NA,NA,NA,NA,NA
5,jt,stable C,stable G,-1.70626057240032,2.43457407089712,2.86924795626363,0.0117488290862904,OTU_603,bacteria,proteobacteria,deltaproteobacteria,desulfovibrionales,desulfovibrionaceae,desulfovibrio,desulfovibrio mexicanus
6,jt,stable C,stable G,-1.70626057240032,2.43457407089712,2.86924795626363,0.0117488290862904,OTU_43,bacteria,proteobacteria,deltaproteobacteria,desulfovibrionales,desulfovibrionaceae,desulfovibrio,desulfovibrio mexicanus
7,cq,stable C,stable G,-1.62243000300735,2.37021371469595,1.77219630968359,0.0117488290862904,NA,NA,NA,NA,NA,NA,NA,NA
8,ey,stable C,stable G,-1.62243000300735,2.37021371469595,1.77219630968359,0.0117488290862904,NA,NA,NA,NA,NA,NA,NA,NA
9,ii,stable C,stable G,-1.62243000300735,2.37021371469595,1.77219630968359,0.0117488290862904,OTU_340,bacteria,firmicutes,clostridia,clostridiales,clostridiaceae,clostridium,clostridium sp.
10,ii,stable C,stable G,-1.62243000300735,2.37021371469595,1.77219630968359,0.0117488290862904,OTU_596,bacteria,firmicutes,clostridia,clostridiales,clostridiaceae,clostridium,clostridium sp.
11,ep,stable C,stable G,-1.07217670553518,1.78546230778972,1.71339612450649,0.0265747324570854,NA,NA,NA,NA,NA,NA,NA,NA
12,ak,stable C,stable G,0,22.1165737013049,19.2445670068475,0.00310038545332663,NA,NA,NA,NA,NA,NA,NA,NA
13,az,stable C,stable G,0,22.1165737013049,19.2445670068475,0.00310038545332663,NA,NA,NA,NA,NA,NA,NA,NA
