,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,ad,stable C,stable M,-2.41747027200155,10.5969972729385,11.6079627588689,0.0363636363636364,NA,NA,NA,NA,NA,NA,NA,NA
2,aw,stable C,stable G,-1.80156731449986,2.43352902374845,2.86821997206492,0.0336134453781513,NA,NA,NA,NA,NA,NA,NA,NA
3,bv,stable C,stable G,-1.80156731449986,2.43352902374845,2.86821997206492,0.0336134453781513,NA,NA,NA,NA,NA,NA,NA,NA
4,dk,stable C,stable G,-1.80156731449986,2.43352902374845,2.86821997206492,0.0336134453781513,NA,NA,NA,NA,NA,NA,NA,NA
5,gc,stable C,stable G,-1.80156731449986,2.43352902374845,2.86821997206492,0.0336134453781513,NA,NA,NA,NA,NA,NA,NA,NA
6,kd,stable C,stable G,-1.80156731449986,2.43352902374845,2.86821997206492,0.0336134453781513,OTU_43,bacteria,proteobacteria,deltaproteobacteria,desulfovibrionales,desulfovibrionaceae,desulfovibrio,desulfovibrio mexicanus
7,kd,stable C,stable G,-1.80156731449986,2.43352902374845,2.86821997206492,0.0336134453781513,OTU_603,bacteria,proteobacteria,deltaproteobacteria,desulfovibrionales,desulfovibrionaceae,desulfovibrio,desulfovibrio mexicanus
8,cq,stable C,stable G,-1.70342708889772,2.364621689838,1.77116832548488,0.0336134453781513,NA,NA,NA,NA,NA,NA,NA,NA
9,fb,stable C,stable G,-1.70342708889772,2.364621689838,1.77116832548488,0.0336134453781513,NA,NA,NA,NA,NA,NA,NA,NA
10,ir,stable C,stable G,-1.70342708889772,2.364621689838,1.77116832548488,0.0336134453781513,OTU_340,bacteria,firmicutes,clostridia,clostridiales,clostridiaceae,clostridium,clostridium sp.
11,ir,stable C,stable G,-1.70342708889772,2.364621689838,1.77116832548488,0.0336134453781513,OTU_596,bacteria,firmicutes,clostridia,clostridiales,clostridiaceae,clostridium,clostridium sp.
12,es,stable C,stable G,-1.1215066579592,1.78858367291179,1.71236814030778,0.0445269016697588,NA,NA,NA,NA,NA,NA,NA,NA
13,ak,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,NA,NA,NA,NA,NA,NA,NA,NA
14,az,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,NA,NA,NA,NA,NA,NA,NA,NA
15,cb,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,NA,NA,NA,NA,NA,NA,NA,NA
16,dy,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,NA,NA,NA,NA,NA,NA,NA,NA
17,gv,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,NA,NA,NA,NA,NA,NA,NA,NA
18,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_394,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
19,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_106,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
20,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_311,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
21,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_639,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
22,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_181,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
23,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_353,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
24,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_174,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
25,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_182,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
26,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_15,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
27,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_443,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
28,lf,stable C,stable G,0,22.1114011188563,19.2389130937546,0.00980392156862745,OTU_144,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.
29,fy,stable C,stable G,0,12.5402338291006,10.590678646064,0.0147058823529412,NA,NA,NA,NA,NA,NA,NA,NA
30,jy,stable C,stable G,0,12.5402338291006,10.590678646064,0.0147058823529412,OTU_12,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes
31,jy,stable C,stable G,0,12.5402338291006,10.590678646064,0.0147058823529412,OTU_192,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes
32,jy,stable C,stable G,0,12.5402338291006,10.590678646064,0.0147058823529412,OTU_109,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes
