,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,dl,stable,recovering,-9.5251385671983,7.64925660943162,6.41030861847126,0.000453573616294815,NA,NA,NA,NA,NA,NA,NA,NA
2,bn,stable,recovering,-4.18637570198296,-7.04365562397887,-6.84942908928849,8.22633503077191e-10,NA,NA,NA,NA,NA,NA,NA,NA
3,cx,stable,recovering,-4.18637570198296,-7.04365562397887,-6.84942908928849,8.22633503077191e-10,NA,NA,NA,NA,NA,NA,NA,NA
4,fw,stable,recovering,-3.03310828670337,-3.00532567166203,-3.30501605247022,7.27609831104578e-11,NA,NA,NA,NA,NA,NA,NA,NA
5,ai,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,NA,NA,NA,NA,NA,NA,NA,NA
6,aw,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,NA,NA,NA,NA,NA,NA,NA,NA
7,bv,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,NA,NA,NA,NA,NA,NA,NA,NA
8,dm,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,NA,NA,NA,NA,NA,NA,NA,NA
9,gg,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,NA,NA,NA,NA,NA,NA,NA,NA
10,km,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,OTU_65,bacteria,fibrobacteres,fibrobacteria,fibrobacterales,fibrobacteraceae,fibrobacter,fibrobacter spp.
11,km,stable,recovering,-2.99703789206936,1.75305130372664,2.07059007406288,2.34699733627781e-05,OTU_168,bacteria,fibrobacteres,fibrobacteria,fibrobacterales,fibrobacteraceae,fibrobacter,fibrobacter spp.
12,dg,stable,recovering,-2.38649740766019,-2.83864005553651,-3.02190243091236,0.000516467780457002,NA,NA,NA,NA,NA,NA,NA,NA
13,fz,stable,recovering,-2.38649740766019,-2.83864005553651,-3.02190243091236,0.000516467780457002,NA,NA,NA,NA,NA,NA,NA,NA
14,fb,stable,recovering,-2.30713806205998,-2.51019528140571,-2.70672111291171,7.80280094997969e-09,NA,NA,NA,NA,NA,NA,NA,NA
