,within_module_connectivity,degree,node_role,betweenness,modularity,eigenvector_centrality,node_module_membership,within_module_degree,among_module_connectivity
opitutus spp.,-1.1273067935575742,5,connector_node,0.048387191536068415,1,0.0016843921614384243,0.13098481623679042,3,1.0
paludibacter propionicigenes,-1.0,4,connector_node,0.10112932832225076,3,0.00023350005655068702,-0.04749319785809038,2,1.0
magnetospirillum sp.,-0.8847217873489823,7,connector_node,0.08804904400080835,1,0.0012430673119060496,-0.19361362480932742,4,0.9183673469387755
rhodopseudomonas palustris,0.08561823748538529,10,connector_node,0.07415643016128828,1,0.04069393413126077,-0.058912649048446245,8,0.96
acetobacter spp.,2.0,5,connector_node,0.07994197164790556,3,1.888694551628609e-05,-0.2572884957877616,5,1.0
bacteroides spp.,-0.3995517749317985,7,connector_node,0.03981134535008088,1,0.002046088284379255,0.013514632537396643,6,1.0
pleomorphomonas oryzae,0.08561823748538529,9,connector_node,0.04196018669652237,1,0.0045651473668574475,-0.010242593494047878,8,0.9876543209876543
afipia sp.,1.2985432685283447,14,connector_node,0.11189035650048858,1,0.02675643281143138,-0.09920164848658745,13,0.9948979591836735
rhodoblastus acidophilus,0.08561823748538529,8,connector_node,0.01042668625784491,1,0.007343851335217425,-0.40069578129490246,8,1.0
spirochaeta spp.,2.268883293362712,17,connector_node,0.08839783547062435,1,0.0099336594922159,-0.12154454258406895,17,1.0
citrobacter werkmanii,1.4536653181330483,8,connector_node,0.053943706952295785,2,0.00023728668195822382,-0.1308559467762638,8,1.0
pontibacter spp.,-1.612476805974758,1,connector_node,0.0,1,0.00010267472052206583,0.31404721366656474,1,1.0
pontibacter sp.,-0.6421367811403904,5,connector_node,0.023706598766178474,1,0.0014751939007118671,0.20565377151553163,5,1.0
ruminococcus spp.,0.0,3,connector_node,0.0,3,3.58424220283898e-06,0.053578819786480075,3,1.0
eubacterium sp.,1.2143185097187736,17,peripheral_node,0.0044256092944115095,0,0.26240765238577135,0.1976097030558276,17,0.0
desulfovibrio mexicanus,2.670687444942112,11,network_hub_node,0.0537321771104283,2,0.00016241299029014187,0.2742142756364756,11,1.0
ancalomicrobium spp.,1.4536653181330483,8,connector_node,0.05092094287135821,2,0.0008232973762842633,0.27622525532409054,8,1.0
rhodocyclus tenuis,0,1,connector_node,0.0,5,8.90631887421286e-30,0.9748232103176381,1,1.0
escherichia spp.,1.0479912758633603,8,connector_node,0.06949422960946232,2,0.00026435420485506695,-0.09911284068092484,7,1.0
rhodoplanes elegans,-0.3995517749317985,6,connector_node,0.005566227417045128,1,0.006113175544874463,0.20315802230533478,6,1.0
propionicimonas paludicola,-1.3698917997661662,2,connector_node,0.0,1,8.123657542828105e-05,-0.39553067225260957,2,1.0
rhodopseudomonas spp.,1.5411282747369366,14,connector_node,0.028496661191498962,1,0.006532080614472879,-0.31203972893749,14,1.0
pleomorphomonas spp.,1.0,5,connector_node,0.04942148140692016,3,2.8865766351889647e-05,0.05172151165499396,4,1.0
caulobacter spp.,1.2143185097187736,17,peripheral_node,0.015590826739828102,0,0.25011841140014063,0.2742832119677041,17,0.0
opitutus terrae,-0.5747048932153913,3,connector_node,0.0,2,2.3996112084169154e-05,0.5287988493415752,3,1.0
barnesiella viscericola,1.055958262319753,12,connector_node,0.019549180628348494,1,0.005026423552889567,-0.0987717302694712,12,1.0
pontibacter salisaro,0,1,connector_node,0.0,6,8.90631887421286e-30,0.5955711834056528,1,1.0
phaeospirillum sp.,0.853033663852031,17,peripheral_node,0.08671892967998139,0,0.2425708960474719,0.4375608029996011,15,0.2214532871972319
rhodopseudomonas pangongensis,1.7562457785188876,20,peripheral_node,0.020751882771321492,0,0.2744760386626037,0.22119058837463157,20,0.0
prolixibacter spp.,-0.9803789354850793,3,connector_node,0.04094181304176508,2,0.009334322386829807,0.07780045761085476,2,0.8888888888888888
cloacibacterium normanense,-0.5747048932153913,3,connector_node,0.00017236586043925493,2,2.1480655865275807e-05,-0.037747812905840505,3,1.0
rhodopseudomonas rhenobacensis,-0.5747048932153913,5,connector_node,0.049989928793710045,2,0.00015490378937215745,0.16060306964004117,3,1.0
clostridium sp.,-0.5747048932153913,4,connector_node,0.01304118619682141,2,0.00014520235862501473,-0.10497401461750208,3,1.0
pleomorphomonas sp.,-0.3995517749317985,7,connector_node,0.054047452770854064,1,0.0018199260984467695,-0.23479984997622744,6,1.0
citrobacter spp.,0.6423172335936724,7,connector_node,0.04109824525455955,2,0.0003402309075980445,-0.19709929900357556,6,1.0
acidovorax caeni,-0.16903085094570341,4,connector_node,0.005683633276997526,2,4.130876291165784e-05,0.10869422880346523,4,1.0
fibrobacter spp.,0.08561823748538529,8,connector_node,0.001512569998808531,1,0.0024339333874458754,-0.25237221293525436,8,1.0
chlorobium spp.,1.0,4,connector_node,0.010859247785853291,3,3.687319897582543e-06,-0.2110603528334916,4,1.0
bradyrhizobium yuanmingense,0.6423172335936724,6,connector_node,0.04739413655537387,2,0.0013382315630666483,-0.30437623860390484,6,1.0
rhodopseudomonas sp.,-0.3995517749317985,6,connector_node,0.03369474562135113,1,0.0010850741720136788,-0.4729351537413666,6,1.0
inquilinus spp.,-0.1569667687232066,8,connector_node,0.03369084363277966,1,0.0030345906996374745,-0.04999731863287063,7,0.984375
dechloromonas agitata,1.0479912758633603,8,connector_node,0.04541458932275314,2,0.0002452262660565508,0.11796286832741658,7,1.0
acidovorax spp.,-0.9803789354850793,5,connector_node,0.030540354915689554,2,0.0007465257303150887,-0.39049668614858546,2,0.64
opitutus sp.,1.0336760867854025,18,peripheral_node,0.12965386089908015,0,0.2576727459857989,0.29098503869076653,16,0.2098765432098766
methylocella palustris,-0.6421367811403904,5,connector_node,0.008423686405337782,1,0.0017435483627233435,0.11628505824312031,5,1.0
beijerinckia spp.,-1.3860529777547672,1,connector_node,0.0,2,1.706661737261195e-05,-0.12191992518797527,1,1.0
bradyrhizobium elkanii,0,2,connector_node,0.0,4,3.842541175491325e-24,-0.09316387277750982,2,1.0
clostridium spp.,-1.0,2,connector_node,0.0,3,5.886604595833267e-10,-0.3105270933556091,2,1.0
ochrobactrum anthropi,1.0336760867854025,16,peripheral_node,0.005504911134104222,0,0.2490532065829086,0.2256960977851096,16,0.0
nitrospirillum azospirillum amazonense,1.394960932652145,18,peripheral_node,0.007863598849620448,0,0.2688017644357744,0.1739399932924191,18,0.0
acinetobacter junii,-0.16903085094570341,4,connector_node,0.03369474562135113,2,1.6722907301422266e-05,-0.6431324002217456,4,1.0
propionibacterium acnes,-1.3698917997661662,2,connector_node,0.0,1,8.123657542828105e-05,-0.23689241938046796,2,1.0
brevundimonas sp.,0.853033663852031,15,peripheral_node,0.010522871299649536,0,0.22604686235701046,0.2902679132152311,15,0.0
escherichia vulneris,-0.23082087374819682,9,peripheral_node,0.0003430230792272104,0,0.1488390605889203,0.3563955267594954,9,0.0
brevundimonas spp.,0.853033663852031,15,peripheral_node,0.003206237440312144,0,0.2419035515757945,0.13976628788249065,15,0.0
parabacteroides distasonis,0.3282032436939772,9,connector_node,0.008098413161093039,1,0.00829699531249674,0.10961658143604562,9,1.0
nitrobacter hamburgensis,0,1,connector_node,0.0,5,8.90631887421286e-30,0.811809331043408,1,1.0
vitis vinifera,-0.16903085094570341,4,connector_node,0.024770642201834864,2,0.00011899202612383354,-0.548896729051781,4,1.0
methylocystis heyerii,1.5411282747369366,14,connector_node,0.06263535951964735,1,0.006110292538750745,-0.3072121655314334,14,1.0
pseudomonas veronii,1.055958262319753,12,connector_node,0.036628242048274626,1,0.008550125926575208,0.01920970913362148,12,1.0
streptococcus salivarius,0.813373256111161,11,connector_node,0.021151921755886677,1,0.008417014295853854,-0.011512515070329977,11,1.0
stenotrophomonas spp.,-1.1340329884150535,5,peripheral_node,0.006450112805638556,0,0.0032797028317908456,0.17263163028427225,4,0.3599999999999999
cytophaga spp.,-0.9803789354850793,3,connector_node,0.04472892621987941,2,0.017607794411994376,0.15419102291028405,2,0.8888888888888888
rhizobium straminoryzae,1.0336760867854025,16,peripheral_node,0.011750347957589504,0,0.24099809598950928,0.25302304521366537,16,0.0
methanosaeta sp.,0.570788249902569,10,connector_node,0.003975503899815305,1,0.0031046655280594247,-0.23692720446410048,10,1.0
pontibacter korlensis,-0.6421367811403904,6,connector_node,0.04643612053170844,1,0.0020640078023925422,-0.137476667047686,5,1.0
bacteroides fragilis,1.055958262319753,12,connector_node,0.010840198547507627,1,0.005921224757736595,-0.2942171487363302,12,1.0
rhodothermus spp.,1.0336760867854025,16,peripheral_node,0.009276069863068595,0,0.2299871173253429,0.08444733019039204,16,0.0
rhodovibrio sodomensis,-1.6759602572151673,1,peripheral_node,0.0,0,0.0068386880524714255,0.24623574561004014,1,0.0
rhizobium sp.,0.853033663852031,15,peripheral_node,0.0021354696905354293,0,0.24361145345836924,0.1674530144183825,15,0.0
enterobacter sp.,0.49174881798528847,13,peripheral_node,0.027902140399618997,0,0.172404931908193,0.24752329927562133,13,0.0
gemmatimonas spp.,0.6723912409186598,14,peripheral_node,0.006872381083783017,0,0.2196527503070074,0.36162814728336456,14,0.0
bacteroides caccae,-1.6759602572151673,2,connector_node,0.0172465471072751,0,0.007049815714745041,-0.26380024194816865,1,0.75
eubacterium rectale,-0.4114632966815681,8,peripheral_node,0.026338663864731066,0,0.09835734890631381,0.07215391537227712,8,0.0
citrobacter sp.,-0.5747048932153913,3,connector_node,0.0016570417281529617,2,8.042237960593295e-05,-0.01601585593606867,3,1.0
pseudomonas spp.,-1.612476805974758,1,connector_node,0.0,1,0.00012666165237256764,-0.06334577198167148,1,1.0
hydrogenophaga spp.,-0.9803789354850793,2,connector_node,0.0,2,1.2498771127729094e-06,-0.6210914020633537,2,1.0
rhodovibrio spp.,-0.4114632966815681,8,peripheral_node,0.04065473077362098,0,0.08024617728591292,0.5249042414517187,8,0.0
