,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
opitutus spp.,0.8053220621892411,3,0.0539947815157398,3,0.0,0.75,0.0005344191473546174,6,connector_node
paludibacter propionicigenes,0.35985703578332284,1,0.013940406330962017,3,-2.0,1.0,0.00036910897838670584,2,connector_node
magnetospirillum sp.,-0.17611783954804794,10,0.050537553529354476,1,-0.783251735531057,0.8888888888888888,0.0990764357782854,18,connector_node
rhodopseudomonas palustris,0.2987527566378352,8,0.06368326920125299,0,-0.8010177388792153,0.7155555555555555,0.020930494623170978,15,connector_node
acetobacter spp.,0.2804240063690807,3,0.019222074917322748,1,-1.678950502400731,0.8888888888888888,0.01924751806551399,6,connector_node
bacteroides spp.,0.7010356170744615,19,0.0867257245599586,0,1.0657608898647184,0.3175803402646503,0.03146352090012899,23,peripheral_node
pleomorphomonas oryzae,0.19031132869796122,18,0.1330225081672832,1,0.24040399803428483,0.9657064471879286,0.19018662396951577,27,connector_node
afipia sp.,0.5934323912437208,20,0.011177657670205508,0,1.2354680379323488,0.0,0.020712409124849104,20,peripheral_node
rhodoblastus acidophilus,0.661709265235581,15,0.024706857316864683,0,0.38693229759419706,0.3767313019390581,0.03931979722671921,19,peripheral_node
spirochaeta spp.,0.6590785616504162,5,0.0,4,0,0.9722222222222222,0.0015520083152217674,6,connector_node
citrobacter werkmanii,0.16561513697138877,15,0.007433014771526384,0,0.38693229759419706,0.0,0.011709185503919941,15,peripheral_node
pontibacter spp.,-0.3265829854473987,7,0.03074543924730975,2,-0.225572815378642,1.0,0.007533642217253354,9,connector_node
pontibacter sp.,-0.4680387736459226,8,0.0030707942373673835,2,0.2050661957987655,1.0,0.008615737867390562,9,connector_node
ruminococcus spp.,0.6178228948161119,5,0.0076855482463759,4,0,0.9183673469387755,0.0015996111143248518,7,connector_node
eubacterium sp.,-0.12503882330241115,21,0.021528945874118077,0,1.405175185999979,0.0,0.01618701188269367,21,peripheral_node
desulfovibrio mexicanus,-0.14775647630693356,6,0.010603354510841646,1,-1.2950796023137279,0.84,0.04803684581024793,10,connector_node
ancalomicrobium spp.,0.6313431242321144,13,0.010108331089587839,0,0.047518001458936386,0.0,0.008911948832131561,13,peripheral_node
rhodocyclus tenuis,0.7501883287981163,16,0.01684500725868589,0,0.5566394456618274,0.11418685121107264,0.02128286556657045,17,peripheral_node
escherichia spp.,-0.41085555838120835,23,0.009101700003332991,1,0.8801888315126235,1.0,0.21110267948880787,23,connector_node
rhodoplanes elegans,0.46611553589423443,5,0.030704811189566125,4,0,0.91,0.004577130678329215,10,connector_node
propionicimonas paludicola,-0.39891577797728245,5,0.0,0,-1.3101391830821063,0.0,0.0017003436880964453,5,peripheral_node
rhodopseudomonas spp.,0.6628027416413877,8,0.009402403703036246,0,-0.8010177388792153,0.0,0.0017289090759491069,8,peripheral_node
pleomorphomonas spp.,0.27067898417989184,24,0.06579882026503979,1,1.008145798208291,0.9985207100591716,0.21519588874988366,26,connector_node
caulobacter spp.,-0.5471461663111455,20,0.03296882528265531,0,1.2354680379323488,0.17355371900826455,0.02761790001160833,22,peripheral_node
opitutus terrae,-0.30555790409871836,6,0.00019190028049368164,0,-1.1404320350144759,0.0,0.002012093010501754,6,peripheral_node
barnesiella viscericola,-0.631896508946734,8,0.01600080351704538,2,0.2050661957987655,1.0,0.017688292277623686,11,connector_node
pontibacter salisaro,0.12977825348320685,3,0.004070062572985304,3,0.0,1.0,2.0969405587922167e-05,3,connector_node
phaeospirillum sp.,-0.5839918345731065,19,0.014333535381956607,0,1.0657608898647184,0.09750000000000003,0.025661937359656842,20,peripheral_node
