,within_module_connectivity,degree,node_role,betweenness,modularity,eigenvector_centrality,node_module_membership,within_module_degree,among_module_connectivity
opitutus spp.,-1.433062683344524,1,peripheral_node,0.0,0,N/A,-0.21906522787163152,1,0.0
paludibacter propionicigenes,0.31898088913156,8,connector_node,0.058867209223339205,1,N/A,-0.28987674530792695,6,1.0
magnetospirillum sp.,-1.118033988749895,1,connector_node,0.0,4,N/A,0.34126124322460166,1,1.0
rhodopseudomonas palustris,-0.8845379626717031,2,connector_node,0.014324185478402774,3,N/A,-0.263519935213978,1,1.0
acetobacter spp.,-0.0996815278536125,10,connector_node,0.16281172910487646,1,N/A,-0.10948073811899355,5,1.0
bacteroides spp.,-1.6192902627322676,3,connector_node,0.019508217412241003,2,N/A,0.20551829558677323,1,1.0
pleomorphomonas oryzae,-0.518343944838785,4,connector_node,0.00018243543372041372,1,N/A,-0.22476608325188777,4,1.0
afipia sp.,-0.518343944838785,5,connector_node,0.02404093778369902,1,N/A,-0.29180560982087916,4,1.0
rhodoblastus acidophilus,0,4,connector_node,0.0,6,N/A,-0.6255206700989454,4,1.0
spirochaeta spp.,-0.4439989430072347,7,connector_node,0.016798794200279063,2,N/A,0.04544301341839898,6,1.0
citrobacter werkmanii,1.118033988749895,3,connector_node,0.0005711022272986865,4,N/A,-0.1580700248043423,3,1.0
pontibacter spp.,1.99363055707225,10,connector_node,0.0686542477599768,1,N/A,-0.1423339048297158,10,1.0
pontibacter sp.,1.156305723101905,9,connector_node,0.04450400443934413,1,N/A,-0.2351983898887151,8,1.0
ruminococcus spp.,-1.6192902627322676,1,connector_node,0.0,2,N/A,0.33996289089043896,1,1.0
eubacterium sp.,1.288146232219797,14,peripheral_node,0.03896306422492805,0,N/A,-0.24509834156074678,14,0.0
ancalomicrobium spp.,1.156305723101905,8,connector_node,0.07527819479936503,1,N/A,-0.3512095216614251,8,1.0
rhodocyclus tenuis,-0.9370063618239575,4,connector_node,0.0593153708525586,1,N/A,-0.026845788353900165,3,1.0
escherichia spp.,1.118033988749895,3,connector_node,0.0005711022272986865,4,N/A,0.13614409512837125,3,1.0
rhodoplanes elegans,0.026117584882778416,8,connector_node,0.01656196459166191,2,N/A,-0.2737057780378034,8,1.0
propionicimonas paludicola,-0.8845379626717031,2,connector_node,0.00019389757396610623,3,N/A,0.6285681227589023,1,0.75
rhodopseudomonas spp.,-0.8845379626717031,1,connector_node,0.0,3,N/A,0.34469774776749307,1,1.0
pleomorphomonas spp.,1.156305723101905,9,connector_node,0.29713240981114103,1,N/A,0.0339243873187148,8,1.0
caulobacter spp.,0.8694987067483629,12,peripheral_node,0.06268321833636883,0,N/A,-0.2673387941698014,12,0.0
opitutus terrae,0,2,connector_node,0.0,9,N/A,-0.008965674789126772,2,1.0
barnesiella viscericola,0.7376433061167325,7,connector_node,0.008731643871305232,1,N/A,-0.1609498264403223,7,1.0
pontibacter salisaro,-0.518343944838785,4,connector_node,0.0,1,N/A,0.01804997897748816,4,1.0
phaeospirillum sp.,0,1,connector_node,0.0,10,N/A,0.77140820787822,1,1.0
rhodopseudomonas pangongensis,0.8694987067483629,12,peripheral_node,0.016720005035093913,0,N/A,-0.2727105126318477,12,0.0
prolixibacter spp.,2.1092828340632925,7,connector_node,0.08280018858086859,3,N/A,0.02261164068186463,5,0.9795918367346939
cloacibacterium normanense,0.9663506406628046,14,connector_node,0.025691608355936008,2,N/A,-0.3597669914996576,12,1.0
pleomorphomonas sp.,-0.8845379626717031,4,connector_node,0.2813468563821284,3,N/A,-0.13577800666345052,1,0.75
citrobacter spp.,0.0,2,connector_node,0.0,4,N/A,-0.1190181020924128,2,1.0
acidovorax caeni,0.026117584882778416,8,connector_node,0.0001288200512703804,2,N/A,-0.47566931032506715,8,1.0
fibrobacter spp.,0.31898088913156,6,connector_node,0.19579565155862746,1,N/A,0.06421542169291342,6,1.0
chlorobium spp.,0.31898088913156,6,connector_node,0.008237112928158392,1,N/A,-0.4297916003518393,6,1.0
inquilinus spp.,-1.6192902627322676,1,connector_node,0.0,2,N/A,0.07343230921413227,1,1.0
dechloromonas agitata,0.9663506406628046,14,connector_node,0.025691608355936008,2,N/A,-0.27186325919773857,12,1.0
acidovorax spp.,0.9663506406628046,12,connector_node,0.0015925525179162011,2,N/A,-0.26215214876059517,12,1.0
opitutus sp.,0.6601749440126459,14,peripheral_node,0.0685908286599405,0,N/A,-0.1566746844564867,11,0.38265306122448983
beijerinckia spp.,0,4,connector_node,0.0,6,N/A,-0.6337417702385179,4,1.0
rhodocyclus spp.,0,3,connector_node,0.03274319436512469,8,N/A,0.8564350788569958,2,1.0
bradyrhizobium elkanii,-0.13608276348795423,2,connector_node,0.013509161374165789,3,N/A,-0.23270330471126946,2,1.0
ochrobactrum anthropi,0.45085118127692897,11,peripheral_node,0.041344895623827684,0,N/A,-0.4326100472568416,10,0.17355371900826455
nitrospirillum azospirillum amazonense,0.24152741854121196,9,peripheral_node,0.0,0,N/A,-0.19036390472508843,9,0.0
acinetobacter junii,0.7312923767177981,12,connector_node,0.020108997508073833,2,N/A,-0.3559637716419134,11,1.0
propionibacterium acnes,0,2,connector_node,0.0,9,N/A,0.22192531098097668,2,1.0
brevundimonas sp.,0.6601749440126459,11,peripheral_node,0.0007025383815555599,0,N/A,-0.2541519994354606,11,0.0
rhizobium petrolearium,-0.8050913951373729,4,peripheral_node,0.01656196459166191,0,N/A,-0.5157992048946666,4,0.0
escherichia vulneris,1.288146232219797,14,peripheral_node,0.030315721923887023,0,N/A,-0.36007208771542826,14,0.0
brevundimonas spp.,0.6601749440126459,12,peripheral_node,0.0518375380779151,0,N/A,-0.19946985643287563,11,0.15972222222222232
parabacteroides distasonis,0,2,connector_node,0.0,8,N/A,0.8798294719222761,2,1.0
nitrobacter hamburgensis,-1.433062683344524,1,peripheral_node,0.0,0,N/A,-0.5569770353051111,1,0.0
methylocystis heyerii,0,2,connector_node,0.0,8,N/A,0.8555563394320453,2,1.0
pseudomonas veronii,0.9663506406628046,12,connector_node,0.01730523583986482,2,N/A,0.45683047077155986,12,1.0
stenotrophomonas spp.,0.49623411277279156,10,connector_node,0.002772150004473668,2,N/A,-0.2963899106468037,10,1.0
zoogloea sp.,0.49623411277279156,10,connector_node,0.002772150004473668,2,N/A,-0.299080622030895,10,1.0
bordetella hinzii,0.49623411277279156,12,connector_node,0.01819910646105431,2,N/A,-0.24893234552021007,10,1.0
cytophaga spp.,1.0788224694840798,14,peripheral_node,0.029208303666720677,0,N/A,-0.07775278504823822,13,0.1377551020408163
rhizobium straminoryzae,0.8694987067483629,12,peripheral_node,0.01446461829743892,0,N/A,-0.3412850285843049,12,0.0
methanosaeta sp.,0.2041241452319317,3,connector_node,0.0,5,N/A,-0.06142890908867776,3,1.0
pontibacter korlensis,-0.9370063618239575,3,connector_node,0.01656196459166191,1,N/A,-0.0248331081837168,3,1.0
bacteroides fragilis,0.7376433061167325,8,connector_node,0.020600839713256113,1,N/A,-0.0975295255173126,7,1.0
sphingobium yanoikuyae,0.9663506406628046,13,connector_node,0.004297334860503077,2,N/A,-0.31847991398237435,12,1.0
rhodothermus spp.,0.45085118127692897,11,peripheral_node,0.013733271362737935,0,N/A,0.04555611482834539,10,0.17355371900826455
rhodovibrio sodomensis,0.8694987067483629,15,peripheral_node,0.20578922871142444,0,N/A,-0.2860995771490184,12,0.3599999999999999
rhizobium sp.,-1.433062683344524,1,peripheral_node,0.0,0,N/A,-0.2382201971438961,1,0.0
enterobacter sp.,-1.223738920608807,2,peripheral_node,0.0,0,N/A,-0.10858874129369932,2,0.0
gemmatimonas spp.,0.6123724356957947,5,connector_node,0.012685812776763549,3,N/A,0.4248319382556674,3,0.84
bacteroides caccae,-0.9141154708972479,4,connector_node,0.011741040486264086,2,N/A,0.07576823941162356,4,1.0
eubacterium rectale,-1.433062683344524,1,peripheral_node,0.0,0,N/A,-0.48357481063227253,1,0.0
citrobacter sp.,-1.6192902627322676,1,connector_node,0.0,2,N/A,0.20192341165586408,1,1.0
hydrogenophaga spp.,-0.9370063618239575,3,connector_node,0.0,1,N/A,-0.01791385587616489,3,1.0
ochrobactrum intermedium,-0.595767632401656,5,peripheral_node,0.027679119591617778,0,N/A,0.025863303845598665,5,0.0
pseudochrobactrum kiredjianiae,0.2041241452319317,3,connector_node,0.0,5,N/A,-0.06142890908867776,3,1.0
steroidobacter spp.,1.2247448713915894,9,connector_node,0.06465829050066628,5,N/A,0.13332203414185764,4,0.691358024691358
oligotropha carboxidovorans,-1.7743311957943024,1,connector_node,0.0,1,N/A,0.14273081217432823,1,1.0
salinibacter spp.,-0.518343944838785,10,connector_node,0.04236782200831217,1,N/A,-0.35171741291526276,4,1.0
pantoea agglomerans,1.156305723101905,8,connector_node,0.008389673279663218,1,N/A,-0.33469621588628784,8,1.0
chelatococcus spp.,0,1,connector_node,0.0,10,N/A,0.35572044643758854,1,1.0
afipia broomeae,1.7067937576912307,18,peripheral_node,0.07611026871744388,0,N/A,-0.28629987948811597,16,0.2098765432098766
methyloligella halotolerans,-0.595767632401656,5,peripheral_node,0.021816406774268386,0,N/A,-0.08686086152738459,5,0.0
rhodopseudomonas oryzae,-1.8371173070873834,1,connector_node,0.0,5,N/A,0.07003642090541472,1,1.0
porphyromonas spp.,0,4,connector_node,0.0,7,N/A,-0.5662348296902121,4,1.0
methylocella silvestris,-0.17712010693022198,10,peripheral_node,0.11383369059685534,0,N/A,-0.1118717171786331,7,0.51
sphingobacterium spp.,0.7312923767177981,14,connector_node,0.03396957612245019,2,N/A,-0.2941354600546009,11,1.0
nitrobacter spp.,0,4,connector_node,0.0,7,N/A,-0.5662348296902121,4,1.0
spirosoma spp.,-0.8050913951373729,5,peripheral_node,0.00980063923261841,0,N/A,-0.1940653675703719,4,0.3599999999999999
hartmannibacter stappia sp.,0,4,connector_node,0.0,6,N/A,-0.7769983621495083,4,1.0
aquabacterium spp.,-0.8845379626717031,1,connector_node,0.0,3,N/A,-0.0692308862484374,1,1.0
tumebacillus sp.,-1.118033988749895,1,connector_node,0.0,4,N/A,0.30144586957817765,1,1.0
staphylococcus aureus,0,4,connector_node,0.0,7,N/A,-0.5662348296902121,4,1.0
lactobacillus iners,0,2,connector_node,0.0,9,N/A,0.49711282384079625,2,1.0
roseburia spp.,0.6123724356957947,6,connector_node,0.03538222341689397,3,N/A,0.19628999385398818,3,0.75
paenibacillus spp.,-0.13608276348795423,2,connector_node,0.016238667416064743,3,N/A,0.2291761901133879,2,1.0
oribacterium sinus,0.2041241452319317,3,connector_node,0.0,5,N/A,-0.06142890908867776,3,1.0
flexithrix dorotheae,1.3608276348795436,4,connector_node,0.04135226352278795,3,N/A,0.1757561712163211,4,1.0
methylococcus capsulatus,0,6,connector_node,0.06396344945745289,7,N/A,-0.09139552341430233,4,0.8888888888888888
methylopila sp.,-0.518343944838785,4,connector_node,0.0018590417265438397,1,N/A,-0.08880994167299891,4,1.0
enhydrobacter aerosaccus,0,4,connector_node,0.0,6,N/A,-0.8716563814095108,4,1.0
burkholderia ubonensis,-1.7743311957943024,1,connector_node,0.0,1,N/A,-0.05508275913184379,1,1.0
aeromonas spp.,-1.01441515787309,3,peripheral_node,0.0,0,N/A,0.2026836042705801,3,0.0
methylocystis sp.,0,4,connector_node,0.0,6,N/A,-0.6563460518553602,4,1.0
sphingomonas faeni,-1.01441515787309,3,peripheral_node,0.0,0,N/A,0.060669275764228474,3,0.0
lactobacillus helveticus,0,4,connector_node,0.0,7,N/A,-0.5662348296902121,4,1.0
