featureID	sC0C	s1C3A	s1C3B	s1C5A	s1C5B	s1C7A	s1C7B	s1C10A	s1C10B	s1C20A	s1C20B	s2C3A	s2C3B	s2C5A	s2C5B	s2C10A	s2C10B	s1M3A	s1M3B	s1M3C	s1M5C	s1M5A	s1M5B	s1M7A	s1M7B	s1M7C	s1M10A	s1M10B	s1M10C	s2M3A	s2M3B	s2M3C	s2M5A	s2M5B	s2M7A	s2M7B	s2M10B	s2M10A	s2M10C	s3M3A	s3M3B	s3M3C	s3M5A	s3M5B	s3M5C	s3M7A	s3M7B	s3M7C	s3M10A	s3M10B	s3M10C	s1G3A	s1G3B	s1G3C	s1G5A	s1G5B	s1G5C	s1G7A	s1G7B	s1G7C	s1G10A	s1G10B	s1G10C	s2G3A	s2G3B	s2G3C	s2G5A	s2G5B	s2G5C	s2G7A	s2G7B	s2G7C	s2G10A	s2G10B	s2G10C	s3G3A	s3G3B	s3G3C	s3G5A	s3G5B	s3G5C	s3G7A	s3G7B	s3G7C	s3G10A	s3G10B
OTU_1	6	11	13	30	15	23	25	5	8	0	0	42	39	3	22	0	1	59	94	36	89	82	88	38	34	52	69	63	77	38	31	31	33	18	28	23	38	5	4	6	27	45	9	6	9	2	4	11	19	25	22	20	18	30	16	7	15	12	12	4	7	10	13	12	16	19	45	23	30	5	4	8	1	3	2	32	30	46	1	14	10	6	3	1	16	16
OTU_2	17546	18302	32674	15446	22216	25011	21224	13067	13340	6896	12902	16708	15848	10566	24878	14849	14128	1179	2121	1224	2216	2054	1681	945	742	2023	2633	2345	2937	21662	26784	20862	17399	24527	25233	14729	10692	42046	56298	13093	10139	7693	23763	25159	15111	22189	11996	31216	17838	12257	19679	9700	4428	12766	6927	9794	10329	5375	5177	3760	3191	5961	6060	26573	25968	35296	13480	17081	21216	19921	19616	18845	12561	11609	7390	7112	6869	8322	9792	21106	39348	24470	34872	33561	16779	15614
OTU_3	3169	3033	4495	3138	4601	3633	1919	2952	2110	5739	7783	1552	1328	597	1315	2426	1821	756	1293	714	530	715	937	254	247	549	1464	1495	1298	1334	1432	1115	861	925	1064	830	1001	3192	2086	801	639	414	1514	1250	1272	2374	1785	1073	4207	1275	2274	3455	2142	2717	1522	2083	1888	2399	3849	1881	1502	1202	2636	3331	3828	7116	1729	2759	2600	3918	6140	3456	4906	7547	3593	424	610	599	993	2016	1433	3008	1979	2067	4900	2027
OTU_4	5243	3526	4658	2475	5861	5526	3808	4545	4121	4551	7429	12612	6432	5007	15282	16938	16987	3724	5802	3281	6647	8444	9214	1417	1296	3601	5878	4658	5997	14278	20531	15602	14969	17724	18452	15174	9510	30080	23869	4660	7512	4111	19999	29446	7436	13616	24846	17928	19104	11308	11368	29020	18697	29632	65195	58453	62564	35675	42014	39716	12377	14378	29203	23539	28539	28814	10011	10033	19739	27367	27639	34537	23663	17761	16951	8560	7179	6226	10400	21570	21360	27375	29348	27454	26958	15939
OTU_5	3809	1128	1313	1989	3024	2419	1540	1956	869	2546	3031	943	798	1123	2027	3723	4327	608	736	360	309	349	429	233	181	302	1177	611	815	4546	7792	7484	7470	8590	7619	5866	4654	13865	5190	48631	12606	12295	56349	20805	41872	29340	12847	17129	22577	7156	26149	1001	758	999	1261	1350	1164	1871	1257	1666	4174	2493	4494	7699	3374	8384	3468	9138	4099	6341	6504	5272	3236	10467	1954	1086	923	1287	2062	3568	2621	7346	3789	4428	9243	2211
OTU_6	9546	13226	18642	23944	15878	20226	27774	5608	6964	5674	1535	44735	56886	3899	14414	970	1081	81683	91515	55775	92462	95217	97059	32920	37103	60037	90129	66115	92018	50067	34742	34250	36904	17860	22157	18438	39492	3955	3747	2578	31297	47813	9500	3636	5900	3831	3184	11193	17951	26464	27195	22919	17614	26890	8393	11258	12172	10890	8694	3606	9008	9736	12267	15430	12867	19928	40673	26589	40337	5712	3832	4371	2596	1446	1106	40081	44125	58103	965	8503	5516	3122	3349	3948	17786	31737
OTU_7	1830	13726	26926	6587	22043	4882	2085	1844	1778	876	2000	3335	7702	2300	5697	6958	8323	574	536	342	243	351	389	130	83	217	363	238	418	4952	10747	7401	12759	18478	11669	5732	966	3135	9704	3057	5686	16845	11210	10393	3859	5505	11878	13053	4030	4011	4750	19167	16826	10141	512	1029	2274	486	637	358	149	328	380	1351	353	582	288	301	417	481	307	377	257	265	160	2672	4127	5853	1875	5312	5827	5316	4719	6523	4546	716
OTU_8	1913	786	1695	1043	2645	3758	3092	8430	8731	8495	19404	6255	5182	4020	11625	27890	48458	482	639	557	254	298	266	87	165	250	330	882	659	227	328	264	406	1167	836	992	5120	3728	1787	976	297	278	3780	9532	8579	6744	19340	17546	8331	15479	16778	941	373	487	639	744	770	1280	2027	1555	497	828	2950	1184	1731	952	2872	3564	2986	20216	21711	26394	41225	22831	21004	2689	1299	2436	12711	23268	35308	66777	35764	36097	68697	35174
OTU_9	321	282	357	14705	11055	23966	32521	4856	5427	351	398	21535	14501	7687	39936	511	401	302	388	224	242	240	278	112	94	143	234	189	247	191	169	331	336	368	4305	38514	18717	70	65	1492	6159	2470	3743	22806	11157	9924	1058	21067	6274	418	1620	202	204	220	135	134	142	121	91	80	53	88	101	495	266	2622	18417	42580	22087	19269	33186	25329	1157	701	1289	4036	4714	4185	789	4424	6726	2787	2274	5581	319	473
OTU_10	1329	288	856	272	4432	290	141	1410	1309	1704	1895	1804	1410	274	5056	3900	1942	294	228	256	285	418	292	65	338	1137	1242	5626	4150	189	1324	78	240	601	793	1050	655	3615	1250	293	74	72	12608	8931	2548	5341	18078	11496	12691	5939	7273	143	363	822	427	315	371	76	430	352	141	391	725	223	1031	323	260	718	452	2424	2305	4938	13432	12877	8319	682	156	516	3203	842	4900	5855	3639	2839	4891	5905
