,x
s1M07C,initial
s1M05B,initial
s1M05C,initial
s1M05A,initial
s1M07A,initial
s1M07B,initial
s1M10B,initial
s1M10C,initial
s1M03A,initial
s1M03B,initial
s1M03C,initial
s1M10A,initial
s1G10B,initial
s1G10C,initial
s1G07B,initial
s1G05B,initial
s1G05A,initial
s1G05C,initial
s1G10A,initial
s1G07A,initial
s1G07C,initial
s1G03B,initial
s1G03A,initial
s1G03C,initial
s1C05B,initial
s1C03A,initial
s1C03B,initial
s2M07A,initial
s2M05B,initial
s2M03C,initial
s2M05A,initial
s2M03A,initial
s2M03B,initial
s2G03C,initial
s2G03A,initial
s2G03B,initial
s3M07A,mid
s3M05B,mid
s3M07C,mid
s3M03A,mid
s3M05A,mid
s3M05C,mid
s3M03B,mid
s3M03C,mid
s3G03B,mid
s3G03A,mid
s3G03C,mid
s2G07C,mid
s2G07A,mid
s2G07B,mid
s2G05B,mid
s2G05A,mid
s2G05C,mid
s2C03A,mid
s2C03B,mid
s1C05A,mid
s1C07A,mid
s1C07B,mid
s2C05A,mid
s2C05B,mid
s2M07B,mid
s2M10B,mid
s1C10A,late
s1C10B,late
sC0C,late
s1C20A,late
s1C20B,late
s3G05B,late
s3G07A,late
s3G07B,late
s3G05C,late
s3G07C,late
s2C10A,late
s2C10B,late
s2G10C,late
s2G10A,late
s2G10B,late
s3M07B,late
s3G05A,late
s2M10A,late
s2M10C,late
s3M10A,late
s3G10B,late
s3M10B,late
s3M10C,late
s3G10A,late
