,test_id,R2,p_value,p_value_dispersion,adjusted_p_value,significant
1,all_cluster_OTU-level,0.351945582848993,9.99900009999e-05,0.319,9.99900009999e-05,TRUE
2,all_cluster_species,0.315234640245088,9.99900009999e-05,0.007,9.99900009999e-05,FALSE
3,all_cluster_genus,0.312979541224819,9.99900009999e-05,0.002,9.99900009999e-05,FALSE
4,all_cluster_family,0.329863952932904,9.99900009999e-05,0.004,9.99900009999e-05,FALSE
5,all_cluster_order,0.323871736215368,9.99900009999e-05,0.018,9.99900009999e-05,FALSE
6,all_cluster_class,0.329720449507685,9.99900009999e-05,0.006,9.99900009999e-05,FALSE
7,all_cluster_phylum,0.296493528784453,9.99900009999e-05,0.001,9.99900009999e-05,FALSE
8,p_vs_m_OTU-level,0.265167795723611,9.99900009999e-05,0.057,9.99900009999e-05,TRUE
9,p_vs_m_species,0.320174983886252,9.99900009999e-05,0.001,9.99900009999e-05,FALSE
10,p_vs_m_genus,0.332409995288393,9.99900009999e-05,0.001,9.99900009999e-05,FALSE
11,p_vs_m_family,0.352260060148225,9.99900009999e-05,0.002,9.99900009999e-05,FALSE
12,p_vs_m_order,0.337915664605797,9.99900009999e-05,0.024,9.99900009999e-05,FALSE
13,p_vs_m_class,0.374700162660136,9.99900009999e-05,0.01,9.99900009999e-05,FALSE
14,p_vs_m_phylum,0.398167799927023,9.99900009999e-05,0.002,9.99900009999e-05,FALSE
15,p_vs_l_OTU-level,0.350380251539432,9.99900009999e-05,0.201,9.99900009999e-05,TRUE
16,p_vs_l_species,0.30828065696183,9.99900009999e-05,0.002,9.99900009999e-05,FALSE
17,p_vs_l_genus,0.314757722631909,9.99900009999e-05,0.004,9.99900009999e-05,FALSE
18,p_vs_l_family,0.333141231077903,9.99900009999e-05,0.004,9.99900009999e-05,FALSE
19,p_vs_l_order,0.317620535506591,9.99900009999e-05,0.014,9.99900009999e-05,FALSE
20,p_vs_l_class,0.324359911384419,9.99900009999e-05,0.01,9.99900009999e-05,FALSE
21,p_vs_l_phylum,0.255293196434052,9.99900009999e-05,0.001,9.99900009999e-05,FALSE
22,l_vs_m_OTU-level,0.238092419892124,9.99900009999e-05,0.672,9.99900009999e-05,TRUE
23,l_vs_m_species,0.15946171518182,9.99900009999e-05,0.315,9.99900009999e-05,TRUE
24,l_vs_m_genus,0.137671633905593,9.99900009999e-05,0.299,9.99900009999e-05,TRUE
25,l_vs_m_family,0.140520893642381,9.99900009999e-05,0.14,9.99900009999e-05,TRUE
