,test_id,R2,p_value,p_value_dispersion,adjusted_p_value,significant
1,all_cluster_OTU-level,0.351945582848993,9.99900009999e-05,0.319,9.99900009999e-05,TRUE
8,p_vs_m_OTU-level,0.265167795723611,9.99900009999e-05,0.057,9.99900009999e-05,TRUE
15,p_vs_l_OTU-level,0.350380251539432,9.99900009999e-05,0.201,9.99900009999e-05,TRUE
22,l_vs_m_OTU-level,0.238092419892124,9.99900009999e-05,0.672,9.99900009999e-05,TRUE
23,l_vs_m_species,0.15946171518182,9.99900009999e-05,0.315,9.99900009999e-05,TRUE
24,l_vs_m_genus,0.137671633905593,9.99900009999e-05,0.299,9.99900009999e-05,TRUE
25,l_vs_m_family,0.140520893642381,9.99900009999e-05,0.14,9.99900009999e-05,TRUE
26,l_vs_m_order,0.153496312585289,9.99900009999e-05,0.149,9.99900009999e-05,TRUE
27,l_vs_m_class,0.138469360820536,9.99900009999e-05,0.137,9.99900009999e-05,TRUE
28,l_vs_m_phylum,0.138391128448923,9.99900009999e-05,0.069,9.99900009999e-05,TRUE
29,all_focused.cluster_OTU-level,0.585541385878212,9.99900009999e-05,0.379,9.99900009999e-05,TRUE
33,all_focused.cluster_order,0.592150492963244,9.99900009999e-05,0.177,9.99900009999e-05,TRUE
34,all_focused.cluster_class,0.597185267773516,9.99900009999e-05,0.16,9.99900009999e-05,TRUE
36,p_focused.cluster_OTU-level,0.387535999926294,9.99900009999e-05,0.807,9.99900009999e-05,TRUE
37,p_focused.cluster_species,0.353335782046579,9.99900009999e-05,0.44,9.99900009999e-05,TRUE
38,p_focused.cluster_genus,0.381088861545829,9.99900009999e-05,0.231,9.99900009999e-05,TRUE
39,p_focused.cluster_family,0.379741860519726,9.99900009999e-05,0.395,9.99900009999e-05,TRUE
40,p_focused.cluster_order,0.332466682138274,9.99900009999e-05,0.877,9.99900009999e-05,TRUE
41,p_focused.cluster_class,0.193462557271589,0.0001999800019998,0.804,0.0001999800019998,TRUE
42,p_focused.cluster_phylum,0.295082395100703,9.99900009999e-05,0.926,9.99900009999e-05,TRUE
43,m_focused.cluster_OTU-level,0.340715529183014,9.99900009999e-05,0.386,9.99900009999e-05,TRUE
44,m_focused.cluster_species,0.329156574396922,9.99900009999e-05,0.246,9.99900009999e-05,TRUE
45,m_focused.cluster_genus,0.350213365030059,9.99900009999e-05,0.115,9.99900009999e-05,TRUE
46,m_focused.cluster_family,0.338225316082346,9.99900009999e-05,0.275,9.99900009999e-05,TRUE
47,m_focused.cluster_order,0.301049462036111,9.99900009999e-05,0.452,9.99900009999e-05,TRUE
48,m_focused.cluster_class,0.304638295089929,9.99900009999e-05,0.642,9.99900009999e-05,TRUE
49,m_focused.cluster_phylum,0.325247251280104,0.0001999800019998,0.14,0.0001999800019998,TRUE
50,l_focused.cluster_OTU-level,0.371727855738995,9.99900009999e-05,0.254,9.99900009999e-05,TRUE
