"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"OTU_640";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Afipia";"afipia sp."
"OTU_23";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Afipia";"afipia sp."
"OTU_3";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodopseudomonas";"rhodopseudomonas palustris"
"OTU_107";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodopseudomonas";"rhodopseudomonas palustris"
"OTU_298";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodopseudomonas";"rhodopseudomonas palustris"
"OTU_87";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodopseudomonas";"rhodopseudomonas palustris"
"OTU_437";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodopseudomonas";"rhodopseudomonas palustris"
"OTU_27";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Hyphomicrobiaceae";"Ancalomicrobium";"ancalomicrobium spp."
"OTU_14";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Hyphomicrobiaceae";"Ancalomicrobium";"ancalomicrobium spp."
"OTU_429";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodoblastus";"rhodoblastus acidophilus"
"OTU_5";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodoblastus";"rhodoblastus acidophilus"
"OTU_136";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Rhodoblastus";"rhodoblastus acidophilus"
"OTU_25";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Nitrospirillum";"azospirillum amazonense"
"OTU_215";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Eubacteriaceae";"Eubacterium";"eubacterium sp."
"OTU_4";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methylocystaceae";"Pleomorphomonas";"pleomorphomonas oryzae"
"OTU_548";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methylocystaceae";"Pleomorphomonas";"pleomorphomonas oryzae"
"OTU_41";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methylocystaceae";"Pleomorphomonas";"pleomorphomonas oryzae"
"OTU_467";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";"magnetospirillum sp."
"OTU_67";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";"magnetospirillum sp."
"OTU_608";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";"magnetospirillum sp."
"OTU_222";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";"magnetospirillum sp."
"OTU_315";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";"magnetospirillum sp."
"OTU_6";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Magnetospirillum";"magnetospirillum sp."
"OTU_259";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methylocystaceae";"Pleomorphomonas";"pleomorphomonas oryzae"
"OTU_9";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Eubacteriaceae";"Eubacterium";"eubacterium sp."
"OTU_521";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Eubacteriaceae";"Eubacterium";"eubacterium sp."
"OTU_569";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Caulobacter";"caulobacter spp."
"OTU_116";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Acetobacter";"acetobacter spp."
"OTU_11";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Acetobacter";"acetobacter spp."
"OTU_43";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfovibrionales";"Desulfovibrionaceae";"Desulfovibrio";"desulfovibrio mexicanus"
"OTU_16";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Rhodocyclales";"Rhodocyclaceae";"Rhodocyclus";"rhodocyclus tenuis"
"OTU_284";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"escherichia spp."
"OTU_7";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Citrobacter";"citrobacter werkmanii"
"OTU_20";"Bacteria";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Nocardioidaceae";"Propionicimonas";"propionicimonas paludicola"
"OTU_409";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutus";"opitutus spp."
"OTU_565";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutus";"opitutus spp."
"OTU_2";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutus";"opitutus spp."
"OTU_115";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutus";"opitutus spp."
"OTU_484";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutus";"opitutus spp."
"OTU_15";"Bacteria";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Spirochaeta";"spirochaeta spp."
"OTU_22";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus";"ruminococcus spp."
"OTU_457";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter spp."
"OTU_10";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter spp."
"OTU_51";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter spp."
"OTU_274";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter sp."
"OTU_211";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter sp."
"OTU_224";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter spp."
"OTU_36";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Pontibacter";"pontibacter salisaro"
"OTU_13";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"bacteroides spp."
"OTU_30";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"bacteroides spp."
"OTU_12";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Paludibacter";"paludibacter propionicigenes"
"OTU_584";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"bacteroides spp."
"OTU_8";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"bacteroides spp."
