	Olin1	Olin2	Olin3	Olin4	Olin5	Olin6	Olin7	Olin8	Olin9	Olin10	Olin11	Olin12	Olin13	Olin14	Olin15	Olin16	Olin17	Olin18	Olin19	Olin20	Olin21	Olin22	Olin23	Olin24	Olin25	Olin26	Olin27	Olin28	Olin29	Olin30	Olin31	Olin32	Olin33	Olin34	Olin35	Olin36	Olin37	Olin38	Olin39	Olin40	Olin41	Olin42	Olin43	Olin44	Olin45	Olin46	Olin47	Olin48	Olin49	Olin50	Olin51	Olin52	Olin53	Olin54	Olin55	Olin56	Olin57	Olin58	Olin59	Olin60	Olin61	Olin62	Olin63	Olin64	Olin65	Olin66	Olin67	Olin68	Olin69	Olin70	Olin71	Olin72	Olin73	Olin74	Olin75	Olin76	Olin77	Olin78	Olin79	Olin80	Olin81	Olin82	Olin83	Olin84	Olin85	Olin86	Olin87	Olin88	
actinobacteria	0.0283652536988290823273123400	0.0888136439960588945476748900	0.0153087259738050688892668800	0.0313700140689760066922696700	0.0148817576708696358028031800	0.0049103854652590228332924100	0.0110795139786534697344609800	0.0165580733025905105681902900	0.0141424530727693494471586500	0.0027474037035001923182592500	0.0310833751763383784042273400	0.0266688217229675125262647500	0.0021233000329111505101228300	0.0084913971532591043698852600	0.0069061454828875580856164700	0.0051831823011601689717430200	0.0042394437849754112260471400	0.0160895292918819386095071200	0.0064171907372435415558937300	0.0014829974344144384630214600	0	0.0083592469990303273481124800	0.0025003125390673834229278700	0.0046445739764520099393883100	0.0040879731828959202027634700	0.0526710822590627180911999800	0.0092822192460185909591184500	0.0050867287247571087033928500	0	0.0013233464785750205118704200	0.0045335025840964729349895700	0.0010437105999248528368054100	0.0039878132427302164585028200	0.2910636906221895184367590500	0.0463855862893972315129025200	0.0128638044701720533847885500	0.0031749055465599898403022500	0.0065515236387162289429935500	0.0243525499929752259635648400	0.0566878816769306088793836500	0.0070488485202452999285045400	0.0943240502747187964251184900	0.0180302631031469743831569600	0.0058439091856512549794976200	0.0031838261630914952043618400	0.0023457658925639221205723700	0.0103368885965324437344359300	0.0167189543769239090882269100	0.0093850449309026066962295600	0.0068448143686343226371700800	0.0480775651384233229610438200	0.0052526066060282415148517500	0.0050319951021914338670043700	15.357894736842105263157894740	0.0622106186387092826401778600	0.0033881938385695045613559600	0.0014044549310412628858739900	0.0034500306190217438179763800	0.0069556346436976153765896500	0.0117089690703078558175562500	0.0339687898875941861901428700	0.1098322425336643346122019100	0.0041363905855750272312380200	0.0119539374941890581625469900	0.0138776207353003971134548900	0.0100990973931704853878684600	0.0164330227913385329102883400	0.0062127236580516898608349900	0.0113387255272507370171592700	0.0747316041776789457375644800	0.0478543159419540081223001100	0.0238623019585926265486947900	0.0338846098708475062230389300	0.0254692953494953306291859300	0.0101600776681492854078706700	0.0252322044763294643953136300	0.027419976105449393822671100	0.0236239073942830144105835100	0.0300252963121429804610384200	0.0338376758350655000725093100	0.0058537727565415910554352300	0.0127747806177097766378742800	0.0028995382485339209730850400	0.0079635164765155899107555300	0.010379288870436819785890100	0.391378169155946933724711500	0.0268666340286816244163970100	0.0047984261162338752889052400	
firmicutes	1.0245529636017064536625215600	0.4912504683532007604668267200	0.4082326926348018370471168600	0.3051446823073120650975322300	0.3882785865035986795822284800	0.3142646697765774613307144600	0.3887062820844258965173394400	0.4222308692160580194888522800	0.376703522756492671637953200	0.2573401468945180138102826200	18.237572627501613944480309880	9.318732826895102634556327780	0.1645557525506141645345195500	0.1613365459119229830278199400	0.1618011227419370751487287800	0.2375625221365077445382216500	0.2696286247244361539765982700	22.243774246026780127643599050	31.011532608496360536110449020	0.1942726639082914386558111300	0.1454298335032279986408426800	0.1571538435817701541445146600	0.2975371921490186273284160500	0.2461624207519565267875804100	0.2289264982421715313547543100	6.7010784404092543091529173200	7.7148502247623088857358810800	0.1551452261050918154534818700	0.2270954718539248520438592500	0.1468914591218272768176163900	0.2440535557771934596669386800	0.2536216757817392393437147700	0.2927054920163978880541066500	18.152236121331044068350911620	12.226264007226386074558726590	0.5831591359811330867770809900	0.3121990454117323342963880200	2.2774734049087290863081345400	0.210743221093054840069311100	0.1795116253102802614513815500	0.3786238633731761104453865300	18.796425118494588157615488010	28.772832554333504389675593960	18.581683240642440416475927960	35.132725753173876706331834280	17.824693095629056220189225120	0.3608513837334962176384908100	0.4474778965588458020672495400	15.613586416711636673627241660	23.510568393385171394151790600	17.510249869789927750103500310	3.9560882087736039009358394100	33.404060820047468487130672530	26.863157894736842105263157890	0.5945703387929100291676015300	0.3998068729512015382400027100	0.8679531473835004634701272400	0.6503307716855987096885484900	1.5487879806633356905206292500	17.409435627690811161349593790	0.504385061967307613126363900	0.7101481982998570676295794800	5.7578556951204379058833262100	6.5109112885016403458672581700	4.6265852512916862376702677300	1.9895221864545856214100864700	8.063557875842192418056099810	2.6694002650762094102054340600	1.5628543351727265855317862300	4.2451196617027869420192114900	4.5746139320727385602317700900	2.4892148674700308326059517600	15.471582541606391158723332160	10.928214319403829827374775960	1.6797995078006818541012846900	1.6414571939060816432302677300	3.8518537862417005608037970100	9.064580763139704788653524770	0.844461458779021325466705700	13.223280320974525064049886400	4.1939029704644643472718166900	0.4294291638414747992885429900	1.2178060643842468086957152100	0.1762591646802117233580556300	0.3610509771359093739806055600	0.0374111485222596333707444800	0.0662710306040813402271126100	0.0671779656272742540446733500	
fibrobacteres	0.0045384405918126531723699700	0	0	0	0	0	0	0	0.001285677552069940858832600	0	0	0.0024244383384515920478422500	0	0	0	0	0.0008478887569950822452094300	0	0	0	0.0013591573224600747536527400	0	0	0	0.0013626577276319734009211600	0.0052671082259062718091200	0	0	0.0022938936550901500206450400	0.0026466929571500410237408400	0.0007555837640160788224982600	0.0073059741994739698576378700	0.006380501188368346333604500	0.0008175946365791840405526900	0	0	0.0010583018488533299467674200	0	0	0	0	0.0023581012568679699106279600	0.0062412449203201065172466400	0.000973984864275209163249600	0	0	0	0	0.0015641741551504344493715900	0.0034224071843171613185850400	0.0013354879205117589711401100	0.0008754344343380402524752900	0.0008386658503652389778340600	0	0.0040793848287678218124706800	0.0025411453789271284210169700	0.0154490042414538917446139200	0.0077625688927989235904468700	0.013911269287395230753179300	0.0009006899284852196782735600	0.0010293572693210359451558400	0.0075227563379222146994658800	0	0	0	0	0	0	0.0018897875878751228361932100	0.0009113610265570603138727400	0.0051734395612923252024108200	0.0025118212587992238472310300	0.0071678982419100493933351600	0.0009433072351664937270068900	0.0141112189835406741775981600	0.0054556117786658301395272700	0.0032642828696963564074608400	0.0052497571987295587579074500	0.0142620157482679157189932500	0.0012084884226809107168753300	0.0208134142454812126415474800	0.0009826754321315212798364800	0.0101483838698687234057976300	0.0132725274608593165179258800	0.010379288870436819785890100	0.0028777806555584333362111100	0.002388145246993922170346400	0.0015994753720779584296350800	
chlorobi	0.0045384405918126531723699700	0	0	0.0009506064869386668694627200	0.0013528870609881487093457400	0	0.0009232928315544558112050800	0	0.001285677552069940858832600	0	0.0011955144298591684001625900	0	0	0	0	0	0	0	0.0009167415338919345079848200	0.0014829974344144384630214600	0	0.001671849399806065469622500	0	0	0	0.006583885282382839761400	0.0159123758503175845013459200	0	0	0.0026466929571500410237408400	0.0015111675280321576449965200	0	0.0007975626485460432917005600	0	0.0008137822156034602019807500	0	0	0	0	0.0008589072981353122557482400	0.0010069783600350428469292200	0.0023581012568679699106279600	0.0027738866312533806743318400	0.000973984864275209163249600	0.0007959565407728738010904600	0.0007819219641879740401907900	0.000939717145139313066766900	0	0.000782087077575217224685800	0.0020534443105902967911510200	0.0020032318807676384567101600	0.0008754344343380402524752900	0.0050319951021914338670043700	0	0	0.0008470484596423761403389900	0.0063200471896856829864329700	0.0017250153095108719089881900	0.0023185448812325384588632200	0.0009006899284852196782735600	0.0020587145386420718903116900	0.0030091025351688858797863500	0.0013787968618583424104126700	0	0.0010675092873307997779580700	0	0	0	0	0.0045568051327853015693636900	0.0084068392871000284539175900	0	0.0013032542258018271624245700	0	0.0033866925560497618026235600	0.0054556117786658301395272700	0.0071814223133319840964138600	0	0.0045037944468214470691557600	0	0.0026016767806851515801934300	0.0029480262963945638395094500	0.0014497691242669604865425200	0.0021236043937374906428681400	0.0014827555529195456836985900	0	0.005373326805736324883279400	0.0031989507441559168592701600	
verrucomicrobia	20.784923300353998366161386950	26.709315718627274114985914710	29.056812383058343255655723760	9.789345602494391421727061870	6.3409816548514530007035012700	13.305180456665848269089123500	1.3110758208073272519112161600	2.0664475481632957189101476200	1.853947030084854718436616100	2.4250416689561697529168269300	19.423522941921908997441599120	18.796670438015193146920963310	7.8540868217383457369443589200	11.161941557959092694214174260	10.914669639597865014453575900	2.1181938337407890531189799500	1.739019840596913684924537900	23.443338041010422439530185740	20.585431143543389376799105260	8.580623155521940947042161620	7.5406048250084947332653754700	6.7124753402213528605343230700	2.7428428553569196149518689800	2.0668354195211444230277977800	3.2008830022075055187637969100	17.980590706187535388383392810	18.609523556946415074324055530	8.492293605981992980314359840	14.469881176308666330228930590	8.554111637508932588730381390	2.3234200743494423791821561300	2.7856635911994322214336408800	2.719688631542007624698920100	14.484506581636824462431526450	13.737457581602011669636971750	29.825802647799753443747655040	28.772052364775481262765766050	30.409715909556216167522459440	21.549196834168500913220624740	24.265848986918841849399194340	21.896744438962006706475877830	25.953262433088876836371353790	18.051067252881374738214449180	13.877336346193180157980344990	14.184741513113384009233095870	17.423567128000625537571350380	17.170511675985528355964854580	25.179728759551932022698439240	16.211100943979102633287190200	14.039398751505859161099550980	13.165907664365175816984735370	23.083455164625445377268469480	12.922163422427602170467220750	0.4842105263157894736842105300	15.742346054215024374324351890	12.470247422855061538070593020	9.222353304682452740091570460	10.510518280849742541465055500	8.946105424235749643523724510	10.138165835029632698647163730	13.790299337093918557252851320	10.894455728578951327766493640	10.374067588622168295944958430	9.731833335547025461886862620	9.452794739314232033818694220	17.414631067348355740705674430	13.521849599919098964719564150	8.460694168323392975480450630	19.141658477587119207801043160	20.111915134061207006543572170	26.493183993377997361545823740	15.741583828894735850596871530	17.171026052051973778524976870	14.992925195736251297047448350	14.457790521776433135399968390	24.778024795755534036197984150	22.827782964360559628655180740	20.380432405001268691323026310	9.478986045743538931549830730	19.632498670662735050998211440	12.117309606041093484750921970	12.545817242023132179672376010	14.907251020275021202873442400	9.349699244527736927887703800	12.026630289730435040479226590	6.1757172868283979395090506200	25.914361111442797950971378080	46.619908669956254348573667840	
streptophyta	0.0011346101479531632930924900	0	0.0008504847763225038271814900	0.0019012129738773337389254300	0	0.0029462312791554136999754500	0	0.0016558073302590510568190300	0	0.0027474037035001923182592500	0	0.0008081461128171973492807500	0	0	0	0.0008638637168600281619571700	0.0016957775139901644904188600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007975626485460432917005600	0	0.0016275644312069204039614900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gemmatimonadetes	0	0	0	0	0.0013528870609881487093457400	0	0.0009232928315544558112050800	0	0	0	0.0023910288597183368003251800	0.001616292225634394698561500	0	0	0	0	0	0.0026815882153136564349178500	0.0027502246016758035239544600	0	0	0	0	0	0	0.0013167770564765679522800	0.0013260313208597987084454900	0	0	0	0	0	0	0.0016351892731583680811053900	0.0016275644312069204039614900	0.0010719837058476711153990500	0.0010583018488533299467674200	0	0	0	0	0.0047162025137359398212559200	0.0041608299468800710114977600	0.0029219545928256274897488100	0.0023878696223186214032713800	0.0039096098209398702009539400	0	0	0.0046925224654513033481147800	0.0013689628737268645274340200	0.0006677439602558794855700500	0	0.0016773317007304779556681200	0	0	0	0.0014044549310412628858739900	0.000862507654755435954494100	0.0011592724406162692294316100	0.0018013798569704393565471200	0	0	0	0	0	0	0	0	0.0018897875878751228361932100	0.0018227220531141206277454800	0.0006466799451615406503013500	0.0037677318881988357708465500	0.0045613897903063950684860100	0.0018866144703329874540137700	0.0005644487593416269671039300	0	0.0026114262957570851259686800	0.0078746357980943381368611700	0.0015012648156071490230519200	0.0072509305360854643012519900	0	0	0	0	0	0	0	0	
proteobacteria	47.582145774711809022419896520	63.461511774746395414995628700	61.377785337642456200034019390	83.81117152743450321304992585	85.21294442339953460685102008	78.086913822735084704149275720	85.98349152417180633009565314	88.80757035111394438143177660	83.57418359475443558755464130	95.73602945216770152206165174	57.323721397317265619396026110	57.348472603846775497009859380	90.03110634548214835497329950	87.00179380764862598579813826	86.98092917254511192888643337	95.17359341390302265914529324	96.47278277090045785992877734	44.930904410318751452526949960	42.599145596890412717038558150	88.72625350358143880411086889	88.20659191301393136255521577	89.24164911224796870297923563	92.45655706963370421302662833	94.90490234783214509649102436	93.23304172457962009102553621	42.483178173103511844409623010	41.106970946653759961810297960	88.71254895976397578717127016	80.17387713905583337156489425	84.17806950215705476007728343	82.15386707770423429141354611	84.18256585813885525821400242	87.13930229219505192132842035	57.722181342490393263020194590	66.068536738198123418210818420	67.634667953047113683872005150	67.240266268745171497814606680	65.893586877298151651393427180	77.161054652742003465555191310	72.141341784981146984805929900	74.674494245118672399730129800	40.641875162119461409672931360	35.643056268290314974826978820	63.908016869417849246622707480	46.679667290165956938751144190	61.671749159433888497927906790	76.337922285392096978809378380	70.115360785200774972708765650	48.579338823584617911358250630	44.278419669258569707589530170	45.217617756647391124347280280	63.084680772833518633621934890	46.690205221533584373977875990	52.526315789473684210526315790	42.812123931711097966426662860	38.212050111386872442972462450	41.980562343754388921659503950	48.528130687159848543655824950	45.496806204426102178272915920	58.789833012087258840271648080	45.655082966195907275497179560	54.514406078387121041149477170	78.348752878238449129289781740	81.47538152983835620077302129	82.25799564456210769033690593	78.512907908855646026636369370	77.573980204527929818351894220	88.26312955599734923790589795	42.816917378486658099629601630	49.698339500209613036108123870	35.748467368529967148658785790	65.583653067247734651202220450	48.473889301586060392800823660	61.166871049900952740307518160	38.502743220970400307060125080	41.547893451901962656337375030	43.753794728836022014323673230	54.465355977286050520163442440	49.092110102761576628309350630	42.810702373471262145308647940	58.224225513343349788938971170	56.565745899786759431227459880	59.706566729248367197523794340	47.088803826735117514958138450	50.914118798374899914000177930	78.140378140378140378140378140	60.747847684096146727643975310	48.861573403923513087707232030	
euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010069783600350428469292200	0	0	0	0	0	0	0	0.000782087077575217224685800	0	0.0006677439602558794855700500	0	0	4.3052631578947368421052631600	0	0	0	0	0	0	0	0.0015045512675844429398931800	0	0.0013282152771321175736163300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006042442113404553584376700	0	0	0	0	0	0	0	0	
bacteroidetes	28.348234546609784877915948080	8.892466105105396816585948020	8.953053240346997788739581560	5.9232290201148332636221909600	7.867038259646084744845500300	8.161060643260495948931991160	12.132991099457103815045979980	8.557212282778775861640739480	14.061455386988943173052198510	1.5348828690221074418008315500	4.6637017908806159290342634400	14.015678034588653628576046550	1.909908379603579883855488200	1.6420239245114793075265621500	1.9031363766414427924505963900	2.4274570443766791350996466800	1.4795658809564185178904527700	8.868012228042261830273343230	5.5921233567408004987073944400	2.4662247334312111640046862700	4.0788311247026843357118586500	3.8335506737553081218443842600	4.4205525690711338917364670600	2.7402986461066858642391026700	3.2908184122312157632245932500	31.162845818574457158658467530	30.685690796016601912137164680	2.6069484714380182104888346300	5.0763866587145019956874799300	7.0693168885477595744117724900	14.907667664037235167890712360	12.671690393687638291654490040	9.579524971686525976615463140	9.258441664622680075218706570	7.8318400429677009838626986600	1.9231387682907219810258884100	3.6521996803928416462943560800	1.396293475501396293475501400	1.0312368285486816840724956700	3.3213945218892524929784328400	3.0239560151852336693284461300	14.259438300280614049567288420	17.361062953357096295474403960	3.6047179826825491131867810800	3.9813746169459147530544832300	3.0635702556884822894675111400	6.1062820091152563078513367500	4.2308789252662739351501263800	19.570947029242235830537372030	18.147656335560179607929032960	24.036779337330893842065198520	9.849512820737290880599497500	6.966797218984040188867549500	0.4315789473684210526315789500	39.986130091582189405837599690	48.875543169824745673699992380	47.896828740765708828403696530	40.283420015352636254646759990	43.975840762337556949258645270	13.640048276980166807774755460	36.79746366368839296743113600	29.722410291130670277589708870	5.5013994788147862175465688600	2.2539813252932035224269149500	3.6370041419360348435031384800	2.053903932336047465757747900	0.8064821954518449228279968100	0.5922796554009277667329357200	36.459671932874744878675636860	25.853489601370686983941818710	33.112599912051527458030471560	16.143475230302611666153836490	18.828113800158997015547822910	12.872370531081973398735968300	45.322977580095278950576866630	31.986251858317762108048391280	29.515645707794454636260959830	16.046757837450017936670428990	40.526643697314987877286613970	24.280949388504858123459177260	25.435293046368384423761114040	30.442302212002397728054400910	24.151703841163294745311809090	43.361347214627387064063835550	36.632217312653835888615402860	15.249359693804138248582693030	13.236892067775562109687511190	4.4417431082604905590966163100	
