	Olin1	Olin2	Olin3	Olin4	Olin5	Olin6	Olin7	Olin8	Olin9	Olin10	Olin11	Olin12	Olin13	Olin14	Olin15	Olin16	Olin17	Olin18	Olin19	Olin20	Olin21	Olin22	Olin23	Olin24	Olin25	Olin26	Olin27	Olin28	Olin29	Olin30	Olin31	Olin32	Olin33	Olin34	Olin35	Olin36	Olin37	Olin38	Olin39	Olin40	Olin41	Olin42	Olin43	Olin44	Olin45	Olin46	Olin47	Olin48	Olin49	Olin50	Olin51	Olin52	Olin53	Olin54	Olin55	Olin56	Olin57	Olin58	Olin59	Olin60	Olin61	Olin62	Olin63	Olin64	Olin65	Olin66	Olin67	Olin68	Olin69	Olin70	Olin71	Olin72	Olin73	Olin74	Olin75	Olin76	Olin77	Olin78	Olin79	Olin80	Olin81	Olin82	Olin83	Olin84	Olin85	Olin86	Olin87	Olin88	
desulfovibrio desulfuricans	0.0045384405918126531723699700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008638637168600281619571700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
paenibacillus spp.	0	0.0013877131874384202273074200	0.0008504847763225038271814900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007555837640160788224982600	0	0	0	0.0008137822156034602019807500	0	0	0	0	0.0008589072981353122557482400	0	0	0	0	0	0	0	0	0	0	0	0.0008754344343380402524752900	0.0008386658503652389778340600	0	0.0010198462071919554531176700	0	0	0	0.0011592724406162692294316100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008749595331215931263179100	0	0	0	0	0	0	0	0	0.001791108935245441627759800	0	
prevotella nanceiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009366365381913548447524900	0	0	0	0	0	0.0007959565407728738010904600	0	0	0	0	0	0.0013354879205117589711401100	0	0	0	0	0	0	0	0	0	0	0	0.0013787968618583424104126700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
methylocystis heyerii	0.0011346101479531632930924900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013167770564765679522800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006677439602558794855700500	0	0.0008386658503652389778340600	0	0	0.0008470484596423761403389900	0	0	0	0	0.0010293572693210359451558400	0.0030091025351688858797863500	0	0	0	0	0	0	0	0	0	0	0	0	0.0005644487593416269671039300	0	0.0013057131478785425629843400	0	0	0.0006042442113404553584376700	0.0006504191951712878950483600	0	0	0.0005309010984343726607170400	0	0	0	0	
citrobacter werkmanii	2.0797404011981483162385404400	19.074117761341086024340489310	22.940125871746895730566422860	18.284915776265257234115365600	22.802911412955246496022512040	9.975939111220230788116867170	0.5447427706171289286109982600	0.4495516901653323619263662500	0.4487014656724093597325790700	0.2280345073905159624155173400	7.8915907515003706094732563400	17.846290609342169064166801360	0.5467497584746212563566294700	1.0985745067028966278539055100	2.2602827573279136534496196700	0.3135825292201902227904525800	0.3340681702560624046125148400	4.3727765164381357598727139500	1.9187400304358189252122256700	0.7237027479942459699544719800	0.8766564729867482161060142700	0.6018657839301835690640987100	0.3300412551568946118264783100	0.19507210701098441745430900	0.3065979887171940152072602400	2.4360375544816507117179990300	2.3616617824513014997414238900	0.3865913830815402614578564500	0.7569849061797495068128641600	0.5081650477728078765582404800	0.2788104089219330855018587400	0.255709096981588945017325600	0.34135681357770652884784100	2.7438476003597416400948409800	6.2913503088303508215131466500	1.4589698236586803880581015200	0.3746388544940788011556656200	0.4807180469908032986921520900	4.6569568678874162881093991500	9.262456303091207365988988810	7.4667445396598427099801625300	5.4424977008512745537293371400	3.9583362227985742222715357600	0.2863515500969114939953833100	0.2411748318541807617304095200	0.3307529908515130190007037300	12.016163134896396184748390730	18.221693335038011034509888770	0.3793122326239803539726113100	0.2149271711751177308071405100	0.2550781928177459634877602500	10.231202234108676430678724320	4.8189739761986631666345178100	0.7473684210526315789473684200	7.1103677565423134191363942300	7.0703134926349136434095394600	0.18187691356984354372068200	0.2311520514744568358044177600	0.1889614078204518843973522200	0.8745699205591483076036243800	2.063861324988677070037468600	1.3209960129391409012262092800	3.7075847615370827415996801200	5.5067805389897594602133113700	6.2748195909304410948375250900	3.876791011803320078268004800	7.2128329267213591373927113200	17.488817097415506958250497020	3.5528006652052309320432383400	4.8557315494960173523139456500	3.7766108797433973977599006700	7.0714047988345149359171601300	6.793864279104924997719305100	3.6638053013866616356947457800	3.0102052335688966155652389900	3.2297221729701714426001445700	4.2703348501367734522402773300	4.8341514204968020229064405800	8.946037036203001028366398690	7.9071397496011988205152994600	2.6322464828582021112607075300	3.9533032634651101087821703400	3.4569744768145672801606344200	2.4278107231403861774590011600	0.5360161323804157646570386400	3.7526259748481970704192926400	1.8788732730724682675200305700	7.7742500459849169472413048500	
actinomyces marimammalium	0	0	0	0	0	0	0	0.0008279036651295255284095100	0.001285677552069940858832600	0	0	0	0	0	0	0	0.0008478887569950822452094300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
pleomorphomonas oryzae	6.137106290278660252337296900	5.0609899945879185689901611100	4.1061405000850484776322503800	28.464960644891440739191604240	26.095838519400400454570052490	30.023078811686717407316474340	3.5768364294419618126084869100	4.995570715391557038423009100	4.3893031627667780920545127300	6.3419235489129439346484239100	3.1573536092580637448294000900	4.9377727493130758041053822500	71.924665314832312379900841890	64.393448887096260600978633520	64.070284829171558519717045350	7.5847234340310472619839494100	8.133796845853823978294047820	5.209432039615996567567084400	3.7632239966263911552776810100	54.595067550533137577671990630	59.010533469249065579340808700	68.497341759454308355903300230	3.6504563070383797974746843400	3.1118645642228466593901674400	5.1195050827133240672607854400	6.2349393624165492540457975100	5.7072388049805736411494039500	32.137952083015412788036014040	33.926687158783318805340184430	39.672604081200539925363258610	4.6135944630821772901743887300	5.0619964096355362585062413900	4.9759933642787640969198130500	10.792249202845229335295560460	5.5068642529886151868037075900	25.994532883100176877311464870	31.120424167381020414642664380	24.45438092196316405834131800	13.879080222919496089542453050	18.201963462083537323816640470	16.206309726403979578478858490	12.292781852052727144103567810	11.119124561379176433059180870	10.196647544097164730060094870	8.425199984080869184542523980	16.048166392993979200875752600	14.557158295353098717286096880	17.964024744052477847385450580	22.204234219437992226054448900	19.706220567298214872412660170	23.930608047650209003859560090	16.681403146311357010916667400	13.309627045296342578226557190	0.7473684210526315789473684200	17.768780467905439859669161890	14.813183462225873942248236020	17.133647931237886576219769110	15.816665372905184533512734930	20.264082261972386130464520470	8.942049610001260965899879310	7.8591427512661094412648742100	7.0653727525765440457383585300	12.256125305058805686158258300	9.897860245188540158588904090	6.9185276911909133609462402300	6.1011172126491194849460329500	9.905320507148364914232261820	4.4182819748177601060304837600	20.271751455136442663844583870	20.361628055337841532544702260	14.293566827905532993610802140	13.003070701488882051153239940	19.992571450912929585174179930	7.297424771247995472125271200	15.982366620758167573547673340	20.67676864114349622880835800	18.529375281544397511310740140	12.349178850478165384850950640	19.232703552743186134318163050	11.269154541499492434862474020	12.755370836504126909793361820	11.389208258404331633304835750	8.464477032032648800678491950	14.677822668415100950843867300	12.115595622905607781501141720	9.111053555497999942444386890	18.440063524663570038329731210	19.659151798210187058644764520	
lactobacillus helveticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017178145962706245114964700	0.0010069783600350428469292200	0	0	0	0	0	0	0	0	0	0	0.0008754344343380402524752900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006516271129009135812122900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
desulfovibrio mexicanus	0.1769991830806934737224289700	0.0749365121216746922746006900	0.0442252083687701990134376600	0.021863949199589337997642500	0.0378808377076681638616808300	0.0314264669776577461330714500	0.0332385419359604092033829400	0.02897662827953339349433300	0.0231421959372589354589868900	0.0054948074070003846365184900	0.0191282308777466944026014400	0.0266688217229675125262647500	0.0084932001316446020404913300	0.0031842739324721641387069700	0.0039463688473643189060665600	0.0060470460180201971337001900	0.0025436662709852467356282900	0.0107263528612546257396714200	0.0055004492033516070479089100	0.0029659948688288769260429200	0.0054366292898402990146109400	0.001671849399806065469622500	0	0	0	0.006583885282382839761400	0.0026520626417195974168909900	0.0127168218118927717584821200	0.0045877873101803000412900900	0.0105867718286001640949633400	0.0052890863481125517574878400	0.0083496847993988226944432800	0.006380501188368346333604500	0.0040879731828959202027634700	0.0032551288624138408079229800	0.0010719837058476711153990500	0	0.0032757618193581144714967800	0.0018732730763827096895049900	0.0025767218944059367672447100	0.0010069783600350428469292200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041174290772841437806233800	0.0015045512675844429398931800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rhizobium straminoryzae	0	0	0	0.0019012129738773337389254300	0	0.0029462312791554136999754500	0.0018465856631089116224101600	0.0016558073302590510568190300	0	0.0009158012345000641060864200	0.0047820577194366736006503600	0.00323258445126878939712300	0.006369900098733451530368500	0.0095528217974164924161209200	0.0059195532710464783590998300	0.0008638637168600281619571700	0.0008478887569950822452094300	0.0053631764306273128698357100	0.0064171907372435415558937300	0.0014829974344144384630214600	0.0081549439347604485219164100	0.0050155481994181964088674900	0	0	0.0040879731828959202027634700	0.0039503311694297038568400	0.0013260313208597987084454900	0.0050867287247571087033928500	0.0022938936550901500206450400	0.0066167323928751025593520900	0.0007555837640160788224982600	0.0010437105999248528368054100	0	0.0147167034584253127299484900	0.0065102577248276816158459700	0.0032159511175430133461971400	0.0021166036977066598935348300	0.0016378809096790572357483900	0.0018732730763827096895049900	0.0025767218944059367672447100	0.0030209350801051285407876600	0.0070743037706039097318838900	0.01733679144533362921457400	0.0116878183713025099589952400	0.0119393481115931070163569100	0.0117288294628196106028618300	0.0018794342902786261335338100	0.0019669358090498716574384600	0.0140775673963539100443443400	0.0157430730478589420654911800	0.0160258550461411076536812700	0.0078789099090423622722776200	0.0167733170073047795566812300	0	0.0061190772431517327187060200	0.0016940969192847522806779800	0.0021066823965618943288109900	0.0025875229642663078634822900	0.0057963622030813461471580400	0.0054041395709113180696413500	0.0020587145386420718903116900	0	0.0013787968618583424104126700	0.0053128611085284702944653300	0.0053375464366539988897903400	0.0063119358707315533674177900	0.0088485507337976715670783300	0.003106361829025844930417500	0.0075591503515004913447728500	0.007290888212456482510981900	0.0064667994516154065030135300	0.0037677318881988357708465500	0.0182455591612255802739440400	0.0056598434109989623620413200	0.0039511413153913887697274800	0.0081834176679987452092909100	0.008487135461210526659398200	0.0096245548643375243894969900	0.0030025296312142980461038400	0.0126891284381495625271909900	0.0071546111468841668455319500	0.0019653508642630425596729700	0	0	0.0007413777764597728418492900	0	0.000597036311748480542586600	0.0007997376860389792148175400	
