,series,food,day
C0C,C0,cellulose,10
1C03A,1C,cellulose,3
1C03B,1C,cellulose,3
1C05A,1C,cellulose,5
1C05B,1C,cellulose,5
1C07A,1C,cellulose,7
1C07B,1C,cellulose,7
1C10A,1C,cellulose,10
1C10B,1C,cellulose,10
1C20A,1C,cellulose,20
1C20B,1C,cellulose,20
2C03A,2C,cellulose,3
2C03B,2C,cellulose,3
2C05A,2C,cellulose,5
2C05B,2C,cellulose,5
2C10A,2C,cellulose,10
2C10B,2C,cellulose,10
1M03A,1M,malate,3
1M03B,1M,malate,3
1M03C,1M,malate,3
1M05C,1M,malate,5
1M05A,1M,malate,5
1M05B,1M,malate,5
1M07A,1M,malate,7
1M07B,1M,malate,7
1M07C,1M,malate,7
1M10A,1M,malate,10
1M10B,1M,malate,10
1M10C,1M,malate,10
2M03A,2M,cellulose,3
2M03B,2M,cellulose,3
2M03C,2M,cellulose,3
2M05A,2M,cellulose,5
2M05B,2M,cellulose,5
2M07A,2M,cellulose,7
2M07B,2M,cellulose,7
2M07C,2M,cellulose,7
2M10B,2M,cellulose,10
2M10A,2M,cellulose,10
2M10C,2M,cellulose,10
3M03A,3M,cellulose,3
3M03B,3M,cellulose,3
3M03C,3M,cellulose,3
3M05A,3M,cellulose,5
3M05B,3M,cellulose,5
3M05C,3M,cellulose,5
3M07A,3M,cellulose,7
3M07B,3M,cellulose,7
3M07C,3M,cellulose,7
3M10A,3M,cellulose,10
3M10B,3M,cellulose,10
3M10C,3M,cellulose,10
1G03A,1G,glucose,3
1G03B,1G,glucose,3
1G03C,1G,glucose,3
1G05A,1G,glucose,5
1G05B,1G,glucose,5
1G05C,1G,glucose,5
1G07A,1G,glucose,7
1G07B,1G,glucose,7
1G07C,1G,glucose,7
1G10A,1G,glucose,10
1G10B,1G,glucose,10
1G10C,1G,glucose,10
2G03A,2G,cellulose,3
2G03B,2G,cellulose,3
2G03C,2G,cellulose,3
2G05A,2G,cellulose,5
2G05B,2G,cellulose,5
2G05C,2G,cellulose,5
2G07A,2G,cellulose,7
2G07B,2G,cellulose,7
2G07C,2G,cellulose,7
2G10A,2G,cellulose,10
2G10B,2G,cellulose,10
2G10C,2G,cellulose,10
3G03A,3G,cellulose,3
3G03B,3G,cellulose,3
3G03C,3G,cellulose,3
3G05A,3G,cellulose,5
3G05B,3G,cellulose,5
3G05C,3G,cellulose,5
3G07A,3G,cellulose,7
3G07B,3G,cellulose,7
3G07C,3G,cellulose,7
3G10A,3G,cellulose,10
3G10B,3G,cellulose,10
