,C0C,1C3A,1C3B,1C5A,1C5B,1C7A,1C7B,1C10A,1C10B,1C20B,1C20A,2C3A,2C3B,2C5A,2C5B,2C10A,2C10B,1M3A,1M3B,1M3C,1M5A,1M5B,1M5C,1M7A,1M7B,1M7C,1M10A,1M10B,1M10C,2M3A,2M3B,2M3C,2M5A,2M5B,2M7A,2M7B,2M7C,2M10A,2M10B,2M10C,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C,1G3A,1G3B,1G3C,1G5A,1G5B,1G5C,1G7A,1G7B,1G7C,1G10A,1G10B,1G10C,2G3A,2G3B,2G3C,2G5A,2G5B,2G5C,2G7A,2G7B,2G7C,2G10A,2G10B,2G10C,3G3A,3G3B,3G3C,3G5A,3G5B,3G5C,3G7A,3G7B,3G7C,3G10A,3G10B
opitutus spp.,18304,19239,34155,16237,23247,26207,22436,13649,14026,13392,7237,17683,16871,10994,25991,15425,14715,1420,2491,1441,2451,2050,2648,1097,890,2348,3073,2669,3409,23004,28248,21733,18257,25591,26348,15399,46,43401,11250,58294,13787,10688,8167,26312,15879,25055,23260,12620,32437,18624,12766,20560,10296,4686,13546,7398,10513,11063,5785,5546,4015,3339,6305,6463,27812,27184,37121,14230,17795,22253,20708,20486,19701,13129,12179,7713,7521,7319,8847,10124,22055,40936,25593,36316,34948,17610,16218
paludibacter propionicigenes,16452,4060,6121,1967,6002,2544,1099,9802,8057,7330,6317,870,641,162,1432,1057,243,9758,7598,8193,1590,905,759,1403,391,467,15611,2300,4268,517,697,2053,4486,1106,6258,3027,1,6021,1289,181,32,70,89,480,211,165,174,996,397,2463,715,377,4069,4107,5547,459,250,524,198,185,157,201,609,1005,166,130,163,209,42,58,112,76,109,720,88,176,26,19,27,46,85,123,319,109,136,250,86
magnetospirillum sp.,9817,13664,19194,24640,16356,20938,28682,5811,7192,1588,5807,45957,58406,4032,14923,1015,1131,83909,93902,57299,98199,100225,95136,33877,38246,61823,92522,67945,94368,51512,35722,35219,37950,18358,22807,18981,77,4114,40545,3940,2689,32226,49139,3784,6094,9840,3986,3277,11536,18347,27011,27787,23578,18096,27683,8669,11656,12579,11221,8981,3708,9194,9972,12578,15926,13252,20540,41860,27405,41510,5871,3998,4513,2669,1520,1159,41235,45435,59696,1000,8802,5742,3256,3496,4123,18156,32377
rhodopseudomonas palustris,9279,9191,13838,8188,16142,10144,5516,7893,5998,20994,13970,4619,5025,2656,5484,8951,7429,1850,3082,1750,1467,1901,1055,613,500,1405,3206,3420,2836,3220,3317,2756,2410,2761,3474,2697,15,8010,2926,6741,1679,1702,1423,3732,2950,3330,5618,5095,3876,7634,3100,5184,7991,4802,5709,3547,4357,3973,6545,7586,4555,5519,3512,7846,10165,13245,15525,5823,7445,8362,13930,15233,13712,16723,17571,10910,1716,2357,2672,3807,6731,5677,11598,7593,9157,16920,7254
acetobacter spp.,6578,902,1395,720,1381,2317,1461,6753,8548,3139,3454,735,608,1241,5411,1605,2113,1453,1386,975,304,271,296,181,186,233,1877,1262,2087,197,329,198,531,418,1449,2402,14,22286,2901,4615,60,94,120,1852,142,175,1115,3962,3855,13883,3110,4387,1579,825,1300,417,247,379,929,608,591,1426,2905,5971,481,197,320,1314,527,824,2902,4901,3650,9291,2832,5023,599,238,180,2479,6134,11575,10247,9236,12384,8832,8338
bacteroides spp.,6400,1891,3117,1520,4462,6895,4718,11349,12949,24886,10403,7670,6829,5408,15082,31446,54001,2944,2361,2336,600,420,493,265,279,324,2159,1181,1329,294,1122,788,1629,2243,3694,3564,31,10252,12717,3134,1105,435,359,13861,9244,5509,9010,21813,20625,14439,18817,19947,1941,1155,1507,727,813,862,1354,2112,1620,537,956,3121,1271,1798,1017,3029,3772,3139,20979,22518,27758,43724,24197,23218,2811,1400,2575,13716,26823,42294,69747,40432,40225,72267,38665
pleomorphomonas oryzae,5409,3647,4828,2641,6110,5828,4105,4735,4304,7635,4696,13200,6767,5213,16034,17423,17488,3874,6034,3414,8780,9593,6925,1460,1340,3757,6106,4850,6239,14818,21192,16094,15491,18266,19055,15870,71,30886,9928,24582,4833,7836,4267,30681,7736,20707,14114,25622,18650,19611,11590,11677,29944,19289,30571,67748,60667,64941,36814,43417,40971,12636,14790,29979,24249,29406,29861,10469,10585,20524,28391,28790,35838,24399,18338,17480,8889,7452,6481,10727,22342,22103,28315,30320,28382,27647,16342
afipia sp.,4521,2798,3858,2308,4695,2807,2117,2834,1983,5470,4472,763,781,398,708,1495,2567,588,1233,665,464,698,346,384,257,530,3121,2086,2168,2494,3491,3688,3296,3091,4363,2726,2,13312,2355,5075,412,587,407,1137,691,855,1013,1557,865,1810,984,1199,3511,1725,2350,2011,2240,2378,1558,2127,1228,1456,741,1706,2490,3147,4266,1286,2050,2000,2588,3009,2676,2234,4357,1984,233,347,282,341,642,610,891,703,721,1603,766
rhodoblastus acidophilus,3913,1163,1357,2046,3101,2500,1584,2016,896,3146,2656,967,827,1159,2132,3834,4484,622,753,370,359,450,315,242,183,310,1206,631,853,4661,7963,7620,7631,8781,7800,6021,20,14302,4747,5375,49149,12798,12452,21252,42556,57228,29906,13121,17576,23028,7286,26676,1045,769,1023,1300,1389,1199,1936,1306,1736,4262,2539,4692,7939,3530,8689,3593,9342,4220,6554,6771,5445,3366,10820,2019,1121,950,1327,2120,3688,2716,7625,3922,4594,9659,2289
spirochaeta spp.,1958,257,221,265,605,554,220,1220,1400,3124,2683,109,105,104,203,783,42,185,155,91,43,38,45,32,16,30,482,94,322,23,37,17,14,10,22,5,3,0,8,0,15,14,8,13,12,19,7,10,16,0,0,3,144,128,127,36,23,33,20,20,27,11,22,34,18,16,20,18,19,12,10,15,24,11,16,7,9,11,10,2,10,14,15,15,16,1,59
citrobacter werkmanii,1833,13745,26973,6601,22083,4892,2093,1850,1781,2005,878,3356,7731,2308,5708,6972,8347,590,543,349,363,394,249,132,84,225,369,245,428,4972,10784,7415,12787,18528,11687,5746,71,3147,971,9721,3071,5706,16890,10426,3884,11261,5525,11918,13086,4047,4023,4769,19235,16855,10158,515,1035,2291,488,645,360,152,330,384,1361,354,587,294,303,423,485,314,382,259,268,163,2689,4146,5878,1880,5328,5840,5333,4736,6541,4573,723
pontibacter spp.,1428,311,901,291,4689,312,161,1519,1400,2005,1829,1920,1483,292,5414,4136,2049,314,240,271,451,313,319,70,362,1213,1335,6022,4440,203,1406,99,263,649,852,1117,5,3833,715,1366,327,83,87,9591,2741,13460,5766,19319,12244,13515,6373,7775,154,381,871,444,339,398,86,459,373,152,421,769,238,1096,355,293,783,484,2578,2471,5250,14277,13784,8862,740,181,563,3423,920,5282,6261,3926,3068,5229,6243
pontibacter sp.,668,133,366,111,2136,133,85,948,701,1497,1160,802,593,173,2953,2501,1359,105,95,116,149,93,99,28,143,388,587,2490,1853,56,579,55,111,286,423,549,4,1886,360,832,159,40,34,4805,1377,6394,3297,11606,6673,8463,4963,5084,57,161,357,156,132,133,23,232,137,131,214,413,102,404,149,142,352,207,1290,1346,2711,9282,8456,5539,397,78,229,2073,506,3370,3834,2356,1725,3738,4290
ruminococcus spp.,552,50,81,15,69,32,20,54,170,50,85,3,3,2,2,10,0,97,91,50,12,17,12,2,4,10,67,38,103,5,6,0,0,2,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,98,62,81,12,6,8,4,11,6,5,4,5,6,6,4,0,1,0,1,1,2,2,1,0,0,2,0,0,1,0,0,1,1,0,0
eubacterium sp.,343,302,394,15235,11457,24845,33799,5031,5645,433,383,22193,15006,7968,41480,572,469,322,412,240,261,300,267,117,102,156,253,201,262,212,197,365,378,441,4508,39817,39,92,19327,79,1573,6370,2573,23730,11582,3957,10348,1122,21875,6447,437,1680,221,223,237,142,145,156,127,96,87,56,93,106,531,284,2774,19073,44131,22792,19958,34338,26207,1230,751,1334,4175,4897,4329,824,4651,7070,2973,2402,5894,331,487
desulfovibrio mexicanus,156,54,52,16,33,12,6,5,2,4,1,5,4,0,0,0,0,36,35,18,7,3,6,0,0,0,7,8,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,32,8,3,4,2,4,1,5,2,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ancalomicrobium spp.,124,302,266,114,331,94,47,33,53,89,60,28,87,20,56,273,836,29,33,26,33,44,31,23,14,23,51,28,39,172,660,794,637,533,677,239,0,4359,252,545,67,63,70,145,67,175,109,219,138,278,142,163,726,348,309,384,171,194,172,68,85,116,49,171,219,214,179,93,95,134,292,182,233,228,152,164,102,59,115,77,165,202,182,214,208,412,163
rhodocyclus tenuis,73,10,24,28,86,54,34,15,25,46,37,20,22,67,92,170,379,9,11,6,2,5,1,1,1,2,24,18,22,19,74,88,94,138,278,171,5,430,118,127,17,15,27,251,51,303,223,218,284,329,92,113,12,8,10,3,4,4,5,3,0,11,8,6,20,6,15,72,60,102,314,297,332,269,96,112,17,23,20,88,274,365,243,318,361,256,157
escherichia spp.,63,118,169,148,150,66,63,27,18,14,12,135,269,12,47,28,56,92,163,79,120,118,105,35,37,67,108,58,89,159,206,93,180,163,130,52,833,28,46,62,19,80,245,96,47,97,53,73,121,47,64,81,276,111,194,45,41,71,27,30,16,17,14,33,45,38,46,37,17,38,16,11,14,10,7,8,57,130,193,11,51,34,45,35,48,71,26
rhodoplanes elegans,27,8,15,1,13,7,2,0,0,33,12,4,3,0,1,33,13,3,4,3,1,1,0,1,0,1,30,19,12,19,24,13,21,19,12,7,0,106,7,29,5,1,4,8,7,18,14,15,12,32,17,48,6,5,5,1,5,2,6,1,5,10,5,16,10,8,27,6,4,11,11,8,14,15,13,11,0,0,2,9,2,11,15,12,5,85,26
propionicimonas paludicola,23,61,17,25,31,18,6,39,7,33,71,349,41,39,25,58,3,8,13,8,2,4,1,0,2,2,5,1,3,9,19,3,4,11,4,5,631,30,13,6,8,9,6,50,25,37,27,39,53,7,12,3,33,11,5,2,8,6,1,0,5,2,0,1,5,2,1,5,2,2,10,9,70,2,3,5,3,9,9,6,79,72,16,36,41,15,12
rhodopseudomonas spp.,21,15,19,39,71,41,27,43,23,54,67,44,38,13,49,32,54,4,12,5,4,6,7,1,1,3,12,10,17,13,21,11,24,28,43,26,0,113,26,25,13,13,8,64,39,45,71,38,48,44,8,39,39,8,11,8,13,13,23,21,22,14,11,48,35,25,84,60,50,64,91,123,98,81,80,58,6,10,12,23,48,47,90,51,61,120,41
pleomorphomonas spp.,18,1,7,6,11,4,5,11,18,12,12,9,4,5,19,12,14,2,4,3,4,5,4,1,1,1,7,4,8,11,13,12,9,11,15,12,2,66,4,22,3,6,3,41,11,26,22,36,29,45,10,21,4,7,16,35,40,36,27,20,24,15,21,37,20,15,32,10,8,17,32,31,33,31,28,16,5,4,2,8,27,34,40,33,46,48,19
caulobacter spp.,15,15,16,172,136,204,253,73,37,31,30,280,212,30,253,32,27,15,14,15,23,24,29,9,6,13,30,12,26,10,18,29,24,26,58,239,1,6,198,6,43,77,42,322,236,103,185,36,265,76,9,28,9,11,16,22,16,18,14,14,7,10,10,14,18,13,89,314,262,280,289,514,347,51,40,39,56,78,66,16,77,88,62,45,106,16,7
opitutus terrae,13,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
barnesiella viscericola,12,2,5,0,12,1,2,13,8,9,21,10,5,3,39,39,28,0,1,2,3,4,2,0,1,5,17,34,32,2,3,0,2,2,13,5,0,25,10,7,1,0,0,61,34,84,36,141,92,90,52,51,0,0,7,5,6,4,2,3,2,1,4,13,0,6,2,2,0,3,24,22,53,119,109,77,4,3,2,19,9,58,82,28,20,85,44
pontibacter salisaro,11,6,5,2,32,3,1,12,10,4,3,18,16,0,17,14,1,4,4,5,8,6,3,2,3,13,12,102,76,8,11,0,1,3,1,0,0,9,4,2,1,0,0,13,6,30,13,46,44,37,14,24,1,4,11,3,4,4,0,7,2,2,4,17,5,10,4,1,2,1,4,4,13,33,22,21,4,4,1,5,0,18,16,5,6,16,28
phaeospirillum sp.,11,2,3,27,16,43,58,21,19,0,5,41,31,6,36,3,1,4,4,5,7,6,2,2,0,6,8,12,7,2,2,4,2,3,2,32,0,21,14,2,1,5,3,16,15,5,11,3,19,26,4,6,3,3,4,1,1,1,4,2,1,0,6,8,4,0,8,16,49,13,9,23,13,8,1,2,4,2,6,0,9,6,7,7,15,7,11
rhodopseudomonas pangongensis,7,6,5,21,13,26,47,14,12,8,3,24,21,5,34,2,7,2,0,2,1,1,2,0,1,1,2,6,5,4,6,8,3,6,12,57,0,33,32,6,2,11,7,30,16,11,14,6,30,7,1,2,6,3,3,3,6,3,2,1,2,2,2,3,4,5,17,35,62,44,28,56,40,4,9,3,2,5,3,1,14,15,9,5,23,4,6
enterobacter spp.,7,10,16,4,8,6,1,12,6,5,3,3,5,1,13,8,6,2,1,2,1,1,1,1,1,1,2,0,0,2,6,3,9,9,8,5,0,13,4,24,1,4,5,18,4,1,8,23,26,11,8,9,25,10,5,1,1,0,1,2,0,1,2,7,1,1,2,1,1,1,3,1,1,5,3,1,2,3,5,1,23,20,29,14,21,26,6
