sampleID,sample_name,series,day,replicate,experiment,replicate (original)
D_start_200A,LAZ_OLIN_Bv4v5--Olin_FCD_200A_Bv4v5,D_start,200,A,start 200,A
D_start_200B,LAZ_OLIN_Bv4v5--Olin_FCD_200B_Bv4v5,D_start,200,B,start 200,B
D_start_200C,LAZ_OLIN_Bv4v5--Olin_FCD_200C_Bv4v5,D_start,200,C,start 200,C
D_011A,LAZ_OLIN_Bv4v5--Olin_FCD_Day_11A_Bv4v5,D,11,A,none,A
D_011B,LAZ_OLIN_Bv4v5--Olin_FCD_Day_11B_Bv4v5,D,11,B,none,B
D_003A,LAZ_OLIN_Bv4v5--Olin_FCD_Day_3A_Bv4v5,D,3,A,none,A
D_003B,LAZ_OLIN_Bv4v5--Olin_FCD_Day_3B_Bv4v5,D,3,B,none,B
D_005A,LAZ_OLIN_Bv4v5--Olin_FCD_Day_5A_Bv4v5,D,5,A,none,A
D_005B,LAZ_OLIN_Bv4v5--Olin_FCD_Day_5B_Bv4v5,D,5,B,none,B
D_007A,LAZ_OLIN_Bv4v5--Olin_FCD_Day_7A_Bv4v5,D,7,A,none,A
D_007B,LAZ_OLIN_Bv4v5--Olin_FCD_Day_7B_Bv4v5,D,7,B,none,B
F_000A,LAZ_OLIN_Bv4v5--Olin_FCF_0_Bv4v5r,F,0,A,none,A
LF_start_100A,LAZ_OLIN_Bv4v5--Olin_FCF_100a_415_Bv4v5,LF_start,100,A,start 100,A
LF_start_100B,LAZ_OLIN_Bv4v5--Olin_FCF_100b_415_Bv4v5,LF_start,100,B,start 100,B
LF_start_100C,LAZ_OLIN_Bv4v5--Olin_FCF_100c_415_Bv4v5,LF_start,100,C,start 100,C
LF_start_200A,LAZ_OLIN_Bv4v5--Olin_FCF_200a_513_Bv4v5,LF_start,200,A,start 200,A
LF_start_200B,LAZ_OLIN_Bv4v5--Olin_FCF_200b_513_Bv4v5,LF_start,200,B,start 200,B
LF_start_200B2,LAZ_OLIN_Bv4v5--Olin_FCF_200b_Bv4v5,LF_start,200,B2,start 200,B
LF_start_200C,LAZ_OLIN_Bv4v5--Olin_FCF_200c_513_Bv4v5,LF_start,200,C,start 200,C
LF_start_200C2,LAZ_OLIN_Bv4v5--Olin_FCF_200c_Bv4v5,LF_start,200,C2,start 200,C
