	Name	kingdom	taxonomy	phylum	class	order	family	genus	species
OTU_1	Bacteria	Bacteria	Root;Bacteria;	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria
OTU_2	Bacteria;Acidobacteria	Bacteria	Root;Bacteria;Acidobacteria;	Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria
OTU_3	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales	Bacteria	Root;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;	Acidobacteria	Acidobacteriia	Acidobacteriales	o_Acidobacteriales	o_Acidobacteriales	o_Acidobacteriales
OTU_4	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa	Bacteria	Root;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa;	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	g_Acidicapsa
OTU_5	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus	Bacteria	Root;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	g_Terriglobus
OTU_6	Bacteria;Acidobacteria;empty_class;empty_order;empty_family;Bryobacter	Bacteria	Root;Bacteria;Acidobacteria;Unassigned;Unassigned;Unassigned;Bryobacter;	Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria	Bryobacter	g_Bryobacter
OTU_7	Bacteria;Actinobacteria	Bacteria	Root;Bacteria;Actinobacteria;	Actinobacteria	p_Actinobacteria	p_Actinobacteria	p_Actinobacteria	p_Actinobacteria	p_Actinobacteria
OTU_8	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum	Bacteria	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum;	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	g_Actinobaculum
OTU_9	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	Bacteria	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	g_Corynebacterium
OTU_10	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;species_NA	Bacteria	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Unassigned;	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	g_Corynebacterium
