	taxonomy
OTU_1	Root;Bacteria;
OTU_2	Root;Bacteria;Acidobacteria;
OTU_3	Root;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;
OTU_4	Root;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa;
OTU_5	Root;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;
OTU_6	Root;Bacteria;Acidobacteria;Unassigned;Unassigned;Unassigned;Bryobacter;
OTU_7	Root;Bacteria;Actinobacteria;
OTU_8	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum;
OTU_9	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;
OTU_10	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Unassigned;
OTU_11	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;
OTU_12	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;
OTU_13	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;
OTU_14	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Unassigned;Unassigned;
OTU_15	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
OTU_16	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;
OTU_17	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;
OTU_18	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;Unassigned;
OTU_19	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicicella;
OTU_20	Root;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Unassigned;paludicola;
OTU_21	Root;Bacteria;Bacteroidetes;
OTU_22	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
OTU_23	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_24	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Unassigned;
OTU_25	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;
OTU_26	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Alkaliflexus;
OTU_27	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Mangroviflexus;
OTU_28	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum;
OTU_29	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum;flexuosum;
OTU_30	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;
OTU_31	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Unassigned;
OTU_32	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Unassigned;mossii;
OTU_33	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Macellibacteroides;
OTU_34	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Paludibacter;
OTU_35	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Paludibacter;propionicigenes;
OTU_36	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;
OTU_37	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
OTU_38	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;
OTU_39	Root;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;
OTU_40	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;
OTU_41	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;
OTU_42	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
OTU_43	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;
OTU_44	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;
OTU_45	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;R091;
OTU_46	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;rupense;
OTU_47	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;Unassigned;
OTU_48	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Elizabethkingia;
OTU_49	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Unassigned;
OTU_50	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Unassigned;discolor;
OTU_51	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;
OTU_52	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;
OTU_53	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Unassigned;
OTU_54	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;
OTU_55	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;
OTU_56	Root;Bacteria;Bacteroidetes;Unassigned;Unassigned;Unassigned;Prolixibacter;
OTU_57	Root;Bacteria;Bacteroidetes;Unassigned;Unassigned;Unassigned;Prolixibacter;bellariivorans;
OTU_58	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;
OTU_59	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;
OTU_60	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;parvum;
OTU_61	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;
OTU_62	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton;thalassium;
OTU_63	Root;Bacteria;Chloroflexi;Unassigned;Unassigned;Unassigned;
OTU_64	Root;Bacteria;Chloroflexi;Unassigned;Unassigned;Unassigned;Unassigned;
OTU_65	Root;Bacteria;Chloroflexi;Chloroflexi;
OTU_66	Root;Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;
OTU_67	Root;Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU_68	Root;Bacteria;Cyanobacteria;
OTU_69	Root;Bacteria;Cyanobacteria;Unassigned;Chroococcales;Unassigned;Synechococcus;
OTU_70	Root;Bacteria;Cyanobacteria;Unassigned;Chroococcales;Unassigned;Synechococcus;MBIC10007;
OTU_71	Root;Bacteria;Cyanobacteria;Unassigned;Chroococcales;Unassigned;Synechococcus;WH_5701;
OTU_72	Root;Bacteria;Cyanobacteria;Unassigned;Prochlorales;Prochlorococcaceae;Prochlorococcus;
OTU_73	Root;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio;
OTU_74	Root;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio;acetiphilus;
OTU_75	Root;Bacteria;Elusimicrobia;
OTU_76	Root;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;
OTU_77	Root;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;
OTU_78	Root;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;
OTU_79	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;
OTU_80	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;humicus;
OTU_81	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;
OTU_82	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Unassigned;
OTU_83	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Unassigned;Gemella;
OTU_84	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;
OTU_85	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;
OTU_86	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis;
OTU_87	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Unassigned;
OTU_88	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;fluvialis;
OTU_89	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
OTU_90	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Unassigned;
OTU_91	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis;
OTU_92	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_93	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Unassigned;
OTU_94	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;
OTU_95	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;
OTU_96	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Guggenheimella;
OTU_97	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_10;
OTU_98	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;
OTU_99	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
OTU_100	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unassigned;Unassigned;
OTU_101	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;
OTU_102	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;
OTU_103	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unassigned;
OTU_104	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unassigned;8404299;
OTU_105	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Fusibacter;
OTU_106	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Fusibacter;3-D3-R-P8ASC2010;
OTU_107	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unassigned;Unassigned;
OTU_108	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unassigned;
OTU_109	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;
OTU_110	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Unassigned;Dethiosulfatibacter;
OTU_111	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;
OTU_112	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Unassigned;Unassigned;
OTU_113	Root;Bacteria;Firmicutes;Negativicutes;Unassigned;Veillonellaceae;
OTU_114	Root;Bacteria;Firmicutes;Negativicutes;Unassigned;Veillonellaceae;Veillonella;Unassigned;
OTU_115	Root;Bacteria;Unassigned;Unassigned;Unassigned;
OTU_116	Root;Bacteria;Planctomycetes;
OTU_117	Root;Bacteria;Planctomycetes;Phycisphaerae;
OTU_118	Root;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;
OTU_119	Root;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;
OTU_120	Root;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;
OTU_121	Root;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula;
OTU_122	Root;Bacteria;Proteobacteria;
OTU_123	Root;Bacteria;Proteobacteria;Alphaproteobacteria;
OTU_124	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;
OTU_125	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;
OTU_126	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;
OTU_127	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;
OTU_128	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter;
OTU_129	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;
OTU_130	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;acidophilus;
OTU_131	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;sphagnicola;
OTU_132	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;
OTU_133	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;F-1;
OTU_134	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;NTUIOB_TPP1;
OTU_135	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;palustris;
OTU_136	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;Unassigned;
OTU_137	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;rhenobacensis;
OTU_138	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;Unassigned;
OTU_139	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Tardiphaga;
OTU_140	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;
OTU_141	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Ancalomicrobium;
OTU_142	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;
OTU_143	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;
OTU_144	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;FZ35;
OTU_145	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;
OTU_146	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unassigned;
OTU_147	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unassigned;koreensis;
OTU_148	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unassigned;oryzae;
OTU_149	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter;
OTU_150	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter;SJH-001;
OTU_151	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium;
OTU_152	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;
OTU_153	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;
OTU_154	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_155	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;
OTU_156	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter;
OTU_157	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter;
OTU_158	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria;
OTU_159	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;
OTU_160	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;TCRI;
OTU_161	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;capsulatus;
OTU_162	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Unassigned;
