	kingdom	phylum	class	order	family	genus	species
OTU_1	Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria
OTU_2	Bacteria	Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria
OTU_3	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	o_Acidobacteriales	o_Acidobacteriales	o_Acidobacteriales
OTU_4	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	g_Acidicapsa
OTU_5	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	g_Terriglobus
OTU_6	Bacteria	Acidobacteria	p_Acidobacteria	p_Acidobacteria	p_Acidobacteria	Bryobacter	g_Bryobacter
OTU_7	Bacteria	Actinobacteria	p_Actinobacteria	p_Actinobacteria	p_Actinobacteria	p_Actinobacteria	p_Actinobacteria
OTU_8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	g_Actinobaculum
OTU_9	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	g_Corynebacterium
OTU_10	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	g_Corynebacterium
OTU_11	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	g_Mycobacterium
OTU_12	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	g_Rhodococcus
OTU_13	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	g_Brevibacterium
OTU_14	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	o_Micrococcales	o_Micrococcales	o_Micrococcales
OTU_15	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	g_Arthrobacter
OTU_16	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	f_Propionibacteriaceae	f_Propionibacteriaceae
OTU_17	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	g_Propionibacterium
OTU_18	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	g_Propionibacterium
OTU_19	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionicicella	g_Propionicicella
OTU_20	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	f_Propionibacteriaceae	paludicola
OTU_21	Bacteria	Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes
OTU_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	o_Bacteroidales
OTU_23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	g_Bacteroides
OTU_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	g_Bacteroides
OTU_25	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	f_Marinilabiaceae	f_Marinilabiaceae
OTU_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Alkaliflexus	g_Alkaliflexus
OTU_27	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Mangroviflexus	g_Mangroviflexus
OTU_28	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Marinifilum	g_Marinifilum
OTU_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Marinifilum	flexuosum
OTU_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	o_Bacteroidales
OTU_31	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	o_Bacteroidales
OTU_32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	mossii
OTU_33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	Macellibacteroides	g_Macellibacteroides
OTU_34	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	Paludibacter	g_Paludibacter
OTU_35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	Paludibacter	propionicigenes
OTU_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	f_Prevotellaceae	f_Prevotellaceae
OTU_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	g_Prevotella
OTU_38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	f_Rikenellaceae	f_Rikenellaceae
OTU_39	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	f_Cytophagaceae	f_Cytophagaceae
OTU_40	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	g_Fluviicola
OTU_41	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	g_Owenweeksia
