featureID	kingdom	phylum	class	order	family	genus	species
OTU_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	magnetospirillum sp.
OTU_2	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	opitutus spp.
OTU_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	rhodopseudomonas palustris
OTU_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	pleomorphomonas oryzae
OTU_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	rhodoblastus acidophilus
OTU_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	magnetospirillum sp.
OTU_7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	citrobacter werkmanii
OTU_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	bacteroides spp.
OTU_9	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	eubacterium sp.
OTU_10	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter	pontibacter spp.
OTU_11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	acetobacter spp.
OTU_12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	paludibacter propionicigenes
OTU_13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	bacteroides spp.
OTU_14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ancalomicrobium	ancalomicrobium spp.
OTU_15	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	spirochaeta spp.
OTU_16	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclus	rhodocyclus tenuis
OTU_17	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	cloacibacterium normanense
OTU_18	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	pseudomonas veronii
OTU_19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	streptococcus salivarius
OTU_20	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Propionicimonas	propionicimonas paludicola
