name,key
Olin1,C0C
Olin2,1C03A
Olin3,1C03B
Olin4,1G03A
Olin5,1G03B
Olin6,1G03C
Olin7,1M03A
Olin8,1M03B
Olin9,1M03C
Olin10,1M05C
Olin11,1C05A
Olin12,1C05B
Olin13,1G05A
Olin14,1G05B
Olin15,1G05C
Olin16,1M05A
Olin17,1M05B
Olin18,1C07A
Olin19,1C07B
Olin20,1G07A
Olin21,1G07B
Olin22,1G07C
Olin23,1M07A
Olin24,1M07B
Olin25,1M07C
Olin26,1C10A
Olin27,1C10B
Olin28,1G10A
Olin29,1G10B
Olin30,1G10C
Olin31,1M10A
Olin32,1M10B
Olin33,1M10C
Olin34,2C03A
Olin35,2C03B
Olin36,2G03A
Olin37,2G03B
Olin38,2G03C
Olin39,2M03A
Olin40,2M03B
Olin41,2M03C
Olin42,2C05A
Olin43,2C05B
Olin44,2G05A
Olin45,2G05B
Olin46,2G05C
Olin47,2M05A
Olin48,2M05B
Olin49,2G07A
Olin50,2G07B
Olin51,2G07C
Olin52,2M07A
Olin53,2M07B
Olin54,2M07C
Olin55,2C10A
Olin56,2C10B
Olin57,2G10A
Olin58,2G10B
Olin59,2G10C
Olin60,2M10B
Olin61,1C20B
Olin62,1C20A
Olin63,3G03A
Olin64,3G03B
Olin65,3G03C
Olin66,3M03A
Olin67,3M03B
Olin68,3M03C
Olin69,3G05A
Olin70,3G05B
Olin71,3G05C
Olin72,3M05A
Olin73,3M05B
Olin74,3M05C
Olin75,3G07A
Olin76,3G07B
Olin77,3G07C
Olin78,3M07A
Olin79,3M07B
Olin80,3M07C
Olin81,3M10A
Olin82,3M10B
Olin83,3M10C
Olin84,3G10A
Olin85,3G10B
Olin86,3G10C
Olin87,2M10A
Olin88,2M10C
