name,key
Olin1,C0C
Olin2,1C3A
Olin3,1C3B
Olin4,1G3A
Olin5,1G3B
Olin6,1G3C
Olin7,1M3A
Olin8,1M3B
Olin9,1M3C
Olin10,1M5C
Olin11,1C5A
Olin12,1C5B
Olin13,1G5A
Olin14,1G5B
Olin15,1G5C
Olin16,1M5A
Olin17,1M5B
Olin18,1C7A
Olin19,1C7B
Olin20,1G7A
Olin21,1G7B
Olin22,1G7C
Olin23,1M7A
Olin24,1M7B
Olin25,1M7C
Olin26,1C10A
Olin27,1C10B
Olin28,1G10A
Olin29,1G10B
Olin30,1G10C
Olin31,1M10A
Olin32,1M10B
Olin33,1M10C
Olin34,2C3A
Olin35,2C3B
Olin36,2G3A
Olin37,2G3B
Olin38,2G3C
Olin39,2M3A
Olin40,2M3B
Olin41,2M3C
Olin42,2C5A
Olin43,2C5B
Olin44,2G5A
Olin45,2G5B
Olin46,2G5C
Olin47,2M5A
Olin48,2M5B
Olin49,2G7A
Olin50,2G7B
Olin51,2G7C
Olin52,2M7A
Olin53,2M7B
Olin54,2M7C
Olin55,2C10A
Olin56,2C10B
Olin57,2G10A
Olin58,2G10B
Olin59,2G10C
Olin60,2M10B
Olin61,1C20B
Olin62,1C20A
Olin63,3G3A
Olin64,3G3B
Olin65,3G3C
Olin66,3M3A
Olin67,3M3B
Olin68,3M3C
Olin69,3G5A
Olin70,3G5B
Olin71,3G5C
Olin72,3M5A
Olin73,3M5B
Olin74,3M5C
Olin75,3G7A
Olin76,3G7B
Olin77,3G7C
Olin78,3M7A
Olin79,3M7B
Olin80,3M7C
Olin81,3M10A
Olin82,3M10B
Olin83,3M10C
Olin84,3G10A
Olin85,3G10B
Olin86,3G10C
Olin87,2M10A
Olin88,2M10C
