,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
opitutus spp.,connector_node,0.04714977132447375,-1.0961261502735131,3,5,0.64,0.001688406537835034,-0.06872299394664767,0
paludibacter propionicigenes,connector_node,0.09857719876233943,-1.0,2,4,0.75,0.00023429450185853825,0.051807939539393964,3
magnetospirillum sp.,connector_node,0.08597126998163536,-0.8578378567357929,4,7,0.6734693877551021,0.0012450794286148403,0.2639929141833286,0
rhodopseudomonas palustris,peripheral_node,0.07193034578892125,0.0953153174150882,8,10,0.3599999999999999,0.040700518384983723,0.20013515410006213,0
acetobacter spp.,connector_node,0.0775913640605603,2.0,5,5,1.0,1.8953728171454696e-05,-0.11397267359623992,3
bacteroides spp.,peripheral_node,0.03823642148087408,-0.38126126966035234,6,7,0.26530612244897966,0.0020490631054846348,-0.09200086240785062,0
pleomorphomonas oryzae,peripheral_node,0.04315409848617675,0.0953153174150882,8,9,0.2098765432098766,0.004570000528765586,-0.0816958856001242,0
afipia sp.,peripheral_node,0.10999519311135388,1.2867567851036896,13,14,0.1377551020408163,0.026770881811731623,0.17178610659100962,0
rhodoblastus acidophilus,peripheral_node,0.009878000018296498,0.0953153174150882,8,8,0.0,0.007354237907556376,0.42553953079127543,0
spirochaeta spp.,peripheral_node,0.08514642357226467,2.239909959254571,17,17,0.0,0.009949967916431188,0.1085971718447334,0
citrobacter werkmanii,connector_node,0.052876889202434,1.4536653181330483,8,8,1.0,0.00023768511982945803,-0.8266282689422412,2
pontibacter spp.,peripheral_node,0.0,-1.5727027373489537,1,1,0.0,0.00010301603275577503,-0.37342309069155616,0
pontibacter sp.,peripheral_node,0.023465183581957455,-0.6195495631980726,5,5,0.0,0.0014799378400602002,-0.2504843859779808,0
ruminococcus spp.,connector_node,0.0,0.0,3,3,1.0,3.5969017549003376e-06,-0.13820908118576855,3
eubacterium sp.,connector_node,0.004386354918183546,1.2047426349697108,17,17,1.0,0.26240645401411916,0.5301996161078677,1
desulfovibrio mexicanus,network_hub_node,0.05215192620520896,2.670687444942112,11,11,1.0,0.0001628733820576266,-0.7979129299279695,2
ancalomicrobium spp.,connector_node,0.04851541874494025,1.4536653181330483,8,8,1.0,0.0008234550512010047,-0.7257777048327765,2
rhodocyclus tenuis,connector_node,0.0,0,1,1,1.0,8.902895627221542e-30,0.9003906508551532,6
escherichia spp.,connector_node,0.07094363373229821,1.0479912758633603,7,8,0.984375,0.0002680858127933462,-0.4535151937332517,2
rhodoplanes elegans,peripheral_node,0.00527331437502932,-0.38126126966035234,6,6,0.0,0.0061158794228622845,0.0570455816099245,0
propionicimonas paludicola,peripheral_node,0.0,-1.3344144438112335,2,2,0.0,8.252971423380304e-05,0.25576765328129336,0
rhodopseudomonas spp.,peripheral_node,0.029899929954838967,1.5250450786414098,14,14,0.0,0.006560556249907156,0.2959533892044468,0
pleomorphomonas spp.,connector_node,0.0471769515310453,1.0,4,5,1.0,2.895743011379149e-05,-0.08681544050910425,3
caulobacter spp.,connector_node,0.015216920942016729,1.2047426349697108,17,17,1.0,0.25011735879177815,0.42178496284501443,1
opitutus terrae,connector_node,0.0,-0.5747048932153913,3,3,1.0,2.4041531048258616e-05,-0.4871921391698884,2
barnesiella viscericola,peripheral_node,0.02026162335288807,1.0484684915659694,12,12,0.0,0.005053402938076225,0.02833950020503263,0
pontibacter salisaro,connector_node,0.0,0,2,2,1.0,3.8410642502089726e-24,0.19859604899024477,5
phaeospirillum sp.,connector_node,0.08308488212758877,0.8299338152013563,15,17,0.9965397923875432,0.24257020036803675,0.38139863480508185,1
rhodopseudomonas pangongensis,connector_node,0.019888669477405058,1.7669558646222425,20,20,1.0,0.27447464684787254,0.36899971646696533,1
prolixibacter spp.,connector_node,0.038789264264751724,-0.9803789354850793,2,3,1.0,0.009334276082595353,0.36233806829762466,2
cloacibacterium normanense,connector_node,0.0001632954066582385,-0.5747048932153913,3,3,1.0,2.1552099107987733e-05,-0.5756974867028615,2
rhodopseudomonas rhenobacensis,connector_node,0.04772131734105006,-0.5747048932153913,3,5,0.96,0.00015527515215184973,-0.6963519937650847,2
