,ace,chao1,chao1_ci,shannon,simpson,simpson_e
C0C,75.20956798303736,74.66666666666667,"(68.37226218125767, 97.66223012976192)",3.3879834445945414,0.8780071847559583,0.1242000614643179
1C3A,74.80836109770311,74.5,"(62.11807410543169, 116.83696087459624)",2.9614296634081017,0.8316922524166475,0.10423679183535156
1C3B,72.76320056631315,73.14285714285714,"(65.05578227890153, 102.63223553700149)",2.860194412051489,0.8159517305399927,0.08763479442315142
1C5A,89.64617397212578,81.5,"(76.2488040964147, 99.01329488401419)",2.94553734561122,0.8232082844759202,0.07643748166283795
1C5B,120.68660817520235,112.14285714285714,"(88.65445105456307, 179.22898376361724)",3.3948661466834364,0.8797392621123657,0.10941139201337842
1C7A,91.74208193708789,88.11111111111111,"(77.76092327973605, 120.96247819918779)",3.071413919357682,0.8420136364070925,0.08670767416537507
1C7B,87.7933472601639,86.0,"(77.6730934393626, 113.20401219768279)",2.6905442445885006,0.785455027735426,0.06298685711846383
1C10A,85.912953246143,87.14285714285714,"(75.20369464435674, 126.47478783927302)",3.496443443407009,0.8923585736511613,0.13271576539145716
1C10B,69.96498250901936,68.25,"(62.16205734226547, 91.48043239624816)",3.4149994477073387,0.8852080769030026,0.14519023827646474
1C20B,88.68143307741208,80.9090909090909,"(71.51662185637335, 109.83351940219717)",3.1757933184654203,0.8491301000342337,0.09892876669047347
1C20A,79.59709709709709,78.33333333333333,"(69.0792295535889, 108.58121440392313)",3.4537055364007894,0.8860772089593385,0.13504422814855613
2C3A,89.1557340355497,95.0,"(81.0168081107927, 141.48043159004808)",2.768012145410689,0.786733741113322,0.06251965689714746
2C3B,106.58445909561293,105.0909090909091,"(92.6556699494021, 140.75974810771623)",2.5777853356760034,0.7282532369929038,0.04278949580878925
2C5A,71.38876404494381,71.0,"(60.4191931831272, 106.9142711522697)",3.0784149055817718,0.8484060467463705,0.11779587822521094
2C5B,103.05931766920632,97.33333333333333,"(89.57202626353067, 121.9584266655103)",3.136160059334332,0.8441594241060024,0.07461411708753866
2C10A,78.58351090757114,83.0,"(68.06777511609896, 134.6790284020156)",3.002419572087406,0.8226501934095158,0.09094474117644696
2C10B,89.98107634907228,86.125,"(73.15659364716045, 126.41038924482194)",2.638182815148107,0.7414914969317294,0.057736488189661817
1M3A,74.5957965847251,70.14285714285714,"(58.20369464435674, 109.47478783927302)",1.4170637264953037,0.38890600907481376,0.030875650568476645
1M3B,69.51200045081737,69.375,"(61.24736891687526, 97.84475688228996)",1.4466314586015017,0.38731351716039075,0.028140622966637774
1M3C,58.62222222222223,59.2,"(49.443297223768255, 96.60266037949415)",1.5760211981767418,0.44218537696536153,0.03897196225605703
1M5A,81.53322649572648,94.75,"(65.18961161656266, 190.56075168317054)",1.0084790645578285,0.27373477287691383,0.026478989372721314
1M5B,74.92488262910798,81.6,"(60.496366801357944, 149.60192003810383)",0.9823754838111842,0.27050267710421794,0.02687856764082482
1M5C,67.92590027700831,66.0,"(51.067775116098964, 117.6790284020156)",0.8852326883936573,0.23609216703199076,0.02909018766816708
1M7A,55.69737954353339,42.0,"(35.130413637804544, 71.02078552382577)",1.0844353330420453,0.27877029821876864,0.04201578252835466
1M7B,48.85109599395314,47.0,"(35.50248794034348, 96.24004988235161)",0.8686597566219812,0.209313651556429,0.039522624946686076
1M7C,80.19288888888889,65.0,"(51.016808110792695, 111.48043159004808)",1.1042550089102443,0.28583423971258726,0.031116336651702527
1M10A,71.46301351509771,64.11111111111111,"(56.88543585284404, 89.43123920099168)",1.7710053424022574,0.49286404434747944,0.0365158855571405
1M10B,62.04518123306233,62.0,"(53.74386516151335, 95.09837687988426)",1.8319827699034017,0.4864361509009988,0.03817995205786971
1M10C,71.57539132157717,65.66666666666667,"(59.37226218125767, 88.66223012976192)",1.6513604559533126,0.42640996065983283,0.030586060506393196
2M3A,77.37582386685216,72.57142857142857,"(68.48043114660516, 87.96741641629981)",2.2438876842978486,0.6959309354610002,0.04908547062147467
2M3B,85.49276808996089,83.5,"(76.1062804847784, 108.49260942154265)",2.7240755603280213,0.7985501844287437,0.06800021185495132
2M3C,68.2028236222025,68.16666666666667,"(61.29218047702374, 95.65844754374794)",2.6617429481309807,0.785879341496352,0.07915701670646655
2M5A,74.71134020618555,73.16666666666667,"(62.29692307667559, 111.5331384046428)",2.777979969268541,0.799041819598237,0.08579585700803631
2M5B,66.21937593935212,66.0,"(61.32833018923046, 87.10169526513265)",2.8776091238538304,0.8287431241685707,0.09731969350574814
2M7A,104.83264214544721,101.66666666666667,"(85.0327141050845, 148.93242873777595)",3.1777833184226854,0.8557103462690757,0.09119084006798814
2M7B,102.73936498490158,103.0,"(89.29542806850469, 142.44881751406123)",3.012832624481594,0.8207849663524573,0.06804742717736129
2M10A,83.06914170431122,100.5,"(83.23162588009818, 174.76724054864928)",3.2497758080309747,0.8579210770822054,0.09023514929044502
2M10B,79.5686680469289,76.0909090909091,"(70.92344055512353, 95.14117270305131)",2.8659457082312976,0.8010258530381289,0.07283737030402054
2M10C,69.18891915491683,67.85714285714286,"(61.9618549649612, 91.46751160515683)",2.5653202994558,0.7283818043568182,0.06136064127515692
3M3A,77.81054784764576,73.0,"(62.57741120915411, 107.15442151013983)",1.930758884960595,0.5772830676625065,0.04078705628138751
3M3B,73.95953516860814,76.0,"(66.70342322903684, 108.63345573763975)",2.5592485692700375,0.7675785241238733,0.06829410153765521
3M3C,57.93440687063875,56.5,"(53.697262724175935, 70.56870054179042)",2.2069201858143837,0.6838277431206059,0.05967609149052941
3M5B,105.49169680748457,112.66666666666667,"(96.99364244911165, 163.46354657336533)",3.243978542919689,0.8684640160064804,0.08447202638981682
3M5C,79.85964809288753,77.5,"(73.34841171828518, 94.4338008857338)",2.820057063170875,0.78523539057035,0.06467028681202915
3M5A,93.97189208775752,104.2,"(85.26326398531494, 166.5336275489695)",2.9101180191331384,0.8093300540783629,0.06811253301739793
3M7A,88.1906173832895,92.0,"(81.41919318312719, 127.9142711522697)",3.159951820751299,0.8509183411270282,0.0871134188148446
