,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
opitutus spp.,-0.2033663771014622,8,0.07426265551265561,2,0.9637997471501202,1.0,0.00015847201265833247,8,connector_node
paludibacter propionicigenes,-0.6785126439819427,2,0.0016211867422759596,1,-1.3341029341670156,1.0,0.0012158003267058815,2,connector_node
magnetospirillum sp.,0.130964740894509,2,0.11833546902782219,0,-1.1040780712194014,0.5555555555555556,0.026609427819413507,3,peripheral_node
rhodopseudomonas palustris,-0.17984944834700883,11,0.020565225683771147,0,0.6259728350217142,0.0,0.18469403609560975,11,peripheral_node
acetobacter spp.,-0.7876252651829608,12,0.007199237266497296,1,0.9221005574389669,1.0,0.014041489713410493,12,connector_node
bacteroides spp.,-0.7133075028858251,12,0.43141209449457657,1,0.9221005574389669,0.9948979591836735,0.0164226113334645,14,connector_node
pleomorphomonas oryzae,0.15908391108708234,4,0.0030311561561561563,2,-0.5507427126572113,1.0,8.471183444044639e-06,4,connector_node
afipia sp.,0.05956362738096662,1,0.0,0,-1.2963059496906364,0.0,0.015222628076213312,1,peripheral_node
citrobacter werkmanii,-0.724462082769531,7,0.017213642213642213,2,0.5851641321982873,1.0,2.3938919232565643e-05,7,connector_node
pontibacter spp.,-0.7215896506056623,12,0.02358052715195568,1,0.9221005574389669,1.0,0.013582637881402414,12,connector_node
pontibacter sp.,-0.742424642571367,12,0.012982577432759245,1,0.9221005574389669,1.0,0.014058534417894312,12,connector_node
ruminococcus spp.,-0.18433987695218723,6,0.0014894358644358644,2,0.20652851724645443,1.0,4.9618405505314994e-05,6,connector_node
eubacterium sp.,0.2273099588831799,15,0.017906618627684744,0,1.3948843489066545,0.0,0.28548689815469974,15,peripheral_node
desulfovibrio mexicanus,0.1042350382696398,8,0.06003056628056627,4,1.4142135623730951,1.0,1.7707135651551697e-06,8,connector_node
ancalomicrobium spp.,0.01454740098951378,2,0.0007239382239382239,2,-1.308013942560877,1.0,4.115471789363138e-06,2,connector_node
rhodocyclus tenuis,0.46396734879887747,1,0.0,5,-1.118033988749895,1.0,8.001332059501559e-05,1,connector_node
escherichia spp.,-0.22305646427003167,3,0.39575289575289574,2,-0.9293783276090442,1.0,0.0013939867478960806,4,connector_node
rhodoplanes elegans,-0.05001464634971723,4,0.0,4,-0.7071067811865474,1.0,3.1819636978440263e-07,4,connector_node
propionicimonas paludicola,-0.10087182875999899,9,0.0,3,0.21596710639534022,1.0,0.00024234449651737173,9,connector_node
rhodopseudomonas spp.,0.5751843401301716,1,0.0,5,-1.118033988749895,1.0,0.0004253868012240348,1,connector_node
pleomorphomonas spp.,-0.09002272672115068,3,0.0,0,-0.9118501927481664,0.0,0.027487539959551777,3,peripheral_node
caulobacter spp.,0.33032107167322294,15,0.03566024101659547,0,1.3948843489066545,0.0,0.27206424932399875,15,peripheral_node
barnesiella viscericola,-0.7136424096678146,12,0.01220625165643346,1,0.9221005574389669,1.0,0.014119856945504487,12,connector_node
pontibacter salisaro,-0.7546275039495153,10,0.3763725042515797,1,0.4708598591177704,0.9917355371900827,0.03093482420808609,11,connector_node
phaeospirillum sp.,0.049620896701620704,8,0.026573101973325054,0,0.04928919960800899,0.0,0.13412452290219407,8,peripheral_node
rhodopseudomonas pangongensis,0.26191777110232023,16,0.019398253823096862,0,1.5871122273778893,0.0,0.29936474583044015,16,peripheral_node
