,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,desulfovibrio desulfuricans,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,bradyrhizobium elkanii,clostridium spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis,vitis vinifera,methylocystis heyerii,micrococcus luteus,delftia sp.,methylobacillus sp.,rhodobacter capsulatus,pseudomonas veronii,streptococcus salivarius,stenotrophomonas spp.,zoogloea sp.,bordetella hinzii,cytophaga spp.,rhizobium straminoryzae,methanosaeta sp.,pontibacter korlensis,bacteroides fragilis,sphingobium yanoikuyae,rhodothermus spp.,rhodovibrio sodomensis,rhizobium sp.,enterobacter sp.,gemmatimonas spp.,bacteroides caccae,eubacterium rectale,citrobacter sp.,pseudomonas spp.,hydrogenophaga spp.,atopostipes sp.,rhodovibrio spp.,ochrobactrum intermedium,pseudochrobactrum kiredjianiae,steroidobacter spp.,oligotropha carboxidovorans,salinibacter spp.,pantoea agglomerans,chelatococcus spp.,streptococcus sanguinis,afipia broomeae,prevotella sp.,thioalkalivibrio spp.,methyloligella halotolerans,rhodopseudomonas oryzae,porphyromonas spp.,methylocella silvestris,rhodoplanes spp.,sphingobacterium spp.,nitrobacter spp.,spirosoma spp.,pseudomonas sp.,hartmannibacter stappia sp.,aquabacterium spp.,neisseria perflava,tumebacillus sp.,staphylococcus aureus,phyllobacterium sp.,lactobacillus iners,roseburia spp.,paenibacillus spp.,streptococcus thermophilus,stenoxybacter spp.,elizabethkingia meningoseptica,oribacterium sinus,flexithrix dorotheae,methylococcus capsulatus,flavobacterium sp.,prevotella spp.,methylopila sp.,acinetobacter lwoffii,parabacteroides spp.,enhydrobacter aerosaccus,prevotella pallens,fusobacterium nucleatum,burkholderia ubonensis,aeromonas spp.,methylocystis sp.,corynebacterium tuberculostearicum,sphingomonas faeni,prevotella nanceiensis,lactobacillus helveticus,bacillus thermoamylovorans,bosea spp.,corynebacterium durum,rubrivivax gelatinosus,anaerococcus hydrogenalis,globicatella spp.,finegoldia magna,dietzia spp.,granulicatella elegans,actinomyces marimammalium,veillonella dispar
C0C,0.207679041481347,0.18666606154125442,0.11138467822456204,0.10528047562857402,0.07463465553235908,0.07261504946900245,0.0613710629027866,0.051295724788962514,0.04439729508940728,0.022215666696922938,0.020797404011981484,0.01620223291277117,0.0075791957883271305,0.006263048016701462,0.00389171280747935,0.0017699918308069348,0.0014069165834619225,0.0008282654080058092,0.0007148043932104929,0.0003063447399473541,0.00026096033402922753,0.0002382681310701643,0.0002042298266315694,0.0001701915221929745,0.00014749931923391122,0.0001361532177543796,0.00012480711627484796,0.00012480711627484796,7.942271035672143e-05,7.942271035672143e-05,7.942271035672143e-05,6.80766088771898e-05,6.80766088771898e-05,6.80766088771898e-05,5.6730507397658165e-05,5.6730507397658165e-05,5.6730507397658165e-05,4.538440591812653e-05,4.538440591812653e-05,4.538440591812653e-05,4.538440591812653e-05,3.40383044385949e-05,3.40383044385949e-05,3.40383044385949e-05,3.40383044385949e-05,2.2692202959063264e-05,2.2692202959063264e-05,2.2692202959063264e-05,2.2692202959063264e-05,2.2692202959063264e-05,2.2692202959063264e-05,2.2692202959063264e-05,2.2692202959063264e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,1.1346101479531632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C3A,0.2669821401312777,0.056341155409999864,0.18961712993158575,0.1275447190574652,0.012517172950694551,0.026241656374460527,0.05060989994587919,0.038828214984527,0.016139104369908827,0.00356642289171674,0.19074117761341086,0.004315788012933487,0.001845658539293099,0.0006938565937192102,0.004190893826064029,0.0007493651212167469,0.004190893826064029,0.00013877131874384202,0.001637501561177336,0.00011101705499507362,0.0008465050443374364,0.00020815697811576303,1.3877131874384203e-05,0.00020815697811576303,4.163139562315261e-05,2.7754263748768406e-05,8.326279124630521e-05,2.7754263748768406e-05,8.326279124630521e-05,0.00013877131874384202,0.0,5.550852749753681e-05,0.00020815697811576303,0.0,5.550852749753681e-05,0.00036080542873398924,1.3877131874384203e-05,2.7754263748768406e-05,0.0,0.0,0.0,4.163139562315261e-05,9.713992312068942e-05,5.550852749753681e-05,1.3877131874384203e-05,2.7754263748768406e-05,1.3877131874384203e-05,6.938565937192101e-05,1.3877131874384203e-05,0.0,0.0,0.0,0.0,5.550852749753681e-05,0.0,0.0,4.163139562315261e-05,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,2.7754263748768406e-05,1.3877131874384203e-05,0.0,0.0,0.0,0.0,1.3877131874384203e-05,1.3877131874384203e-05,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877131874384203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C3B,0.2904830753529512,0.05205817315870046,0.16324204796734137,0.11769008334750808,0.011864262629698929,0.026509610477972446,0.04106140500085048,0.0328117026705222,0.011541078414696378,0.0018795713556727335,0.22940125871746897,0.0076628678346657595,0.003112774281340364,0.0006888926688212281,0.003350910018710665,0.00044225208368770197,0.0022622895050178602,0.00020411634631740093,0.0014373192719850316,0.00012757271644837557,0.00014458241197482565,0.00016159210750127574,5.953393434257527e-05,0.0001360775642116006,8.504847763225038e-06,4.252423881612519e-05,4.252423881612519e-05,2.5514543289675116e-05,4.252423881612519e-05,0.0001360775642116006,2.5514543289675116e-05,5.102908657935023e-05,0.00019561149855417588,8.504847763225038e-06,8.504847763225038e-06,0.00045075693145092704,6.80387821058003e-05,1.7009695526450076e-05,0.0,0.0,0.0,5.953393434257527e-05,5.102908657935023e-05,2.5514543289675116e-05,0.0,2.5514543289675116e-05,2.5514543289675116e-05,7.654362986902535e-05,2.5514543289675116e-05,0.0,0.0,0.0,0.0,4.252423881612519e-05,1.7009695526450076e-05,3.401939105290015e-05,8.504847763225038e-06,0.0,8.504847763225038e-06,1.7009695526450076e-05,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7009695526450076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504847763225038e-06,1.7009695526450076e-05,1.7009695526450076e-05,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.504847763225038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C5A,0.19411567797623316,0.023515768835329843,0.2945747555172991,0.09788872151686871,0.008607703894986012,0.01817181933385936,0.03157353609258064,0.027592473041149607,0.024460225234918587,0.0031681132391267962,0.0789159075150037,0.00347894699089018,0.001327021017143677,0.00017932716447887525,0.1821366233890443,0.00019128230877746695,0.0013628864500394519,0.00033474404036056715,0.0017693613561915692,1.1955144298591684e-05,0.0002988786074647921,0.0004662506276450757,7.17308657915501e-05,0.00205628481935777,1.1955144298591684e-05,0.0,2.391028859718337e-05,0.00032278889606197545,0.00025105803027042535,4.782057719436674e-05,1.1955144298591684e-05,3.586543289577505e-05,0.00010759629868732516,0.0,2.391028859718337e-05,0.00025105803027042535,0.00016737202018028357,2.391028859718337e-05,0.0,1.1955144298591684e-05,0.0,2.391028859718337e-05,2.391028859718337e-05,3.586543289577505e-05,0.0,0.0,5.977572149295842e-05,0.00010759629868732516,1.1955144298591684e-05,2.391028859718337e-05,1.1955144298591684e-05,0.0,0.0,0.0002869234631662004,0.0008368601009014179,0.0,1.1955144298591684e-05,0.0002869234631662004,0.0,5.977572149295842e-05,9.564115438873347e-05,0.0,2.391028859718337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1955144298591684e-05,0.0,0.0,2.391028859718337e-05,4.782057719436674e-05,0.0,0.0,0.0,0.0,2.391028859718337e-05,2.391028859718337e-05,1.1955144298591684e-05,5.977572149295842e-05,2.391028859718337e-05,0.0,3.586543289577505e-05,3.586543289577505e-05,0.0,0.0,0.0,2.391028859718337e-05,0.0,2.391028859718337e-05,4.782057719436674e-05,1.1955144298591684e-05,0.0,0.0,1.1955144298591684e-05,1.1955144298591684e-05,0.0,0.0,2.391028859718337e-05,1.1955144298591684e-05,0.0,0.0,0.0,0.0,0.0,2.391028859718337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1955144298591684e-05,1.1955144298591684e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1955144298591684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1955144298591684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C5B,0.18786972684661388,0.04850492969128818,0.1321803782123808,0.130450945530952,0.011160497818005495,0.036059479553903345,0.049377727493130755,0.037942459996767416,0.02506061095846129,0.004889283982544044,0.1784629060934217,0.03789397122999839,0.017262000969775336,0.0005576208178438662,0.0925893001454663,0.0002666882172296751,0.002674963633424923,0.0006950056570227897,0.001212219169225796,0.00010505899466623566,0.00025052529497333117,0.0005737837401002101,8.88960724098917e-05,0.0010990787134313885,0.0,9.697753353806368e-05,0.00025860675610150317,0.00012930337805075158,0.00010505899466623566,6.465168902537579e-05,3.2325844512687896e-05,0.0,8.88960724098917e-05,8.081461128171974e-06,1.6162922256343948e-05,0.0003798286730240828,8.88960724098917e-05,0.0,2.424438338451592e-05,0.0,0.0,6.465168902537579e-05,8.88960724098917e-05,8.081461128171974e-06,0.0,8.081461128171974e-06,1.6162922256343948e-05,9.697753353806368e-05,8.081461128171974e-06,8.081461128171974e-06,8.081461128171974e-06,0.0,0.0,0.00016162922256343946,0.0004283174397931146,8.081461128171974e-06,8.081461128171974e-06,0.00012930337805075158,8.081461128171974e-06,8.081461128171973e-05,1.6162922256343948e-05,8.081461128171974e-06,3.2325844512687896e-05,8.081461128171974e-06,0.0,0.0,0.0,8.081461128171974e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.081461128171974e-06,3.2325844512687896e-05,0.0,1.6162922256343948e-05,8.081461128171974e-06,0.0,0.0,2.424438338451592e-05,0.0,2.424438338451592e-05,1.6162922256343948e-05,0.0,2.424438338451592e-05,2.424438338451592e-05,0.0,0.0,0.0,8.081461128171974e-06,8.081461128171974e-06,0.0,1.6162922256343948e-05,8.081461128171974e-06,0.0,0.0,8.081461128171974e-06,0.0,8.081461128171974e-06,0.0,0.0,8.081461128171974e-06,0.0,0.0,0.0,0.0,8.081461128171974e-06,8.081461128171974e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.081461128171974e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081461128171974e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C7A,0.23425460786241664,0.022739868065859807,0.18715698017412447,0.0906734361871391,0.020710799649605805,0.061631835815292205,0.052094320396159965,0.025090727067951447,0.022346568460947135,0.0049519995709458855,0.04372776516438136,0.0027888517439262025,0.0011888374421223876,0.0002860360763001234,0.22208019736489265,0.00010726352861254625,0.0008402309741316124,0.0004826858787564582,0.0005899494073690044,6.257039169065198e-05,0.0001608952929188194,0.00036648372275953307,3.575450953751542e-05,0.0018234799864132864,0.0,8.938627384378855e-06,2.6815882153136563e-05,0.0003843609775282908,0.00023240431199385024,5.3631764306273126e-05,9.83249012281674e-05,1.787725476875771e-05,0.00012514078338130396,1.787725476875771e-05,3.575450953751542e-05,0.00015195666553444054,8.938627384378855e-05,8.938627384378855e-06,0.0,0.0,0.0,0.0,5.3631764306273126e-05,1.787725476875771e-05,8.938627384378855e-06,8.938627384378855e-06,8.938627384378855e-06,0.0001787725476875771,8.938627384378855e-06,0.0,0.0,8.938627384378855e-06,0.0,0.0004558699966033216,0.000867046856284749,0.0,0.0,0.0002145270572250925,2.6815882153136563e-05,8.938627384378855e-05,6.257039169065198e-05,0.0,2.6815882153136563e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.257039169065198e-05,5.3631764306273126e-05,0.0,0.0,0.0,0.0,8.04476464594097e-05,0.0,1.787725476875771e-05,7.150901907503084e-05,2.6815882153136563e-05,8.938627384378855e-06,1.787725476875771e-05,0.0,0.0,0.0,8.938627384378855e-06,1.787725476875771e-05,0.0,0.0,1.787725476875771e-05,0.0,0.0,0.0,8.938627384378855e-06,8.938627384378855e-06,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.575450953751542e-05,0.0,1.787725476875771e-05,0.0,0.0,0.0,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938627384378855e-06,0.0,8.938627384378855e-06,8.938627384378855e-06,0.0,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938627384378855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C7B,0.20568013054399442,0.01007498945747236,0.26293980675088463,0.050567463009479105,0.013393593810161163,0.04325186556902147,0.037632239966263914,0.019407418272492254,0.014521185896848242,0.002016831374562256,0.019187400304358188,0.0014759538695660146,0.0007792303038081443,0.0001833483067783869,0.30984947104013494,5.5004492033516074e-05,0.0004308685209292092,0.00031169212152325773,0.0005775471663519188,1.833483067783869e-05,5.5004492033516074e-05,0.00024752021415082233,4.583707669459673e-05,0.002319356080746594,9.167415338919345e-06,1.833483067783869e-05,9.167415338919345e-06,0.0005317100896573221,0.0004308685209292092,9.167415338919345e-06,0.00011917639940595148,0.0,0.00014667864542270952,1.833483067783869e-05,4.583707669459673e-05,7.333932271135476e-05,7.333932271135476e-05,0.0,0.0,9.167415338919345e-06,0.0,9.167415338919345e-06,2.7502246016758037e-05,1.833483067783869e-05,0.0,9.167415338919345e-06,9.167415338919345e-06,0.00016501347610054821,0.0,9.167415338919345e-06,0.0,0.0,0.0,0.0006325516583854348,0.0014301167928714178,0.0,9.167415338919345e-06,0.0002841898755064997,0.0,7.333932271135476e-05,0.00012834381474487083,0.0,9.167415338919345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.417190737243541e-05,6.417190737243541e-05,0.0,0.0,0.0,0.0,0.00011000898406703215,2.7502246016758037e-05,1.833483067783869e-05,3.666966135567738e-05,2.7502246016758037e-05,0.0,4.583707669459673e-05,0.0,9.167415338919345e-06,0.0,0.0,9.167415338919345e-06,1.833483067783869e-05,1.833483067783869e-05,1.833483067783869e-05,2.7502246016758037e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.7502246016758037e-05,2.7502246016758037e-05,0.0,0.0,9.167415338919345e-06,0.0,0.0,0.0,9.167415338919345e-06,3.666966135567738e-05,0.0,0.0,0.0,1.833483067783869e-05,0.0,9.167415338919345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.167415338919345e-06,2.7502246016758037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C10A,0.17972690043848677,0.12907048707583318,0.07651791475185336,0.10393321306769551,0.08892195462386264,0.1494410281395257,0.06234939362416549,0.03731746178054594,0.02654622545856761,0.01606468008901413,0.024360375544816508,0.02000184348787907,0.012483046495397864,0.0007110596104973467,0.06624705371133613,6.583885282382839e-05,0.0004345364286372674,0.0001975165584714852,0.00035552980524867334,0.0,0.0005135430520258615,0.0005662141342849242,0.00014484547621242247,0.0009612472512278946,0.0,0.00017118101734195384,0.00015801324677718815,0.0002765231818600793,0.0001843487879067195,0.00015801324677718815,9.217439395335975e-05,0.0,0.00013167770564765678,1.316777056476568e-05,0.00010534216451812544,3.950331169429704e-05,0.00013167770564765678,0.0,5.267108225906272e-05,6.583885282382839e-05,0.0,0.0,7.900662338859408e-05,3.950331169429704e-05,1.316777056476568e-05,0.0,0.0,7.900662338859408e-05,1.316777056476568e-05,2.633554112953136e-05,0.0,0.0,1.316777056476568e-05,0.0001843487879067195,0.00030285872298961065,0.0,1.316777056476568e-05,0.00010534216451812544,2.633554112953136e-05,5.267108225906272e-05,1.316777056476568e-05,0.0,0.0,0.0,1.316777056476568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.900662338859408e-05,3.950331169429704e-05,0.0,5.267108225906272e-05,3.950331169429704e-05,0.0,1.316777056476568e-05,2.633554112953136e-05,0.0,0.0,1.316777056476568e-05,0.0,2.633554112953136e-05,1.316777056476568e-05,1.316777056476568e-05,0.0,0.0,1.316777056476568e-05,0.0,0.0,0.0,0.0,0.0,2.633554112953136e-05,1.316777056476568e-05,0.0,0.0,0.0,3.950331169429704e-05,0.0,1.316777056476568e-05,0.0,0.0,0.0,2.633554112953136e-05,3.950331169429704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316777056476568e-05,0.0,0.0,1.316777056476568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C10B,0.18598915306379538,0.10683834352167398,0.09536817259623673,0.07953535862517072,0.11334915730709559,0.17170779573813533,0.05707238804980574,0.02629520109264981,0.011881240634903796,0.01856443849203718,0.023616617824513016,0.01856443849203718,0.00929547955922719,0.002254253245461658,0.07485446806253564,2.6520626417195974e-05,0.0007027966000556933,0.00033150783021494967,0.00023868563775476378,0.0,9.28221924601859e-05,0.0003049872037977537,0.00023868563775476378,0.0004906315887181255,0.0,0.0001060825056687839,0.00013260313208597987,0.00025194595096336177,0.00015912375850317585,7.956187925158793e-05,7.956187925158793e-05,0.0,3.978093962579396e-05,2.6520626417195974e-05,6.630156604298993e-05,7.956187925158793e-05,7.956187925158793e-05,0.0,0.0,0.00015912375850317585,0.0,0.0,6.630156604298993e-05,1.3260313208597987e-05,2.6520626417195974e-05,0.0,0.0,0.0001060825056687839,1.3260313208597987e-05,1.3260313208597987e-05,0.0,0.0,0.0,0.0001060825056687839,0.00035802845663214565,0.0,0.0,6.630156604298993e-05,1.3260313208597987e-05,5.304125283439195e-05,3.978093962579396e-05,0.0,1.3260313208597987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.978093962579396e-05,1.3260313208597987e-05,0.0,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,1.3260313208597987e-05,1.3260313208597987e-05,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,1.3260313208597987e-05,0.0,1.3260313208597987e-05,0.0,0.0,0.0,1.3260313208597987e-05,2.6520626417195974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3260313208597987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C20B,0.13785152550747312,0.07545188784123194,0.016346193436818052,0.2161032651212583,0.03231152468398732,0.256165850043233,0.0785914275126611,0.05630584263186066,0.03238357969283979,0.03215712109358916,0.02063861324988677,0.02063861324988677,0.015409478321735908,0.000514678634660518,0.004457116976160086,4.1174290772841436e-05,0.000916127969695722,0.00047350434388767655,0.00014411001770494504,0.00033968789887594186,0.00033968789887594186,0.0005558529254333594,0.0001235228723185243,0.00031910075348952116,1.0293572693210359e-05,9.264215423889324e-05,4.1174290772841436e-05,0.0,8.234858154568287e-05,5.14678634660518e-05,4.1174290772841436e-05,1.0293572693210359e-05,9.264215423889324e-05,2.0587145386420718e-05,0.0001029357269321036,4.1174290772841436e-05,0.0002058714538642072,0.0,1.0293572693210359e-05,2.0587145386420718e-05,0.0,1.0293572693210359e-05,3.088071807963108e-05,1.0293572693210359e-05,4.1174290772841436e-05,0.0,0.0,4.1174290772841436e-05,8.234858154568287e-05,1.0293572693210359e-05,0.0,0.0,1.0293572693210359e-05,3.088071807963108e-05,1.0293572693210359e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0293572693210359e-05,2.0587145386420718e-05,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,5.14678634660518e-05,2.0587145386420718e-05,0.0,0.0,0.0,1.0293572693210359e-05,2.0587145386420718e-05,0.0,2.0587145386420718e-05,2.0587145386420718e-05,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,2.0587145386420718e-05,1.0293572693210359e-05,0.0,2.0587145386420718e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293572693210359e-05,1.0293572693210359e-05,0.0,0.0,2.0587145386420718e-05,0.0,0.0,0.0,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293572693210359e-05,0.0,0.0,0.0,1.0293572693210359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
