,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,desulfovibrio desulfuricans,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,bradyrhizobium elkanii,clostridium spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis,vitis vinifera,methylocystis heyerii,micrococcus luteus,delftia sp.,methylobacillus sp.,rhodobacter capsulatus,pseudomonas veronii,streptococcus salivarius,stenotrophomonas spp.,zoogloea sp.,bordetella hinzii,cytophaga spp.,rhizobium straminoryzae,methanosaeta sp.,pontibacter korlensis,bacteroides fragilis,sphingobium yanoikuyae,rhodothermus spp.,rhodovibrio sodomensis,rhizobium sp.,enterobacter sp.,gemmatimonas spp.,bacteroides caccae,eubacterium rectale,citrobacter sp.,pseudomonas spp.,hydrogenophaga spp.,atopostipes sp.,rhodovibrio spp.,ochrobactrum intermedium,pseudochrobactrum kiredjianiae,steroidobacter spp.,oligotropha carboxidovorans,salinibacter spp.,pantoea agglomerans,chelatococcus spp.,streptococcus sanguinis,afipia broomeae,prevotella sp.,thioalkalivibrio spp.,methyloligella halotolerans,rhodopseudomonas oryzae,porphyromonas spp.,methylocella silvestris,rhodoplanes spp.,sphingobacterium spp.,nitrobacter spp.,spirosoma spp.,pseudomonas sp.,hartmannibacter stappia sp.,aquabacterium spp.,neisseria perflava,tumebacillus sp.,staphylococcus aureus,phyllobacterium sp.,lactobacillus iners,roseburia spp.,paenibacillus spp.,streptococcus thermophilus,stenoxybacter spp.,elizabethkingia meningoseptica,oribacterium sinus,flexithrix dorotheae,methylococcus capsulatus,flavobacterium sp.,prevotella spp.,methylopila sp.,acinetobacter lwoffii,parabacteroides spp.,enhydrobacter aerosaccus,prevotella pallens,fusobacterium nucleatum,burkholderia ubonensis,aeromonas spp.,methylocystis sp.,corynebacterium tuberculostearicum,sphingomonas faeni,prevotella nanceiensis,lactobacillus helveticus,bacillus thermoamylovorans,bosea spp.,corynebacterium durum,rubrivivax gelatinosus,anaerococcus hydrogenalis,globicatella spp.,finegoldia magna,dietzia spp.,granulicatella elegans,actinomyces marimammalium,veillonella dispar
C0C,18304,16452,9817,9279,6578,6400,5409,4521,3913,1958,1833,1428,668,552,343,156,124,73,63,27,23,21,18,15,13,12,11,11,7,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C3A,19239,4060,13664,9191,902,1891,3647,2798,1163,257,13745,311,133,50,302,54,302,10,118,8,61,15,1,15,3,2,6,2,6,10,0,4,15,0,4,26,1,2,0,0,0,3,7,4,1,2,1,5,1,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C3B,34155,6121,19194,13838,1395,3117,4828,3858,1357,221,26973,901,366,81,394,52,266,24,169,15,17,19,7,16,1,5,5,3,5,16,3,6,23,1,1,53,8,2,0,0,0,7,6,3,0,3,3,9,3,0,0,0,0,5,2,4,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1C5A,16237,1967,24640,8188,720,1520,2641,2308,2046,265,6601,291,111,15,15235,16,114,28,148,1,25,39,6,172,1,0,2,27,21,4,1,3,9,0,2,21,14,2,0,1,0,2,2,3,0,0,5,9,1,2,1,0,0,24,70,0,1,24,0,5,8,0,2,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,2,2,1,5,2,0,3,3,0,0,0,2,0,2,4,1,0,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1C5B,23247,6002,16356,16142,1381,4462,6110,4695,3101,605,22083,4689,2136,69,11457,33,331,86,150,13,31,71,11,136,0,12,32,16,13,8,4,0,11,1,2,47,11,0,3,0,0,8,11,1,0,1,2,12,1,1,1,0,0,20,53,1,1,16,1,10,2,1,4,1,0,0,0,1,0,0,0,0,0,0,1,4,0,2,1,0,0,3,0,3,2,0,3,3,0,0,0,1,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1C7A,26207,2544,20938,10144,2317,6895,5828,2807,2500,554,4892,312,133,32,24845,12,94,54,66,7,18,41,4,204,0,1,3,43,26,6,11,2,14,2,4,17,10,1,0,0,0,0,6,2,1,1,1,20,1,0,0,1,0,51,97,0,0,24,3,10,7,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,9,0,2,8,3,1,2,0,0,0,1,2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1C7B,22436,1099,28682,5516,1461,4718,4105,2117,1584,220,2093,161,85,20,33799,6,47,34,63,2,6,27,5,253,1,2,1,58,47,1,13,0,16,2,5,8,8,0,0,1,0,1,3,2,0,1,1,18,0,1,0,0,0,69,156,0,1,31,0,8,14,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,12,3,2,4,3,0,5,0,1,0,0,1,2,2,2,3,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,4,0,0,0,2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C10A,13649,9802,5811,7893,6753,11349,4735,2834,2016,1220,1850,1519,948,54,5031,5,33,15,27,0,39,43,11,73,0,13,12,21,14,12,7,0,10,1,8,3,10,0,4,5,0,0,6,3,1,0,0,6,1,2,0,0,1,14,23,0,1,8,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,4,3,0,1,2,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C10B,14026,8057,7192,5998,8548,12949,4304,1983,896,1400,1781,1400,701,170,5645,2,53,25,18,0,7,23,18,37,0,8,10,19,12,6,6,0,3,2,5,6,6,0,0,12,0,0,5,1,2,0,0,8,1,1,0,0,0,8,27,0,0,5,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C20B,13392,7330,1588,20994,3139,24886,7635,5470,3146,3124,2005,2005,1497,50,433,4,89,46,14,33,33,54,12,31,1,9,4,0,8,5,4,1,9,2,10,4,20,0,1,2,0,1,3,1,4,0,0,4,8,1,0,0,1,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,5,2,0,0,0,1,2,0,2,2,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
