otu name,Name,k__,p__,c__,o__,f__,g__,s__,superkingdom__,superphylum__,subclass,suborder,subphylum__
OTU_1,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_2,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_3,rhodopseudomonas palustris ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_4,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_5,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_6,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_7,af025373.1 citrobacter werkmanii str. cdc 0876_58  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__citrobacter,s__citrobacter werkmanii,superkingdom__bacteria,,,,
OTU_8,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_9,eubacterium sp. oral clone ji012 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium sp.,superkingdom__bacteria,,,,
OTU_10,uncultured pontibacter sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_11,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_12,paludibacter propionicigenes ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__paludibacter,s__paludibacter propionicigenes,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_13,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_14,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_15,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_16,cu927348.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__rhodocyclus,s__rhodocyclus tenuis,superkingdom__bacteria,,,,
OTU_17,cloacibacterium normanense ,k__bacteria,p__bacteroidetes,c__flavobacteriia,o__flavobacteriales,f__flavobacteriaceae,g__cloacibacterium,s__cloacibacterium normanense,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_18,ay267192.1 pseudomonas veronii str. 16_6a  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__pseudomonadaceae,g__pseudomonas,s__pseudomonas veronii,superkingdom__bacteria,,,,
OTU_19,fj154804.1 streptococcus salivarius str. k12  ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__streptococcaceae,g__streptococcus,s__streptococcus salivarius,superkingdom__bacteria,,,,
OTU_20,propionicimonas paludicola ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__nocardioidaceae,g__propionicimonas,s__propionicimonas paludicola,superkingdom__bacteria,,subclass  actinobacteridae,suborder__propionibacterineae,
OTU_21,uncultured stenotrophomonas sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__xanthomonadales,f__xanthomonadaceae,g__stenotrophomonas,s__stenotrophomonas spp.,superkingdom__bacteria,,,,
OTU_22,uncultured ruminococcus sp. ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__ruminococcaceae,g__ruminococcus,s__ruminococcus spp.,superkingdom__bacteria,,,,
OTU_23,ab079679.1 rhodopseudomonas sp. hmd89  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,superkingdom__bacteria,,,,
OTU_24,ab079679.1 rhodopseudomonas sp. hmd89  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,superkingdom__bacteria,,,,
OTU_25,azospirillum amazonense ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__nitrospirillum,s__azospirillum amazonense,superkingdom__bacteria,,,,
OTU_26,fj596644.1 acinetobacter junii str. p1  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__moraxellaceae,g__acinetobacter,s__acinetobacter junii,superkingdom__bacteria,,,,
OTU_27,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_28,uncultured rhodopseudomonas sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas spp.,superkingdom__bacteria,,,,
OTU_29,dechloromonas agitata ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__dechloromonas,s__dechloromonas agitata,superkingdom__bacteria,,,,
OTU_30,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_31,zoogloea sp. enrichment culture clone m_1 ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__zoogloea,s__zoogloea sp.,superkingdom__bacteria,,,,
OTU_32,gq046324.1 topographical and temporal human skin microbiome skin volar forearm clone nbw996b10c1  ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__propionibacteriaceae,g__propionibacterium,s__propionibacterium acnes,superkingdom__bacteria,,subclass  actinobacteridae,suborder__propionibacterineae,
OTU_33,uncultured acidovorax sp. ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__comamonadaceae,g__acidovorax,s__acidovorax spp.,superkingdom__bacteria,,,,
OTU_34,d25313.1 rhodoplanes roseus str. 941  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__rhodoplanes,s__rhodoplanes elegans,superkingdom__bacteria,,,,
OTU_35,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_36,pontibacter salisaro ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter salisaro,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_37,barnesiella viscericola dsm 18177 ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__barnesiella,s__barnesiella viscericola,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_38,dq414679.1 achromobacter xylosoxidans  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__alcaligenaceae,g__bordetella,s__bordetella hinzii,superkingdom__bacteria,,,,
OTU_39,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
OTU_40,opitutus sp. enrichment culture clone lt_b7 ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus sp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_41,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_42,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_43,aj582755.1 desulfovibrio ferrireducens str. cy1  ,k__bacteria,p__proteobacteria,c__deltaproteobacteria,o__desulfovibrionales,f__desulfovibrionaceae,g__desulfovibrio,s__desulfovibrio mexicanus,superkingdom__bacteria,,,,subphylum__delta/epsilon subdivisions
OTU_44,uncultured rhodopseudomonas sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas spp.,superkingdom__bacteria,,,,
OTU_45,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_46,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_47,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_48,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_49,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_50,rhizobium straminoryzae ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__rhizobiaceae,g__rhizobium,s__rhizobium straminoryzae,superkingdom__bacteria,,,,
OTU_51,uncultured pontibacter sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_52,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_53,fj540915.1 bradyrhizobium yuanmingense str. dtb9  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium yuanmingense,superkingdom__bacteria,,,,
OTU_54,phaeospirillum sp. ak32 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__phaeospirillum,s__phaeospirillum sp.,superkingdom__bacteria,,,,
OTU_55,uncultured methanosaeta sp. ,k__archaea,p__euryarchaeota,c__methanomicrobia,o__methanosarcinales,f__methanosaetaceae,g__methanosaeta,s__methanosaeta sp.,superkingdom__archaea,,,,
OTU_56,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_57,af529115.1 trichloroethene_contaminated site clone ftlm116 proteobacterium  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,superkingdom__bacteria,,,,
OTU_58,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_59,pontibacter sp. swu8 ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_60,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
