,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
opitutus spp.,-0.40025654819371564,5,0.02286954540749651,0,-0.14695468983270743,0.0,0.015293396580221282,5,peripheral_node
paludibacter propionicigenes,0.03582820502181735,4,0.002217669842901754,0,-0.46535651780357346,0.6734693877551021,0.1288921167080315,7,connector_node
magnetospirillum sp.,0.34708746657171247,12,0.07392465248587982,0,2.0818581059633545,0.0,0.1887712521470351,12,peripheral_node
rhodopseudomonas palustris,-0.14645023325418688,6,0.004252635508583638,0,0.1714471381381586,0.26530612244897966,0.14964388698360342,7,peripheral_node
acetobacter spp.,-0.35860992276268905,9,0.02657579980476708,0,1.1266526220507567,0.0,0.1630616026429906,9,peripheral_node
bacteroides spp.,-0.2748671308864956,11,0.08952192298354672,0,1.7634562779924887,0.5813148788927336,0.3332237685584267,17,peripheral_node
pleomorphomonas oryzae,-0.09264003672760605,4,0.07510822510822511,0,-0.46535651780357346,0.3599999999999999,0.04888894841692987,5,peripheral_node
afipia sp.,-0.23520176685140326,3,0.03804823891703651,0,-0.7837583457744395,0.64,0.06581285067106533,5,connector_node
rhodoblastus acidophilus,0.03521103814074493,6,0.00585524679584591,0,0.1714471381381586,0.0,0.09680144785791478,6,peripheral_node
spirochaeta spp.,0.7754056826979744,1,0.0,7,-1.0,1.0,0.00012773741516435122,1,connector_node
citrobacter werkmanii,-0.14821746489472412,4,0.06019377447948876,3,-1.2403473458920844,1.0,0.10749675393664652,5,connector_node
pontibacter spp.,-0.19568418504689275,4,4.724111866969009e-05,3,-1.2403473458920844,1.0,0.09223408556242871,4,connector_node
pontibacter sp.,-0.14821981951246702,6,0.000752224392016277,3,0.0,0.9795918367346939,0.17639607015800846,7,connector_node
ruminococcus spp.,-0.3063924604650049,3,0.0,9,0,1.0,1.1007818960697996e-21,3,connector_node
eubacterium sp.,0.0342238321809041,8,0.05150489011412229,3,1.2403473458920844,0.9053254437869822,0.28661602670780517,13,connector_node
ancalomicrobium spp.,-0.22102229517540287,3,0.01566687280972995,1,-0.9851712491532487,1.0,0.008367499990131437,3,connector_node
rhodocyclus tenuis,-0.3429089254631869,8,0.08424137500996558,0,0.8082507940798906,0.0,0.06561119972670999,8,peripheral_node
escherichia spp.,0.2764633750559887,8,0.01994151996857553,0,0.8082507940798906,0.2098765432098766,0.1925700742123639,9,peripheral_node
rhodoplanes elegans,-0.22478559970563516,9,0.12083797337160478,1,0.9013268875231848,0.9940828402366864,0.1442876251259285,13,connector_node
propionicimonas paludicola,-0.37473766350747534,4,0.050995423831400336,2,0.9847319278346619,0.96,0.0011368048593417134,5,connector_node
rhodopseudomonas spp.,-0.15881039348054024,9,0.06651480452677161,0,1.1266526220507567,0.3305785123966941,0.17102151803936425,11,peripheral_node
pleomorphomonas spp.,-0.08374411084195939,8,0.05613613836038427,0,0.8082507940798906,0.2098765432098766,0.13157051950914705,9,peripheral_node
caulobacter spp.,-0.046578952099577145,8,0.03238561924778893,3,1.2403473458920844,0.9669421487603306,0.25477611735259537,11,connector_node
barnesiella viscericola,-0.22567623107134033,7,0.005499363358119513,3,0.6201736729460422,0.91,0.23558753301292087,10,connector_node
pontibacter salisaro,0.7017630996065181,2,0.046176046176046176,7,1.0,1.0,0.011514178876685814,3,connector_node
phaeospirillum sp.,0.6205636278846026,1,0.0,6,-1.0,1.0,1.16181718673215e-30,1,connector_node
enterobacter spp.,-0.011490467503469794,2,0.01587602388449043,2,-0.6154574548966636,0.8888888888888888,0.017381827207634138,3,connector_node
cloacibacterium normanense,-0.4235900734173684,10,0.02623529964256499,1,1.2157432436359237,1.0,0.05978241104972321,10,connector_node
rhodopseudomonas rhenobacensis,-0.5665321302534744,7,0.045035472032000194,0,0.4898489661090246,0.0,0.06027085814954687,7,peripheral_node
pleomorphomonas sp.,0.10591543810445703,6,0.010117528142920119,0,0.1714471381381586,0.0,0.07554174001948721,6,peripheral_node
citrobacter spp.,-0.19596359492139256,6,0.004173574576360195,3,0.0,0.9795918367346939,0.17649347262943213,7,connector_node
bradyrhizobium sp.,-0.5270186340452465,2,0.06101834673263244,4,0.8164965809277259,0.8888888888888888,0.005237176502750196,3,connector_node
acidovorax caeni,-0.43553274843393264,8,0.0030724313120556045,1,0.5869105314104458,1.0,0.05279348507748553,8,connector_node
fibrobacter spp.,-0.02866388750649016,4,0.008945411461034931,3,-1.2403473458920844,0.9183673469387755,0.15737692575023438,7,connector_node
chlorobium spp.,-0.16108773491486672,2,0.0,0,-1.1021601737453055,0.0,0.008474530125577296,2,peripheral_node
bradyrhizobium yuanmingense,0.4373236492069483,1,0.0,2,-1.4155521462623264,1.0,0.0005251289571350358,1,connector_node
inquilinus spp.,-0.35422862613291894,4,0.0,0,-0.46535651780357346,0.0,0.10842383423979776,4,peripheral_node
dechloromonas agitata,-0.4877250734230633,8,0.01457938186419823,1,0.5869105314104458,1.0,0.05229153106935433,8,connector_node
acidovorax spp.,-0.42391849525898906,3,0.0,1,-0.9851712491532487,1.0,0.01808641753865803,3,connector_node
opitutus sp.,-0.3161724206148935,1,0.0,0,-1.4205620017161715,0.0,0.001601939869119013,1,peripheral_node
methylocella palustris,-0.04264702580341577,1,0.0,1,-1.6140039613787265,1.0,0.0008766200097625473,1,connector_node
beijerinckia spp.,-0.26625169453617,2,0.01566687280972995,4,0.8164965809277259,1.0,0.0005546634243785185,2,connector_node
