"","sC0C","s1C03A","s1C03B","s1C05A","s1C05B","s1C07A","s1C07B","s1C10A","s1C10B","s1C20A","s1C20B","s2C03A","s2C03B","s2C05A","s2C05B","s2C10A","s2C10B","s1M03A","s1M03B","s1M03C","s1M05C","s1M05A","s1M05B","s1M07A","s1M07B","s1M07C","s1M10A","s1M10B","s1M10C","s2M03A","s2M03B","s2M03C","s2M05A","s2M05B","s2M07A","s2M07B","s2M10B","s2M10A","s2M10C","s3M03A","s3M03B","s3M03C","s3M05A","s3M05B","s3M05C","s3M07A","s3M07B","s3M07C","s3M10A","s3M10B","s3M10C","s1G03A","s1G03B","s1G03C","s1G05A","s1G05B","s1G05C","s1G07A","s1G07B","s1G07C","s1G10A","s1G10B","s1G10C","s2G03A","s2G03B","s2G03C","s2G05A","s2G05B","s2G05C","s2G07A","s2G07B","s2G07C","s2G10A","s2G10B","s2G10C","s3G03A","s3G03B","s3G03C","s3G05A","s3G05B","s3G05C","s3G07A","s3G07B","s3G07C","s3G10A","s3G10B"
"OTU_471",1.98894725479803,1.760788440253,1.80316751127087,1.69771367982139,1.48764886711212,1.32256674167353,0.530291050764486,1.51626200747746,1.6339314187589,2.19234552735012,2.46546976866174,-0.197158158956617,-0.122253665882877,-1.41067368803031,0.0534399567876758,0.63059491183745,1.2761602357711,1.03381187611463,-1.10071434724718,0.699704931510938,1.49524767937801,0.49503888364228,-0.972912826761453,-0.853198838397349,1.4564070779503,-0.983133281618333,1.52183529880456,2.1056769305786,0.720134924655449,1.42828179596532,1.1621928162723,2.00663524787313,-1.38456561256622,2.0631543138399,1.98012333056907,0.716884316648152,1.34746154132159,2.30626400752733,1.64075403517655,0.552426381568075,-1.30466580846719,0.431730856443064,0.110281921324328,-0.63727026597309,-0.0877898792511296,0.852648372451592,0.247441661847743,-0.172001233445297,0.72764357327384,0.582610592309416,-0.313241690691088,1.53586480564184,1.79799183525357,0.742314986904189,1.02008622080843,2.03023687248563,1.97306028008536,2.31376662086643,1.1846147376435,1.77753382608947,1.82310121377926,-1.2567285156326,1.2850472136769,2.12026261956765,1.92438603751807,1.88259414610797,1.45010546773138,-0.11688111579095,0.826166861649511,0.282705002750713,1.23059483140903,0.665354432350229,0.602238228351046,1.91979304997026,0.731216794094331,0.575510004612042,0.597025878240316,-1.21971318819433,-1.41358187478277,0.706098497212546,0.0298769661946441,0.311593274524631,0.173665255477024,0.103639073774216,-0.0453032444610848,0.339701133524445
"OTU_620",3.99538625584237,3.85974979844217,3.53479029148625,3.51747606115351,3.86947929502488,3.3008014454938,3.00843357808739,3.24152130019921,3.39308691042941,4.1716147550871,3.76435090993691,1.51292310870328,1.93012909114195,1.90892483334588,1.77913603136588,2.96185279804606,3.01751920406753,2.19250980433029,2.82922397061362,3.01397515195609,2.14334113621483,2.21595326040332,2.69903741686772,3.19878546228153,2.7626447846718,2.08642125181819,3.32114472631855,3.27056851453241,2.88529035800174,3.47859275246874,3.17682160899459,3.87949828183056,3.57549002129272,3.50683878605956,3.67086839715291,3.05359212314401,3.12419952279497,4.09656146201274,3.60612279511172,2.01220930998378,2.57936393431372,2.31449026101231,1.56937566373712,2.17405910114446,1.1185344154556,1.5099102824883,2.40473713810344,1.53447139647151,1.89667988261117,2.42093996079166,1.80537615180409,3.5679191156763,3.5077987539542,3.02565898319935,3.68265429244511,3.6711607821647,3.58006223108801,3.99452752463373,3.66386908368506,3.72558232511087,3.39205184542809,2.99361688387719,3.17573996626828,3.386136486762,3.83529710473065,3.41869744941157,2.57707217982194,3.29248673232705,2.92867781531027,3.02570523578347,2.92929016522744,2.97749849194298,2.69468804164817,3.86782660238343,3.51952854274937,1.56024560697102,1.8498729173462,0.982263745859562,1.31019583595698,1.74389932362969,1.74608590980136,1.59070487766392,1.1573018842868,1.35444011512876,1.95617675574904,1.71809885449964
"OTU_640",8.24010884681137,8.21468358139156,8.01811815784222,7.71161948259263,7.88804005226604,7.52723640665342,7.28481509561676,7.7583303738823,7.5115259623356,8.44721816115472,8.36366182802318,6.03241561346379,6.14699330196898,6.64590979417549,5.51556918833601,7.03932004854002,7.38510932956561,6.52403135586339,7.09754637396487,6.95009126356159,6.05471763322723,6.27517876183972,6.66274881774818,7.27310330310711,6.83344549038644,6.86155396377702,7.84193446979736,7.71404669305982,7.5065843666772,7.72599081545063,7.80294240804244,8.18177652251722,7.91753079773354,7.80721369591054,7.87604486243888,7.33612023586917,7.36750644629874,8.51489155512168,8.11469649373554,6.12742610162546,6.49862834008387,6.07352627127109,5.77564191370094,5.84255985859184,5.90312736667506,6.15053272643079,6.65855148706762,5.45313097014274,6.44427108355962,6.58635105121131,6.35514958819376,7.98109111407696,7.75903785820254,7.62146398035167,7.72243479241874,7.82725112717039,7.83739719571484,7.73625133959675,7.97294718718899,7.62234412317266,8.30026490804632,7.43085970174724,7.47363929001407,7.74849864938154,8.07349231091991,7.93835202414342,6.84572556524839,7.10427408702456,7.12822159884995,7.20105609146077,7.14002651101079,6.96603686399491,7.01023902934145,7.89467686286215,7.4369357814044,5.73307976992769,6.15846557403973,5.68635692414713,6.26006181497472,5.79763460963572,5.3614730617813,5.69469660353915,5.71185440291678,5.62635519818731,6.31253902204701,6.01034176641906
"OTU_403",1.53584561682986,1.48820546322016,0.651798839333486,0.24534784224109,-0.220090539925581,-1.55867052800054,0.892684536742687,0.656476688576131,1.42036531617588,0.86877092136114,1.46788750114693,-1.60325450609033,-0.122253665882877,-1.41067368803031,-1.77509190280755,0.63059491183745,1.06765446770974,-1.0401485763673,-1.10071434724718,0.699704931510938,0.55893747690541,-0.952873582815164,-0.972912826761453,-0.853198838397349,-0.82069286153135,-0.983133281618333,0.145581510743137,1.30406702271868,0.160356680010043,1.42828179596532,1.1621928162723,1.85851512012398,0.128370921252239,1.28797405763914,1.01439859653827,0.980417022791979,0.511364343400331,2.2244006853102,0.495209404684276,0.552426381568075,1.04898772587629,0.431730856443064,-1.63563312899439,-1.87702940349605,-1.60370839266843,-0.34179154378951,0.247441661847743,-0.172001233445297,-0.618006895532387,-1.54606019672159,-1.62987212461896,1.53586480564184,0.542969081844051,-1.38583650803946,1.02008622080843,1.3763249114445,0.956801128782923,0.657275732297363,-1.23484475919968,1.39689088841223,-1.18069798428266,-1.2567285156326,-1.48476098993659,0.231573039101541,0.902968059119573,1.49436143441338,0.0286085817153445,1.4411587214423,-0.0873569832058045,0.282705002750713,0.45094910117469,0.665354432350229,-0.294402252614653,1.04731553661881,-1.54441513692471,0.575510004612042,-1.19532228324485,-1.21971318819433,-1.41358187478277,-0.229546587293633,-1.74036720629285,-1.6870572881954,-1.64084154500398,0.451138381797476,-1.65474115689519,-0.212079882956054
"OTU_162",0.0908816377721173,0.50281953777149,-1.35073617858033,0.24534784224109,-1.61743025220139,0.848436434637142,0.530291050764486,0.0509413910843204,1.42036531617588,0.253563753632037,0.0375851709659276,-0.197158158956617,-1.52487263847222,-1.41067368803031,-1.77509190280755,-1.53088599187387,-1.55436678287185,0.459058226803934,0.314893605754701,-1.06560913090654,-0.933947067552522,-0.952873582815164,0.460752663096303,-0.853198838397349,1.4564070779503,-0.983133281618333,1.05384786541728,1.57201695249433,0.160356680010043,1.16241443558667,0.538312659838994,-1.309505208737,-1.38456561256622,0.0753302516540817,-0.18012935907792,-1.63236884490594,-1.54095124710402,-0.562401937756055,-1.45433656458733,-1.1977472817127,-1.30466580846719,-1.15763388170922,-0.422035290086662,-0.63727026597309,-1.60370839266843,-1.7995217859784,-1.64798941264477,-1.88628781327878,-0.618006895532387,0.00189469336237025,-1.62987212461896,-1.40360631587424,-1.26475350373368,0.742314986904189,-1.17696847629295,0.420861819449097,-1.17536648793324,0.657275732297363,-1.23484475919968,0.774714529341757,-1.18069798428266,-1.2567285156326,-1.48476098993659,0.231573039101541,-1.29134523600977,0.851198279994453,0.608491577423754,1.4411587214423,-1.45993059225985,-0.274961480640146,-0.441502519687774,-1.73820967181267,-0.294402252614653,-0.144781050982154,-1.54441513692471,-1.24806207474897,0.597025878240316,-1.21971318819433,-1.41358187478277,-0.229546587293633,-1.74036720629285,-1.6870572881954,-1.64084154500398,-1.67449363616257,0.291168992160127,-1.5451850864288
"OTU_442",0.0908816377721173,0.50281953777149,-1.35073617858033,-1.4600673737518,-1.61743025220139,-0.0845334410308762,-0.0437658197586401,-1.73423620236974,-1.62332570822977,-1.6438217892488,0.0375851709659276,-1.60325450609033,-1.52487263847222,-1.41067368803031,-0.490727676622752,-1.53088599187387,-1.55436678287185,-1.0401485763673,-1.10071434724718,-1.06560913090654,-0.933947067552522,-0.952873582815164,-0.972912826761453,-0.853198838397349,-0.82069286153135,0.830563325034522,-1.20152931181546,0.350688552339376,-1.22707561766165,-1.28734940207258,-0.0292199960213644,0.257734762576746,-1.38456561256622,-1.47326713383706,0.389342217308762,-1.63236884490594,-1.54095124710402,-0.036355117895507,-0.0648601385106353,-1.1977472817127,-1.30466580846719,-1.15763388170922,-0.422035290086662,-1.87702940349605,-1.60370839266843,-1.7995217859784,-0.30572312184686,-0.172001233445297,-0.618006895532387,-1.54606019672159,-1.62987212461896,-1.40360631587424,-1.26475350373368,0.161654323151822,0.432316545228522,0.420861819449097,-1.17536648793324,-1.22776770850488,-1.23484475919968,-1.21290029193573,-1.18069798428266,-1.2567285156326,0.304527289246321,-1.38553723932377,0.315472904134745,0.493337281135563,-1.51237412487864,-1.50277740991887,-0.0873569832058045,-0.274961480640146,0.101143518800354,-1.73820967181267,-1.58785109079589,0.783169464811294,0.135860321919736,-1.24806207474897,-1.19532228324485,-1.21971318819433,-1.41358187478277,-1.71866502971926,-1.74036720629285,-1.6870572881954,-1.64084154500398,-1.67449363616257,-1.65474115689519,-1.5451850864288
"OTU_24",3.44269423515655,3.42747881122475,3.22518199634754,3.05159848994984,3.35299422401467,3.09895199259432,2.80604781562513,2.65240744228266,2.63849346777483,3.65146752283461,3.42602365523759,1.64089830960262,1.06013100206691,2.1875239429846,1.31134745485682,2.04083999648437,2.56672837459121,2.04491301403163,2.37093834713358,2.7319154098217,-0.933947067552522,2.34421417547626,2.5217883398762,2.13435783807014,1.4564070779503,2.75607365984095,3.1532547708744,2.84894085419394,2.66623070621096,2.63263214569483,2.60886983738855,3.29194205524535,3.0693285286615,2.79492516034636,3.27597645314325,2.31014370066775,2.53115159882061,3.28106679572818,3.34565951621207,1.79910478982691,1.90657586845232,0.431730856443064,0.915986114679296,1.15011674180681,1.1185344154556,1.06159196893126,1.72881567564729,0.629938361583264,1.28131585350023,1.42482711967501,0.84862365240182,3.37701668688876,2.68582600303346,2.97971675365929,3.26549391155495,3.15515585645568,2.72286838059278,2.99232345549964,3.29945267672346,3.03957505747932,3.17148734455674,2.99361688387719,2.7749945634611,3.27791358699383,3.14806883247813,3.29606744689324,2.01465053294713,2.10762406092891,1.95631689744766,2.87767886155108,2.29358355619984,2.77881549154117,2.61883099555075,3.17892678796995,2.77626229595308,0.575510004612042,1.57792869342276,0.394002860318826,1.31019583595698,1.35398727138852,0.3769035226337,1.59070487766392,0.173665255477024,1.74365144939477,1.48075305903396,1.47765725634808
"OTU_322",-1.57208805952357,-1.32616066709521,-1.35073617858033,-1.4600673737518,-1.61743025220139,-1.55867052800054,0.530291050764486,-1.73423620236974,-1.62332570822977,-1.6438217892488,-1.54711467844665,-1.60325450609033,-1.52487263847222,-1.41067368803031,-1.77509190280755,-1.53088599187387,-1.55436678287185,-1.0401485763673,-1.10071434724718,-1.06560913090654,0.55893747690541,-0.952873582815164,-0.972912826761453,-0.853198838397349,-0.82069286153135,-0.983133281618333,-1.20152931181546,-1.24499482926371,-1.22707561766165,0.223049476507063,-1.47276009466079,-1.309505208737,-1.38456561256622,-1.47326713383706,-1.63827597957023,-0.20703474681102,-1.54095124710402,-1.74080245417016,-1.45433656458733,-1.1977472817127,-1.30466580846719,-1.15763388170922,-1.63563312899439,-1.87702940349605,-1.60370839266843,-1.7995217859784,-1.64798941264477,-1.88628781327878,-1.85647105765966,-1.54606019672159,-1.62987212461896,-1.40360631587424,-1.26475350373368,0.742314986904189,-1.17696847629295,0.420861819449097,0.375713953317208,1.64917661994197,-1.23484475919968,0.774714529341757,-1.18069798428266,-1.2567285156326,-1.48476098993659,-1.38553723932377,-1.29134523600977,-0.0692498131653849,-1.51237412487864,-1.50277740991887,-1.45993059225985,-1.64771607826808,-1.71644691980661,-1.73820967181267,-0.294402252614653,-1.59150518127517,0.135860321919736,-1.24806207474897,-1.19532228324485,-1.21971318819433,-1.41358187478277,-1.71866502971926,-1.74036720629285,-0.547186646272602,-1.64084154500398,-1.67449363616257,-1.65474115689519,-1.5451850864288
"OTU_518",1.53584561682986,1.48820546322016,1.27506383861148,1.48514402382704,1.48764886711212,-1.55867052800054,0.530291050764486,0.0509413910843204,0.773775957765134,1.7352045015468,2.03363497588355,0.365254744035258,-1.52487263847222,-1.41067368803031,-1.77509190280755,0.0464406575675014,-1.55436678287185,-1.0401485763673,-1.10071434724718,-1.06560913090654,-0.933947067552522,0.49503888364228,0.460752663096303,1.49039165522489,1.4564070779503,-0.983133281618333,1.05384786541728,0.350688552339376,0.720134924655449,-1.28734940207258,-0.0292199960213644,1.85851512012398,1.33410617365679,1.28797405763914,0.389342217308762,0.980417022791979,0.873073591042392,1.203288272979,1.49412018485636,-1.1977472817127,0.446614418385677,0.431730856443064,-0.422035290086662,-0.63727026597309,0.489044595002433,-1.7995217859784,-1.64798941264477,-1.88628781327878,-1.85647105765966,-1.54606019672159,-0.313241690691088,0.118347879955493,1.15054352108776,-1.38583650803946,1.02008622080843,0.420861819449097,-1.17536648793324,1.64917661994197,1.55997463303791,1.39689088841223,1.82310121377926,-1.2567285156326,0.304527289246321,1.18825964082635,1.27058069741475,1.11420060722929,0.0286085817153445,1.06168199642998,0.470283238357869,0.638599159685086,0.45094910117469,0.870253520885289,0.602238228351046,1.42867732143087,1.58388679042677,-1.24806207474897,1.20321518210781,-1.21971318819433,-1.41358187478277,-0.229546587293633,-0.506017433940041,-0.0283097584919982,-0.368549355155759,-1.67449363616257,-0.0453032444610848,0.693224900280001
"OTU_617",-1.57208805952357,-1.32616066709521,-1.35073617858033,-1.4600673737518,-1.61743025220139,-1.55867052800054,-0.0437658197586401,-1.73423620236974,-1.62332570822977,-1.6438217892488,-1.54711467844665,-1.60325450609033,-1.52487263847222,-1.41067368803031,-1.77509190280755,-1.53088599187387,-1.55436678287185,-1.0401485763673,-1.10071434724718,-1.06560913090654,-0.933947067552522,-0.952873582815164,-0.972912826761453,-0.853198838397349,-0.82069286153135,-0.983133281618333,-1.20152931181546,0.350688552339376,-1.22707561766165,0.223049476507063,-0.0292199960213644,0.257734762576746,-1.38456561256622,-1.47326713383706,0.389342217308762,-1.63236884490594,-1.54095124710402,-0.562401937756055,-0.0648601385106353,-1.1977472817127,-1.30466580846719,-1.15763388170922,-1.63563312899439,-1.87702940349605,-0.0877898792511296,-1.7995217859784,-1.64798941264477,-1.88628781327878,-1.85647105765966,-1.54606019672159,-1.62987212461896,-1.40360631587424,-1.26475350373368,-1.38583650803946,-1.17696847629295,-1.18826185525308,-1.17536648793324,-1.22776770850488,-1.23484475919968,0.774714529341757,1.17836153017198,-1.2567285156326,-1.48476098993659,-1.38553723932377,0.315472904134745,-0.0692498131653849,-1.51237412487864,-1.50277740991887,-1.45993059225985,-1.64771607826808,-1.71644691980661,-1.73820967181267,-1.58785109079589,-1.59150518127517,1.10183784844187,-1.24806207474897,-1.19532228324485,-1.21971318819433,-1.41358187478277,-1.71866502971926,-0.506017433940041,-1.6870572881954,-1.64084154500398,-1.67449363616257,-0.556128868227075,-1.5451850864288
