,test_id,R2,p_value,p_value_dispersion,adjusted_p_value,significant
1,all_cluster_OTU-level,0.252827252257134,9.99900009999e-05,0.939,9.99900009999e-05,TRUE
2,all_cluster_species,0.265462415543043,9.99900009999e-05,0.024,9.99900009999e-05,FALSE
3,all_cluster_genus,0.286989797470787,9.99900009999e-05,0.018,9.99900009999e-05,FALSE
4,all_cluster_family,0.27090634828621,9.99900009999e-05,0.028,9.99900009999e-05,FALSE
5,all_cluster_order,0.269802759792088,9.99900009999e-05,0.013,9.99900009999e-05,FALSE
6,all_cluster_class,0.307794946187019,9.99900009999e-05,0.007,9.99900009999e-05,FALSE
7,all_cluster_phylum,0.341988935535459,9.99900009999e-05,0.002,9.99900009999e-05,FALSE
8,early_vs_recovering_OTU-level,0.194283150344014,9.99900009999e-05,0.663,9.99900009999e-05,TRUE
9,early_vs_recovering_species,0.25397240923482,9.99900009999e-05,0.171,9.99900009999e-05,TRUE
10,early_vs_recovering_genus,0.288760428528388,9.99900009999e-05,0.851,9.99900009999e-05,TRUE
11,early_vs_recovering_family,0.267749822877658,9.99900009999e-05,0.768,9.99900009999e-05,TRUE
12,early_vs_recovering_order,0.266835061065932,9.99900009999e-05,0.841,9.99900009999e-05,TRUE
13,early_vs_recovering_class,0.31110665794342,9.99900009999e-05,0.647,9.99900009999e-05,TRUE
14,early_vs_recovering_phylum,0.366613705175207,9.99900009999e-05,0.575,9.99900009999e-05,TRUE
15,early_vs_stable_OTU-level,0.217688838528379,9.99900009999e-05,0.849,9.99900009999e-05,TRUE
16,early_vs_stable_species,0.173448916761152,9.99900009999e-05,0.022,9.99900009999e-05,FALSE
17,early_vs_stable_genus,0.190127805496268,9.99900009999e-05,0.024,9.99900009999e-05,FALSE
18,early_vs_stable_family,0.203914616959506,9.99900009999e-05,0.03,9.99900009999e-05,FALSE
19,early_vs_stable_order,0.204182540846827,9.99900009999e-05,0.016,9.99900009999e-05,FALSE
20,early_vs_stable_class,0.230048937552194,9.99900009999e-05,0.022,9.99900009999e-05,FALSE
21,early_vs_stable_phylum,0.220361074305083,9.99900009999e-05,0.005,9.99900009999e-05,FALSE
22,stable_vs_recovering_OTU-level,0.192609754585163,9.99900009999e-05,0.926,9.99900009999e-05,TRUE
23,stable_vs_recovering_species,0.209287939247769,9.99900009999e-05,0.208,9.99900009999e-05,TRUE
24,stable_vs_recovering_genus,0.211294813159862,9.99900009999e-05,0.027,9.99900009999e-05,FALSE
25,stable_vs_recovering_family,0.171556831205932,9.99900009999e-05,0.055,9.99900009999e-05,TRUE
26,stable_vs_recovering_order,0.170396475766891,9.99900009999e-05,0.034,9.99900009999e-05,FALSE
27,stable_vs_recovering_class,0.196078898751319,9.99900009999e-05,0.013,9.99900009999e-05,FALSE
28,stable_vs_recovering_phylum,0.278317492385127,9.99900009999e-05,0.008,9.99900009999e-05,FALSE
29,all_focused.cluster_OTU-level,0.429827935563656,9.99900009999e-05,0.014,9.99900009999e-05,FALSE
30,all_focused.cluster_species,0.46338231591924,9.99900009999e-05,0.049,9.99900009999e-05,FALSE
31,all_focused.cluster_genus,0.498606823837413,9.99900009999e-05,0.121,9.99900009999e-05,TRUE
32,all_focused.cluster_family,0.511931076754898,9.99900009999e-05,0.181,9.99900009999e-05,TRUE
33,all_focused.cluster_order,0.509144164457843,9.99900009999e-05,0.603,9.99900009999e-05,TRUE
34,all_focused.cluster_class,0.544555623043947,9.99900009999e-05,0.347,9.99900009999e-05,TRUE
35,all_focused.cluster_phylum,0.617184607275505,9.99900009999e-05,0.542,9.99900009999e-05,TRUE
36,early_focused.cluster_OTU-level,0.282433998237042,9.99900009999e-05,0.005,9.99900009999e-05,FALSE
37,early_focused.cluster_species,0.27757558190628,9.99900009999e-05,0.005,9.99900009999e-05,FALSE
38,early_focused.cluster_genus,0.27682482278113,9.99900009999e-05,0.022,9.99900009999e-05,FALSE
39,early_focused.cluster_family,0.310396833369972,9.99900009999e-05,0.013,9.99900009999e-05,FALSE
40,early_focused.cluster_order,0.291753972034987,9.99900009999e-05,0.183,9.99900009999e-05,TRUE
41,early_focused.cluster_class,0.284893913046522,9.99900009999e-05,0.067,9.99900009999e-05,TRUE
42,early_focused.cluster_phylum,0.288956290809689,9.99900009999e-05,0.164,9.99900009999e-05,TRUE
43,recovering_focused.cluster_OTU-level,0.203429572361382,9.99900009999e-05,0.489,9.99900009999e-05,TRUE
44,recovering_focused.cluster_species,0.229455424595889,9.99900009999e-05,0.568,9.99900009999e-05,TRUE
45,recovering_focused.cluster_genus,0.249215824637945,9.99900009999e-05,0.498,9.99900009999e-05,TRUE
46,recovering_focused.cluster_family,0.246850852491329,9.99900009999e-05,0.277,9.99900009999e-05,TRUE
47,recovering_focused.cluster_order,0.237273181714961,9.99900009999e-05,0.392,9.99900009999e-05,TRUE
48,recovering_focused.cluster_class,0.265955624890867,9.99900009999e-05,0.701,9.99900009999e-05,TRUE
49,recovering_focused.cluster_phylum,0.303791763849594,9.99900009999e-05,0.648,9.99900009999e-05,TRUE
50,stable_focused.cluster_OTU-level,0.233581563927573,9.99900009999e-05,0.245,9.99900009999e-05,TRUE
51,stable_focused.cluster_species,0.314205668032232,9.99900009999e-05,0.567,9.99900009999e-05,TRUE
52,stable_focused.cluster_genus,0.372250207535962,9.99900009999e-05,0.429,9.99900009999e-05,TRUE
53,stable_focused.cluster_family,0.427241607066425,9.99900009999e-05,0.529,9.99900009999e-05,TRUE
54,stable_focused.cluster_order,0.444597394023262,9.99900009999e-05,0.642,9.99900009999e-05,TRUE
55,stable_focused.cluster_class,0.457857894004426,9.99900009999e-05,0.48,9.99900009999e-05,TRUE
56,stable_focused.cluster_phylum,0.590486198429869,9.99900009999e-05,0.644,9.99900009999e-05,TRUE
57,pG_vs_pM_OTU-level,0.270835193219455,9.99900009999e-05,0.01,9.99900009999e-05,FALSE
58,pG_vs_pM_species,0.252239581095775,9.99900009999e-05,0.456,9.99900009999e-05,TRUE
59,pG_vs_pM_genus,0.241845764671637,9.99900009999e-05,0.695,9.99900009999e-05,TRUE
60,pG_vs_pM_family,0.27664488205662,9.99900009999e-05,0.704,9.99900009999e-05,TRUE
61,pG_vs_pM_order,0.20186071644532,9.99900009999e-05,0.806,9.99900009999e-05,TRUE
62,pG_vs_pM_class,0.159695756445708,0.0011998800119988,0.65,0.0011998800119988,TRUE
63,pG_vs_pM_phylum,0.189057026576721,0.0010998900109989,0.667,0.0010998900109989,TRUE
64,rC_vs_rM_OTU-level,0.194192947019863,0.0006999300069993,0.376,0.0006999300069993,TRUE
65,rC_vs_rM_species,0.231455370124848,9.99900009999e-05,0.74,9.99900009999e-05,TRUE
66,rC_vs_rM_genus,0.251611909612379,0.0001999800019998,0.52,0.0001999800019998,TRUE
67,rC_vs_rM_family,0.232992246683234,9.99900009999e-05,0.304,9.99900009999e-05,TRUE
68,rC_vs_rM_order,0.232451793562594,0.0002999700029997,0.303,0.0002999700029997,TRUE
69,rC_vs_rM_class,0.270274470610033,0.000999900009999,0.489,0.000999900009999,TRUE
70,rC_vs_rM_phylum,0.325958927810323,0.0004999500049995,0.505,0.0004999500049995,TRUE
71,rC_vs_rG_OTU-level,0.157659697766997,0.0006999300069993,0.947,0.0006999300069993,TRUE
72,rC_vs_rG_species,0.198034291901581,0.0008999100089991,0.565,0.0008999100089991,TRUE
73,rC_vs_rG_genus,0.214888222309357,0.0001999800019998,0.311,0.0001999800019998,TRUE
74,rC_vs_rG_family,0.244972481904191,0.0001999800019998,0.145,0.0001999800019998,TRUE
75,rC_vs_rG_order,0.223346761039434,0.0011998800119988,0.225,0.0011998800119988,TRUE
76,rC_vs_rG_class,0.249603169622875,0.0013998600139986,0.456,0.0013998600139986,TRUE
77,rC_vs_rG_phylum,0.339721750368641,9.99900009999e-05,0.881,9.99900009999e-05,TRUE
78,rG_vs_rM_OTU-level,0.133348165529192,0.0037996200379962,0.285,0.0037996200379962,TRUE
79,rG_vs_rM_species,0.126304826376145,0.0040995900409959,0.359,0.0040995900409959,TRUE
80,rG_vs_rM_genus,0.13752541514477,0.0022997700229977,0.462,0.0022997700229977,TRUE
81,rG_vs_rM_family,0.12111486071647,0.0093990600939906,0.443,0.0093990600939906,TRUE
82,rG_vs_rM_order,0.114329508096868,0.0363963603639636,0.656,0.0363963603639636,TRUE
83,rG_vs_rM_class,0.121753951071729,0.0493950604939506,0.96,0.0493950604939506,TRUE
84,rG_vs_rM_phylum,0.0903203677679719,0.156384361563844,0.453,0.156384361563844,FALSE
85,sC_vs_sM_OTU-level,0.238460696094828,0.0007999200079992,0.328,0.0007999200079992,TRUE
86,sC_vs_sM_species,0.361063785205166,0.0014998500149985,0.518,0.0014998500149985,TRUE
87,sC_vs_sM_genus,0.418806760931865,0.0016998300169983,0.498,0.0016998300169983,TRUE
88,sC_vs_sM_family,0.482456537738136,0.0025997400259974,0.616,0.0025997400259974,TRUE
89,sC_vs_sM_order,0.543478633005791,0.000999900009999,0.502,0.000999900009999,TRUE
90,sC_vs_sM_class,0.540405706757229,0.0015998400159984,0.582,0.0015998400159984,TRUE
91,sC_vs_sM_phylum,0.676121950487218,0.000999900009999,0.876,0.000999900009999,TRUE
92,sC_vs_sG_OTU-level,0.182577618039927,9.99900009999e-05,0.051,9.99900009999e-05,TRUE
93,sC_vs_sG_species,0.224904846719398,9.99900009999e-05,0.281,9.99900009999e-05,TRUE
94,sC_vs_sG_genus,0.279885617107589,9.99900009999e-05,0.19,9.99900009999e-05,TRUE
95,sC_vs_sG_family,0.333973131611951,9.99900009999e-05,0.261,9.99900009999e-05,TRUE
96,sC_vs_sG_order,0.309488532451019,9.99900009999e-05,0.372,9.99900009999e-05,TRUE
97,sC_vs_sG_class,0.368903668191735,0.0002999700029997,0.2,0.0002999700029997,TRUE
98,sC_vs_sG_phylum,0.53530958293925,0.0002999700029997,0.522,0.0002999700029997,TRUE
99,sG_vs_sM_OTU-level,0.147462824613239,0.0015998400159984,0.713,0.0015998400159984,TRUE
100,sG_vs_sM_species,0.202168465407618,0.0027997200279972,0.811,0.0027997200279972,TRUE
101,sG_vs_sM_genus,0.237120893205279,0.0014998500149985,0.613,0.0014998500149985,TRUE
102,sG_vs_sM_family,0.259287969903315,0.0027997200279972,0.632,0.0027997200279972,TRUE
103,sG_vs_sM_order,0.272204908667093,0.0026997300269973,0.963,0.0026997300269973,TRUE
104,sG_vs_sM_class,0.241908038933817,0.0024997500249975,0.631,0.0024997500249975,TRUE
105,sG_vs_sM_phylum,0.218355975415976,0.0020997900209979,0.307,0.0020997900209979,TRUE
