,x
s1M07C,early
s1M05B,early
s1M05C,early
s1M05A,early
s1M07A,early
s1M07B,early
s1M10B,early
s1M10C,early
s1M03A,early
s1M03B,early
s1M03C,early
s1M10A,early
s1G10B,early
s1G10C,early
s1G07B,early
s1G05B,early
s1G05A,early
s1G05C,early
s1G10A,early
s1G07A,early
s1G07C,early
s1G03B,early
s1G03A,early
s1G03C,early
s1C05B,early
s1C03A,early
s1C03B,early
s2M07A,early
s2M05B,early
s2M03C,early
s2M05A,early
s2M03A,early
s2M03B,early
s2G03C,early
s2G03A,early
s2G03B,early
s3M07A,recovering
s3M05B,recovering
s3M07C,recovering
s3M03A,recovering
s3M05A,recovering
s3M05C,recovering
s3M03B,recovering
s3M03C,recovering
s3G03B,recovering
s3G03A,recovering
s3G03C,recovering
s2G07C,recovering
s2G07A,recovering
s2G07B,recovering
s2G05B,recovering
s2G05A,recovering
s2G05C,recovering
s2C03A,recovering
s2C03B,recovering
s1C05A,recovering
s1C07A,recovering
s1C07B,recovering
s2C05A,recovering
s2C05B,recovering
s2M07B,recovering
s2M10B,recovering
s1C10A,stable
s1C10B,stable
sC0C,stable
s1C20A,stable
s1C20B,stable
s3G05B,stable
s3G07A,stable
s3G07B,stable
s3G05C,stable
s3G07C,stable
s2C10A,stable
s2C10B,stable
s2G10C,stable
s2G10A,stable
s2G10B,stable
s3M07B,stable
s3G05A,stable
s2M10A,stable
s2M10C,stable
s3M10A,stable
s3G10B,stable
s3M10B,stable
s3M10C,stable
s3G10A,stable
