,OTU,aldex2_diff.btw,aldex2_diff.win,aldex2_effect,aldex2_wi.ep,aldex2_wi.eBH,kingdom,phylum,class,order,family,genus,species,aldex2_positive,aldex2_negative,taxrank,test_id
1,OTU_1,-0.815417820446696,2.43453787668883,-0.322030340285646,0.0998532220049113,0.253185240929155,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,magnetospirillum,magnetospirillum sp.,initial,mid,OTU,i_vs_m
2,OTU_10,0.769376227642526,2.45812770018086,0.296521284326542,0.0858791916404116,0.232472263511159,bacteria,bacteroidetes,cytophagia,cytophagales,cytophagaceae,pontibacter,pontibacter spp.,initial,mid,OTU,i_vs_m
3,OTU_101,1.82141877769877,3.52111828957474,0.447019607734831,0.00925198507942256,0.0344395110205102,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
4,OTU_102,3.60180415476515,2.76163004962025,1.21538584263851,2.00505387729215e-09,4.24972442072027e-08,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,initial,mid,OTU,i_vs_m
5,OTU_103,1.29698769508668,4.14987676522354,0.268392686603983,0.141029535161467,0.261127329862844,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
6,OTU_104,1.06879920385294,4.2983025209567,0.207377431339542,0.245790425056808,0.409647737529059,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus,initial,mid,OTU,i_vs_m
7,OTU_105,3.12836044674533,3.24487231481889,0.878128890161902,4.99607503879109e-06,5.21023956766746e-05,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
8,OTU_106,-0.773270121948707,4.4120611017825,-0.148772966114499,0.329751201238835,0.490537025216771,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
9,OTU_107,-0.657873030471998,1.45706843679384,-0.434040954985842,0.018663295306449,0.0763402477558657,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas palustris,initial,mid,OTU,i_vs_m
10,OTU_108,1.23913692350073,3.42632897578229,0.308330040364685,0.0717283241675315,0.166673198475733,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
11,OTU_109,-1.67499433896446,3.9668861640628,-0.371888804502919,0.0456209151484546,0.112092405414897,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,initial,mid,OTU,i_vs_m
12,OTU_11,0.199972479012296,2.21764989273999,0.0883425315170554,0.67257776221818,0.82370543292176,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,acetobacter spp.,initial,mid,OTU,i_vs_m
13,OTU_111,-0.234068673205867,4.10908454841609,-0.0485280466286755,0.491890366781752,0.652819316273911,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
14,OTU_113,1.73315878501179,3.56636408905658,0.419493435755244,0.0148246179317518,0.0466357871383414,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas palustris,initial,mid,OTU,i_vs_m
15,OTU_114,-0.323218561306806,2.91439640164897,-0.0966273079691555,0.487349018995611,0.668389288105023,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.,initial,mid,OTU,i_vs_m
16,OTU_115,-0.142536371755265,1.31947938567372,-0.0976873916381795,0.555455325193507,0.727283395089123,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
17,OTU_116,0.340581672467151,2.43770340973745,0.115349746166789,0.466875878554541,0.658873823552232,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,acetobacter spp.,initial,mid,OTU,i_vs_m
18,OTU_117,1.90384272706005,3.94469636504737,0.419945302881497,0.0221561414543473,0.0652505327969036,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,brucellaceae,ochrobactrum,ochrobactrum intermedium,initial,mid,OTU,i_vs_m
19,OTU_118,0.371158518964767,4.13701559270701,0.0738267738846964,0.495631204272679,0.653619314964088,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
20,OTU_119,0.113801957372875,4.10441274815684,0.0234882637863453,0.544264158328087,0.698968069702404,bacteria,proteobacteria,gammaproteobacteria,enterobacteriales,enterobacteriaceae,citrobacter,citrobacter werkmanii,initial,mid,OTU,i_vs_m
21,OTU_12,-2.82036449933866,3.19599728587487,-0.875515960413303,6.4153014697221e-06,7.95566575403919e-05,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,initial,mid,OTU,i_vs_m
22,OTU_120,0.549118509079373,4.01730217737417,0.116982367103471,0.445134306637864,0.606121515497847,bacteria,actinobacteria,actinobacteria,actinomycetales,nocardioidaceae,propionicimonas,propionicimonas paludicola,initial,mid,OTU,i_vs_m
23,OTU_121,0.074147707691429,4.18290445795536,0.0171128282587961,0.526494012240363,0.678828835645657,bacteria,bacteroidetes,bacteroidetes,bacteroidetes order ii. incertae sedis,rhodothermaceae,salinibacter,salinibacter spp.,initial,mid,OTU,i_vs_m
24,OTU_122,1.83488231680059,3.76784881575428,0.411972405819657,0.0164583210363818,0.0520178854427573,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
25,OTU_123,-0.908230249639326,3.94971882236513,-0.185211048916115,0.245754192383863,0.390649185951057,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,initial,mid,OTU,i_vs_m
26,OTU_125,0.962440717985785,3.96654697658574,0.205319145768219,0.20109856736125,0.344581258420432,bacteria,proteobacteria,gammaproteobacteria,xanthomonadales,sinobacteraceae,steroidobacter,steroidobacter spp.,initial,mid,OTU,i_vs_m
27,OTU_126,-0.851411628938267,4.16493125537999,-0.178441953364167,0.324960225159614,0.48570424954483,bacteria,bacteroidetes,bacteroidia,bacteroidales,prolixibacteraceae,prolixibacter,prolixibacter spp.,initial,mid,OTU,i_vs_m
28,OTU_127,-1.07133098393121,4.04039901017038,-0.23009887088488,0.16480109301053,0.308831091836135,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas sp.,initial,mid,OTU,i_vs_m
29,OTU_128,0.637324276360932,4.17522929709439,0.131842799215405,0.384725908394633,0.543243145501707,bacteria,chlorobi,chlorobia,chlorobiales,chlorobiaceae,chlorobium,chlorobium spp.,initial,mid,OTU,i_vs_m
30,OTU_129,-0.554788660308784,4.09795974251516,-0.113203342091077,0.43932207265079,0.597914813556381,bacteria,firmicutes,bacilli,lactobacillales,streptococcaceae,streptococcus,streptococcus sanguinis,initial,mid,OTU,i_vs_m
31,OTU_13,0.521966102506949,3.55549007381045,0.157029148345314,0.278109580793104,0.5019944181779,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
32,OTU_130,2.19299956477947,3.6067223063666,0.522928964786865,0.00570279663150592,0.0208300926918139,bacteria,bacteroidetes,bacteroidetes,bacteroidetes order ii. incertae sedis,rhodothermaceae,rhodothermus,rhodothermus spp.,initial,mid,OTU,i_vs_m
33,OTU_131,-0.878639765236803,3.04697461109059,-0.228837606612423,0.138311059315814,0.286276337051163,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas palustris,initial,mid,OTU,i_vs_m
34,OTU_132,1.50837810603761,3.83803577993366,0.345385608187064,0.0582303152281706,0.132931138057716,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,rhizobiales,methyloligella,methyloligella halotolerans,initial,mid,OTU,i_vs_m
35,OTU_133,-0.0145442247391117,4.09771997905051,-0.0031607372787145,0.561646113473694,0.711770658618861,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
36,OTU_134,-0.744758255158896,3.31103114726678,-0.189562611282433,0.248008427119206,0.409661199419807,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,acidovorax caeni,initial,mid,OTU,i_vs_m
37,OTU_135,1.792530617696,3.64416884969656,0.415625367431757,0.0218854320062882,0.0642692911371084,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,initial,mid,OTU,i_vs_m
38,OTU_136,0.864745984863172,2.22963948658967,0.356098079536002,0.0456122949883927,0.146279614238378,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus,initial,mid,OTU,i_vs_m
39,OTU_137,0.169628473872607,4.17841362912658,0.0334532838020143,0.536701946998513,0.689786333751255,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
40,OTU_138,0.470788800056848,4.1457184586551,0.0953501383121869,0.459097550221065,0.614242312841604,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
41,OTU_139,0.628839797516592,3.88075468934086,0.14012215306599,0.37566265589447,0.54733902492925,bacteria,proteobacteria,gammaproteobacteria,enterobacteriales,enterobacteriaceae,enterobacter,enterobacter spp.,initial,mid,OTU,i_vs_m
42,OTU_14,-0.631086983902956,1.7880446363574,-0.318473115788366,0.111506035243743,0.273685121905992,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,hyphomicrobiaceae,ancalomicrobium,ancalomicrobium spp.,initial,mid,OTU,i_vs_m
43,OTU_140,3.45131235711227,2.7522970658461,1.16405198449906,1.5531040014523e-09,3.10657130530523e-08,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,initial,mid,OTU,i_vs_m
44,OTU_141,0.0270584833485401,3.86536170625602,0.00606174098125223,0.574378068092144,0.726713491005827,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas spp.,initial,mid,OTU,i_vs_m
45,OTU_142,0.649622263988777,3.62152505749284,0.144996625173718,0.328167482047698,0.495177871422693,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,bradyrhizobium,bradyrhizobium sp.,initial,mid,OTU,i_vs_m
46,OTU_143,2.26264179874277,3.52420214837593,0.562022986800588,0.00162827223701188,0.00834255085760333,bacteria,gemmatimonadetes,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,gemmatimonas,gemmatimonas spp.,initial,mid,OTU,i_vs_m
47,OTU_144,-0.452190273764818,4.24665253254596,-0.0863408301821366,0.526834727039671,0.687168975942833,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
48,OTU_145,-0.446252561050002,4.17829151013981,-0.0888450127221743,0.478027489920895,0.634507404735163,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,acetobacter spp.,initial,mid,OTU,i_vs_m
49,OTU_146,0.562383775865336,4.09365190692444,0.118868162304386,0.435266194299021,0.593132395338306,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,hyphomicrobiaceae,ancalomicrobium,ancalomicrobium spp.,initial,mid,OTU,i_vs_m
50,OTU_147,-0.526685960180655,4.21240850488697,-0.110374093155748,0.452779106448358,0.610272663639684,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus terrae,initial,mid,OTU,i_vs_m
51,OTU_148,-1.18109924503951,3.85474452827345,-0.257547482528639,0.117821440674209,0.239248310142164,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,brucellaceae,pseudochrobactrum,pseudochrobactrum kiredjianiae,initial,mid,OTU,i_vs_m
52,OTU_149,0.147317922208916,4.12555833394409,0.0305482084126142,0.516675203007544,0.670471897169594,bacteria,bacteroidetes,bacteroidia,bacteroidales,bacteroidaceae,bacteroides,bacteroides spp.,initial,mid,OTU,i_vs_m
53,OTU_15,-1.28452637024448,2.90174027195652,-0.436426273509148,0.00629012787649074,0.032641664056293,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
54,OTU_150,-0.514851264170415,3.57075011208919,-0.119353929729497,0.417943845687827,0.577167939249937,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,hyphomicrobiaceae,ancalomicrobium,ancalomicrobium spp.,initial,mid,OTU,i_vs_m
55,OTU_151,-0.487287031686346,4.50767401573806,-0.0903254734116498,0.481703139732224,0.638654834744651,bacteria,bacteroidetes,bacteroidia,bacteroidales,prevotellaceae,prevotella,prevotella sp.,initial,mid,OTU,i_vs_m
