,OTU,aldex2_diff.btw,aldex2_diff.win,aldex2_effect,aldex2_wi.ep,aldex2_wi.eBH,kingdom,phylum,class,order,family,genus,species,aldex2_positive,aldex2_negative,taxrank,test_id
1,OTU_101,1.82141877769877,3.52111828957474,0.447019607734831,0.00925198507942256,0.0344395110205102,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
2,OTU_102,3.60180415476515,2.76163004962025,1.21538584263851,2.00505387729215e-09,4.24972442072027e-08,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,initial,mid,OTU,i_vs_m
3,OTU_105,3.12836044674533,3.24487231481889,0.878128890161902,4.99607503879109e-06,5.21023956766746e-05,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
4,OTU_113,1.73315878501179,3.56636408905658,0.419493435755244,0.0148246179317518,0.0466357871383414,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas palustris,initial,mid,OTU,i_vs_m
5,OTU_12,-2.82036449933866,3.19599728587487,-0.875515960413303,6.4153014697221e-06,7.95566575403919e-05,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,initial,mid,OTU,i_vs_m
6,OTU_130,2.19299956477947,3.6067223063666,0.522928964786865,0.00570279663150592,0.0208300926918139,bacteria,bacteroidetes,bacteroidetes,bacteroidetes order ii. incertae sedis,rhodothermaceae,rhodothermus,rhodothermus spp.,initial,mid,OTU,i_vs_m
7,OTU_140,3.45131235711227,2.7522970658461,1.16405198449906,1.5531040014523e-09,3.10657130530523e-08,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,initial,mid,OTU,i_vs_m
8,OTU_143,2.26264179874277,3.52420214837593,0.562022986800588,0.00162827223701188,0.00834255085760333,bacteria,gemmatimonadetes,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,gemmatimonas,gemmatimonas spp.,initial,mid,OTU,i_vs_m
9,OTU_15,-1.28452637024448,2.90174027195652,-0.436426273509148,0.00629012787649074,0.032641664056293,bacteria,spirochaetes,spirochaetia,spirochaetales,spirochaetaceae,spirochaeta,spirochaeta spp.,initial,mid,OTU,i_vs_m
10,OTU_16,2.56042842505319,2.30839464498954,1.01843366427635,2.29910209477109e-07,3.633090110979e-06,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus tenuis,initial,mid,OTU,i_vs_m
11,OTU_164,3.64581066576928,3.18528543115784,1.0602827531865,2.94828434855082e-08,4.779645774333e-07,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,initial,mid,OTU,i_vs_m
12,OTU_18,3.13532952063572,4.03766783515578,0.701103574564935,0.000232385365921,0.00176215268548052,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas veronii,initial,mid,OTU,i_vs_m
13,OTU_196,2.03357241152547,1.08849993253526,1.81102967120589,8.19146403045781e-13,3.97662070227336e-11,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,brucellaceae,ochrobactrum,ochrobactrum anthropi,initial,mid,OTU,i_vs_m
14,OTU_20,1.49603446892639,2.59218113573751,0.516097915449715,0.00223349082380464,0.0129536060809239,bacteria,actinobacteria,actinobacteria,actinomycetales,nocardioidaceae,propionicimonas,propionicimonas paludicola,initial,mid,OTU,i_vs_m
15,OTU_213,2.76863685434842,2.70386024231613,0.937178904936137,2.59119270472976e-07,3.97585789635781e-06,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus,initial,mid,OTU,i_vs_m
16,OTU_215,4.18106877526447,1.95268538100492,2.01370804659396,1.559572336645e-14,1.20920930141766e-12,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,initial,mid,OTU,i_vs_m
17,OTU_22,-3.65104082802539,3.7890584735385,-0.892363339280199,1.8395226488582e-06,2.35341466361113e-05,bacteria,firmicutes,clostridia,clostridiales,ruminococcaceae,ruminococcus,ruminococcus spp.,initial,mid,OTU,i_vs_m
18,OTU_223,4.42757335240482,3.20551253010486,1.30564986639419,4.44449312175793e-10,1.02714989356108e-08,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,initial,mid,OTU,i_vs_m
