,OTU,ancom_beta,ancom_se,ancom_W,ancom_p_val,ancom_q_val,ancom_diff_abn,kingdom,phylum,class,order,family,genus,species,ancom_positive,ancom_negative,taxrank,test_id
1,OTU_101,0.507111631738422,0.133326439543906,3.80353389375125,0.000142646466074769,0.0483571519993468,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,recovering,early,OTU,early_vs_recovering
2,OTU_102,1.75469143356482,0.179668343383668,9.76628047278095,1.5711456769701e-22,6.37885144849861e-20,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,recovering,early,OTU,early_vs_recovering
3,OTU_105,1.04612092985669,0.139397155863609,7.50460741738699,6.16129697995697e-14,2.433712307083e-11,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,recovering,early,OTU,early_vs_recovering
4,OTU_109,-0.651695080907732,0.125089076457207,-5.20984804880767,1.88995352593007e-07,7.06842618697848e-05,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,recovering,early,OTU,early_vs_recovering
5,OTU_12,-1.96588235435789,0.363590017069496,-5.4068655960434,6.41372350168673e-08,2.4179737601359e-05,TRUE,bacteria,bacteroidetes,bacteroidia,bacteroidales,porphyromonadaceae,paludibacter,paludibacter propionicigenes,recovering,early,OTU,early_vs_recovering
6,OTU_123,-0.399488455825417,0.101815088092235,-3.92366655385612,8.72114233181464e-05,0.0301751524680786,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodopseudomonas,rhodopseudomonas pangongensis,recovering,early,OTU,early_vs_recovering
7,OTU_130,0.541387250065991,0.108709511899594,4.98012768713401,6.35423349495861e-07,0.000237012909361956,TRUE,bacteria,bacteroidetes,bacteroidetes,bacteroidetes order ii. incertae sedis,rhodothermaceae,rhodothermus,rhodothermus spp.,recovering,early,OTU,early_vs_recovering
8,OTU_140,1.58057074716273,0.147103544506128,10.7446136153224,6.28244184262712e-27,2.56951871363449e-24,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
9,OTU_143,0.63505741720159,0.11866338075659,5.35175563979812,8.71049724941213e-08,3.26643646852955e-05,TRUE,bacteria,gemmatimonadetes,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,gemmatimonas,gemmatimonas spp.,recovering,early,OTU,early_vs_recovering
10,OTU_16,1.55622496292806,0.259412701700554,5.99903147658687,1.98497882059421e-09,7.62231867108178e-07,TRUE,bacteria,proteobacteria,betaproteobacteria,rhodocyclales,rhodocyclaceae,rhodocyclus,rhodocyclus tenuis,recovering,early,OTU,early_vs_recovering
11,OTU_163,-0.00470279485309727,0.08588327012435,-0.0547579854177433,0,0,TRUE,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,recovering,early,OTU,early_vs_recovering
12,OTU_164,1.39683781387454,0.151633222719603,9.21195097500199,3.20250358211597e-20,1.29381144717485e-17,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
13,OTU_165,-0.484186394348018,0.117002678042964,-4.13825052936158,3.4996411755743e-05,0.012388729761533,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,acetobacter spp.,recovering,early,OTU,early_vs_recovering
14,OTU_169,-0.378408213757425,0.0922130686913617,-4.10362890127821,4.06719674021601e-05,0.0143572044929625,TRUE,bacteria,bacteroidetes,sphingobacteriia,sphingobacteriales,sphingobacteriaceae,sphingobacterium,sphingobacterium spp.,recovering,early,OTU,early_vs_recovering
15,OTU_18,0.980482127916176,0.202931953074487,4.83158079869407,1.35453225806308e-06,0.000501176935483341,TRUE,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas veronii,recovering,early,OTU,early_vs_recovering
16,OTU_191,-0.517465275802539,0.130701874239895,-3.95912666755461,7.52243343567381e-05,0.0261780683561449,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
17,OTU_196,1.32602539443466,0.112119345061631,11.826909920904,2.8338305156778e-32,1.16753817245925e-29,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,brucellaceae,ochrobactrum,ochrobactrum anthropi,recovering,early,OTU,early_vs_recovering
18,OTU_213,1.53822185471997,0.242490815006281,6.34342317122456,2.24715062061094e-10,8.69647290176435e-08,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus,recovering,early,OTU,early_vs_recovering
19,OTU_215,2.65745916652468,0.213325397201905,12.4573032624404,1.27613281404881e-35,5.2704285220216e-33,TRUE,bacteria,firmicutes,clostridia,clostridiales,eubacteriaceae,eubacterium,eubacterium sp.,recovering,early,OTU,early_vs_recovering
20,OTU_22,-1.94877422845833,0.300179376017129,-6.49203237849067,8.46860511907145e-11,3.29428739131879e-08,TRUE,bacteria,firmicutes,clostridia,clostridiales,ruminococcaceae,ruminococcus,ruminococcus spp.,recovering,early,OTU,early_vs_recovering
21,OTU_223,1.90729546269418,0.173127385159462,11.0167173202404,3.17424851935892e-28,1.30144189293716e-25,TRUE,bacteria,verrucomicrobia,opitutae,opitutales,opitutaceae,opitutus,opitutus spp.,recovering,early,OTU,early_vs_recovering
22,OTU_237,0.0375515239418301,0.081887725049013,0.458573295562357,0,0,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,methylocystaceae,pleomorphomonas,pleomorphomonas oryzae,recovering,early,OTU,early_vs_recovering
23,OTU_24,-0.739582328393655,0.187585883027283,-3.94263318997246,8.05918674296673e-05,0.0279653779980945,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,afipia,afipia sp.,recovering,early,OTU,early_vs_recovering
24,OTU_25,2.49761187490362,0.221645847019288,11.2684803640209,1.87782841824905e-29,7.71787479900361e-27,TRUE,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,rhodospirillaceae,nitrospirillum,azospirillum amazonense,recovering,early,OTU,early_vs_recovering
25,OTU_251,2.09465607179159,0.152461906612531,13.7388815234679,5.93861289505569e-43,2.47046296434317e-40,TRUE,bacteria,bacteroidetes,cytophagia,cytophagales,cytophagaceae,cytophaga,cytophaga spp.,recovering,early,OTU,early_vs_recovering
