otu name,sC0C,s1C3A,s1C3B,s1G3A,s1G3B,s1G3C,s1M3A,s1M3B,s1M3C,s1M5C,s1C5A,s1C5B,s1G5A,s1G5B,s1G5C,s1M5A,s1M5B,s1C7A,s1C7B,s1G7A,s1G7B,s1G7C,s1M7A,s1M7B,s1M7C,s1C10A,s1C10B,s1G10A,s1G10B,s1G10C,s1M10A,s1M10B,s1M10C,s2C3A,s2C3B,s2G3A,s2G3B,s2G3C,s2M3A,s2M3B,s2M3C,s2C5A,s2C5B,s2G5A,s2G5B,s2G5C,s2M5A,s2M5B,s2G7A,s2G7B,s2G7C,s2M7A,s2M7B,s2C10A,s2C10B,s2G10A,s2G10B,s2G10C,s2M10B,s1C20B,s1C20A,s3G3A,s3G3B,s3G3C,s3M3A,s3M3B,s3M3C,s3G5A,s3G5B,s3G5C,s3M5A,s3M5B,s3M5C,s3G7A,s3G7B,s3G7C,s3M7A,s3M7B,s3M7C,s3M10A,s3M10B,s3M10C,s3G10A,s3G10B,s2M10A,s2M10C
OTU_1,6,11,13,20,18,30,59,94,36,89,30,15,16,7,15,82,88,23,25,12,12,4,38,34,52,5,8,7,10,13,69,63,77,42,39,12,16,19,38,31,31,3,22,45,23,30,33,18,5,4,8,28,23,0,1,1,3,2,38,0,0,32,30,46,6,27,45,1,14,10,9,6,9,6,3,1,2,4,11,19,25,22,16,16,5,4
OTU_2,17546,18302,32674,9700,4428,12766,1179,2121,1224,2216,15446,22216,6927,9794,10329,2054,1681,25011,21224,5375,5177,3760,945,742,2023,13067,13340,3191,5961,6060,2633,2345,2937,16708,15848,26573,25968,35296,21662,26784,20862,10566,24878,13480,17081,21216,17399,24527,19921,19616,18845,25233,14729,14849,14128,12561,11609,7390,10692,12902,6896,7112,6869,8322,13093,10139,7693,9792,21106,39348,23763,25159,15111,24470,34872,33561,22189,11996,31216,17838,12257,19679,16779,15614,42046,56298
OTU_3,3169,3033,4495,3455,2142,2717,756,1293,714,530,3138,4601,1522,2083,1888,715,937,3633,1919,2399,3849,1881,254,247,549,2952,2110,1502,1202,2636,1464,1495,1298,1552,1328,3331,3828,7116,1334,1432,1115,597,1315,1729,2759,2600,861,925,3918,6140,3456,1064,830,2426,1821,4906,7547,3593,1001,7783,5739,424,610,599,801,639,414,993,2016,1433,1514,1250,1272,3008,1979,2067,2374,1785,1073,4207,1275,2274,4900,2027,3192,2086
OTU_4,5243,3526,4658,29020,18697,29632,3724,5802,3281,6647,2475,5861,65195,58453,62564,8444,9214,5526,3808,35675,42014,39716,1417,1296,3601,4545,4121,12377,14378,29203,5878,4658,5997,12612,6432,23539,28539,28814,14278,20531,15602,5007,15282,10011,10033,19739,14969,17724,27367,27639,34537,18452,15174,16938,16987,23663,17761,16951,9510,7429,4551,8560,7179,6226,4660,7512,4111,10400,21570,21360,19999,29446,7436,27375,29348,27454,13616,24846,17928,19104,11308,11368,26958,15939,30080,23869
OTU_5,3809,1128,1313,1001,758,999,608,736,360,309,1989,3024,1261,1350,1164,349,429,2419,1540,1871,1257,1666,233,181,302,1956,869,4174,2493,4494,1177,611,815,943,798,7699,3374,8384,4546,7792,7484,1123,2027,3468,9138,4099,7470,8590,6341,6504,5272,7619,5866,3723,4327,3236,10467,1954,4654,3031,2546,1086,923,1287,48631,12606,12295,2062,3568,2621,56349,20805,41872,7346,3789,4428,29340,12847,17129,22577,7156,26149,9243,2211,13865,5190
OTU_6,9546,13226,18642,22919,17614,26890,81683,91515,55775,92462,23944,15878,8393,11258,12172,95217,97059,20226,27774,10890,8694,3606,32920,37103,60037,5608,6964,9008,9736,12267,90129,66115,92018,44735,56886,15430,12867,19928,50067,34742,34250,3899,14414,40673,26589,40337,36904,17860,5712,3832,4371,22157,18438,970,1081,2596,1446,1106,39492,1535,5674,40081,44125,58103,2578,31297,47813,965,8503,5516,9500,3636,5900,3122,3349,3948,3831,3184,11193,17951,26464,27195,17786,31737,3955,3747
OTU_7,1830,13726,26926,19167,16826,10141,574,536,342,243,6587,22043,512,1029,2274,351,389,4882,2085,486,637,358,130,83,217,1844,1778,149,328,380,363,238,418,3335,7702,1351,353,582,4952,10747,7401,2300,5697,288,301,417,12759,18478,481,307,377,11669,5732,6958,8323,257,265,160,966,2000,876,2672,4127,5853,3057,5686,16845,1875,5312,5827,11210,10393,3859,5316,4719,6523,5505,11878,13053,4030,4011,4750,4546,716,3135,9704
OTU_8,1913,786,1695,941,373,487,482,639,557,254,1043,2645,639,744,770,298,266,3758,3092,1280,2027,1555,87,165,250,8430,8731,497,828,2950,330,882,659,6255,5182,1184,1731,952,227,328,264,4020,11625,2872,3564,2986,406,1167,20216,21711,26394,836,992,27890,48458,41225,22831,21004,5120,19404,8495,2689,1299,2436,976,297,278,12711,23268,35308,3780,9532,8579,66777,35764,36097,6744,19340,17546,8331,15479,16778,68697,35174,3728,1787
OTU_9,321,282,357,202,204,220,302,388,224,242,14705,11055,135,134,142,240,278,23966,32521,121,91,80,112,94,143,4856,5427,53,88,101,234,189,247,21535,14501,495,266,2622,191,169,331,7687,39936,18417,42580,22087,336,368,19269,33186,25329,4305,38514,511,401,1157,701,1289,18717,398,351,4036,4714,4185,1492,6159,2470,789,4424,6726,3743,22806,11157,2787,2274,5581,9924,1058,21067,6274,418,1620,319,473,70,65
OTU_10,1329,288,856,143,363,822,294,228,256,285,272,4432,427,315,371,418,292,290,141,76,430,352,65,338,1137,1410,1309,141,391,725,1242,5626,4150,1804,1410,223,1031,323,189,1324,78,274,5056,260,718,452,240,601,2424,2305,4938,793,1050,3900,1942,13432,12877,8319,655,1895,1704,682,156,516,293,74,72,3203,842,4900,12608,8931,2548,5855,3639,2839,5341,18078,11496,12691,5939,7273,4891,5905,3615,1250
