sampleID,group,series,carbon,transfer,day,replicate
sC0C,C0C,C0C,C,C0C,C0C,C0C
s1C3A,g1C,sC,C,t1,d3,rA
s1C3B,g1C,sC,C,t1,d3,rB
s1C5A,g1C,sC,C,t1,d5,rA
s1C5B,g1C,sC,C,t1,d5,rB
s1C7A,g1C,sC,C,t1,d7,rA
s1C7B,g1C,sC,C,t1,d7,rB
s1C10A,g1C,sC,C,t1,d10,rA
s1C10B,g1C,sC,C,t1,d10,rB
s1C20B,g1C,sC,C,t1,d20,rB
s1C20A,g1C,sC,C,t1,d20,rA
s2C3A,g2C,sC,C,t2,d3,rA
s2C3B,g2C,sC,C,t2,d3,rB
s2C5A,g2C,sC,C,t2,d5,rA
s2C5B,g2C,sC,C,t2,d5,rB
s2C10A,g2C,sC,C,t2,d10,rA
s2C10B,g2C,sC,C,t2,d10,rB
s1M3A,g1M,sM,M,t1,d3,rA
s1M3B,g1M,sM,M,t1,d3,rB
s1M3C,g1M,sM,M,t1,d3,rC
s1M5C,g1M,sM,M,t1,d5,rC
s1M5A,g1M,sM,M,t1,d5,rA
s1M5B,g1M,sM,M,t1,d5,rB
s1M7A,g1M,sM,M,t1,d7,rA
s1M7B,g1M,sM,M,t1,d7,rB
s1M7C,g1M,sM,M,t1,d7,rC
s1M10A,g1M,sM,M,t1,d10,rA
s1M10B,g1M,sM,M,t1,d10,rB
s1M10C,g1M,sM,M,t1,d10,rC
s2M3A,g2M,sM,C,t2,d3,rA
s2M3B,g2M,sM,C,t2,d3,rB
s2M3C,g2M,sM,C,t2,d3,rC
s2M5A,g2M,sM,C,t2,d5,rA
s2M5B,g2M,sM,C,t2,d5,rB
s2M7A,g2M,sM,C,t2,d7,rA
s2M7B,g2M,sM,C,t2,d7,rB
s2M10B,g2M,sM,C,t2,d10,rB
s2M10A,g2M,sM,C,t2,d10,rA
s2M10C,g2M,sM,C,t2,d10,rC
s3M3A,g3M,sM,C,t3,d3,rA
s3M3B,g3M,sM,C,t3,d3,rB
s3M3C,g3M,sM,C,t3,d3,rC
s3M5A,g3M,sM,C,t3,d5,rA
s3M5B,g3M,sM,C,t3,d5,rB
s3M5C,g3M,sM,C,t3,d5,rC
s3M7A,g3M,sM,C,t3,d7,rA
s3M7B,g3M,sM,C,t3,d7,rB
s3M7C,g3M,sM,C,t3,d7,rC
s3M10A,g3M,sM,C,t3,d10,rA
s3M10B,g3M,sM,C,t3,d10,rB
s3M10C,g3M,sM,C,t3,d10,rC
s1G3A,g1G,sG,G,t1,d3,rA
s1G3B,g1G,sG,G,t1,d3,rB
s1G3C,g1G,sG,G,t1,d3,rC
s1G5A,g1G,sG,G,t1,d5,rA
s1G5B,g1G,sG,G,t1,d5,rB
s1G5C,g1G,sG,G,t1,d5,rC
s1G7A,g1G,sG,G,t1,d7,rA
s1G7B,g1G,sG,G,t1,d7,rB
s1G7C,g1G,sG,G,t1,d7,rC
s1G10A,g1G,sG,G,t1,d10,rA
s1G10B,g1G,sG,G,t1,d10,rB
s1G10C,g1G,sG,G,t1,d10,rC
s2G3A,g2G,sG,C,t2,d3,rA
s2G3B,g2G,sG,C,t2,d3,rB
s2G3C,g2G,sG,C,t2,d3,rC
s2G5A,g2G,sG,C,t2,d5,rA
s2G5B,g2G,sG,C,t2,d5,rB
s2G5C,g2G,sG,C,t2,d5,rC
s2G7A,g2G,sG,C,t2,d7,rA
s2G7B,g2G,sG,C,t2,d7,rB
s2G7C,g2G,sG,C,t2,d7,rC
s2G10A,g2G,sG,C,t2,d10,rA
s2G10B,g2G,sG,C,t2,d10,rB
s2G10C,g2G,sG,C,t2,d10,rC
s3G3A,g3G,sG,C,t3,d3,rA
s3G3B,g3G,sG,C,t3,d3,rB
s3G3C,g3G,sG,C,t3,d3,rC
s3G5A,g3G,sG,C,t3,d5,rA
s3G5B,g3G,sG,C,t3,d5,rB
s3G5C,g3G,sG,C,t3,d5,rC
s3G7A,g3G,sG,C,t3,d7,rA
s3G7B,g3G,sG,C,t3,d7,rB
s3G7C,g3G,sG,C,t3,d7,rC
s3G10A,g3G,sG,C,t3,d10,rA
s3G10B,g3G,sG,C,t3,d10,rB
