,ace,chao1,chao1_ci,shannon,simpson,simpson_e,faith_pd,group
C0C,14.397470441737712,14.0,"(14, 14)",3.333583252566041,0.8725062755978332,0.5602516654330126,0.7609545000000002,C0C
1C3A,15.37123745819398,18.0,"(12.946782268400106, 50.02352578997235)",2.8366133190926743,0.8195934856710011,0.4619197574061115,0.7471485000000002,1C
1C3B,15.755102040816327,18.0,"(12.946782268400106, 50.02352578997235)",2.7609176496417636,0.805201363464209,0.4277921797364441,0.7471485000000002,1C
1G3A,9.606413994169095,9.0,"(9, 9)",2.5591116926786164,0.7918388429752066,0.5337744692583402,0.6894175,1G
1G3B,13.25314150427973,12.0,"(11.093649057398883, 21.678164071002378)",2.6005198319437075,0.7891358024691358,0.43112625079838196,0.7427615000000001,1G
1G3C,9.7935,9.0,"(9, 9)",2.4565748342459397,0.7701446280991735,0.48339575530586765,0.6894175,1G
1M3A,12.448979591836736,8.5,"(7.149231194294946, 22.077276641993677)",1.0621965832055418,0.323960302457467,0.21131472512108654,0.4754725,1M
1M3B,25.704,24.0,"(12.306757065152507, 77.04249467585942)",1.1158036864457512,0.31373022581813803,0.161905879132696,0.7650935000000001,1M
1M3C,16.723684210526315,11.0,"(8.391329968378809, 30.998494179438833)",1.2347031409272013,0.3762830576017391,0.20041142303969028,0.7348035,1M
1M5C,4.9375,4.0,"(4, 4)",0.5771756012398293,0.17944271013990065,0.3046709877412992,0.32810150000000005,1M
1C5A,11.503657434042903,11.0,"(11, 11)",2.7283748915287993,0.8022195798652398,0.4596465658589908,0.6895555,1C
1C5B,16.991122099230207,16.0,"(15.093649057398883, 25.678164071002378)",3.353497904496798,0.8756084369929692,0.5359420289855072,0.9466835,1C
1G5A,14.878892733564012,11.0,"(8.391329968378809, 30.998494179438833)",1.3014122966397093,0.39728395061728394,0.2073945104465383,0.8140645000000002,1G
1G5B,15.0625,9.75,"(9.066559447515466, 17.45109178331596)",1.6710271734714681,0.5179584120982986,0.2305010893246187,0.8378405,1G
1G5C,20.075630252100837,11.0,"(9.249903382590167, 25.00618590489368)",1.6505000407606354,0.5197439922714648,0.23135808677674405,0.8378405,1G
1M5A,13.857142857142858,8.0,"(5.369121767830802, 29.38219792045809)",0.6434451209147729,0.19943289224952743,0.2498229043683589,0.3649235,1M
1M5B,5.032921810699588,4.0,"(4, 4)",0.6217059904799902,0.19919659735349726,0.3121864856889938,0.32810150000000005,1M
1C7A,13.0,13.0,"(13, 13.234693162840694)",3.019361685295231,0.8340740740740741,0.46359890109890106,0.7606195,1C
1C7B,20.971153846153847,19.5,"(13.322539847956614, 54.53179976914033)",2.4291704916783523,0.7549213898797728,0.3400269541778976,0.7349775000000001,1C
1G7A,12.80411555203799,11.0,"(10.093649057398883, 20.678164071002378)",2.042532232170338,0.6229629629629632,0.26522593320235766,0.9023995,1G
1G7B,10.36,9.333333333333334,"(9.018627311514582, 14.964956941002143)",1.894190834760335,0.571604938271605,0.25936599423631124,0.8531755000000001,1G
1G7C,10.105229993698803,9.333333333333334,"(9.018627311514582, 14.964956941002143)",1.5989545370286387,0.46105542808839517,0.20616426419697764,0.8531755000000001,1G
1M7A,5.5,5.0,"(5, 5)",0.6525304711546325,0.18524332810047095,0.24547206165703278,0.3649235,1M
1M7B,4.6,4.0,"(4, 4)",0.4429787342467531,0.12452741020793945,0.2855600539811066,0.32810150000000005,1M
1M7C,10.562499999999998,7.5,"(6.149231194294946, 21.077276641993677)",0.6748769826224014,0.18716049382716038,0.20504252733900363,0.6377175,1M
1C10A,17.5925035932447,17.0,"(16.093649057398885, 26.678164071002378)",3.5555254610324742,0.8954947813449597,0.5980562579013906,0.9567995,1C
1C10B,16.988740323715692,15.75,"(15.066559447515466, 23.45109178331596)",3.461572594466304,0.8915312458713172,0.6146163215590743,0.7744255000000002,1C
1G10A,9.47676611796982,9.0,"(9, 9)",2.584065877436802,0.7879012345679013,0.5238649592549476,0.6784655000000002,1G
1G10B,12.601165543616828,11.5,"(10.149231194294945, 25.077276641993677)",2.496591456485297,0.7673404676971859,0.42981260647359454,0.7115275000000001,1G
1G10C,10.359963362507633,10.0,"(10, 10)",2.5914421899736997,0.7605100366115389,0.417554032683184,0.7115275000000001,1G
1M10A,26.363636363636363,17.5,"(11.322539847956614, 52.53179976914033)",1.4308581455829454,0.423861852433281,0.17356948228882835,0.8438885,1M
1M10B,14.22491349480969,12.2,"(11.138909397299598, 21.366469281370655)",1.5018772297504475,0.40469135802469125,0.15270917386222235,0.8886225000000001,1M
1M10C,18.470588235294116,18.5,"(12.322539847956614, 53.53179976914033)",1.327937851159485,0.3511653181982851,0.1401113310661049,0.8886225000000001,1M
2C3A,11.4,9.333333333333334,"(9.018627311514582, 14.964956941002143)",2.3907733106496063,0.7504293830096446,0.44520910534674424,0.5617555000000001,2C
2C3B,12.601165543616828,11.5,"(10.149231194294945, 25.077276641993677)",2.292850697583808,0.6888019189496275,0.321338742393509,0.5995365000000001,2C
2G3A,10.701939058171746,9.5,"(9.030262059763976, 17.261169330502646)",2.481108595568881,0.7802469135802469,0.5056179775280899,0.6345015,2G
2G3B,10.77174515235457,10.0,"(9.071671398865035, 22.95256707467213)",2.4447891810798925,0.7687477357807029,0.4804757760371338,0.6448025000000002,2G
2G3C,8.0,8.0,"(8, 8.021401325261929)",2.5203183658857418,0.7880318141648782,0.5897111375818941,0.6468465000000001,2G
2M3A,9.436363636363637,8.5,"(8.030262059763976, 16.261169330502646)",2.039353670833817,0.6711749788672865,0.3801413881748072,0.6139065000000001,2M
2M3B,13.347841923146968,10.5,"(9.149231194294945, 24.077276641993677)",2.425740822353202,0.774902158818331,0.49361251324235056,0.6456755000000001,2M
2M3C,10.63213296398892,9.5,"(9.030262059763976, 17.261169330502646)",2.443249389363936,0.7663325685303707,0.47550961814527704,0.6469685000000001,2M
2C5A,11.589642986337202,11.0,"(11, 11)",2.92777351482944,0.836570220636808,0.5562578084809289,0.6561825000000001,2C
2C5B,13.473170731707317,12.333333333333334,"(12.018627311514582, 17.964956941002143)",2.9160077857717,0.824229313142239,0.4741025641025641,0.8119565,2C
2G5A,14.283919140411584,11.5,"(10.149231194294945, 25.077276641993677)",2.3885157771458876,0.7367756596389345,0.37990407673860915,0.6919365000000001,2G
2G5B,9.577907353417556,9.0,"(9, 9)",2.4884610201350825,0.7708622648655473,0.4849097030915213,0.6512335,2G
2G5C,9.454545454545455,9.0,"(9, 9)",2.5251001307532004,0.7868614901581934,0.5213094113943972,0.6512335,2G
2M5A,11.011834319526628,9.5,"(9.030262059763976, 17.261169330502646)",2.5142760099882135,0.7777777777777778,0.5,0.6470395000000001,2M
2M5B,16.025,10.5,"(9.149231194294945, 24.077276641993677)",2.542345940564365,0.8044438833480622,0.5681801879348685,0.6372735,2M
2G7A,12.213333333333333,11.5,"(11.030262059763976, 19.261169330502646)",2.9315325886679338,0.84349173553719,0.5808580858085809,0.6956265000000001,2G
2G7B,11.920727745289149,11.5,"(11.030262059763976, 19.261169330502646)",2.8919163825473135,0.8355132778438367,0.552683461117196,0.6956265000000001,2G
2G7C,13.16179337231969,12.25,"(12.01303814351709, 16.793627245940264)",2.918887376502356,0.8339359504132231,0.5018144116122344,0.8780005000000002,2G
2M7A,12.441300039635355,11.5,"(11.030262059763976, 19.261169330502646)",2.883674916393968,0.8339359504132231,0.547433903576983,0.7259425000000002,2M
2M7B,12.0,11.25,"(11.01303814351709, 15.793627245940263)",2.688432473418435,0.790857444840798,0.4346752426348131,0.7259425000000002,2M
2C10A,15.319999999999999,13.75,"(13.066559447515466, 21.45109178331596)",2.898440715045779,0.8171487603305785,0.4206866579747936,0.9325575000000002,2C
2C10B,16.14202971543692,15.0,"(12.391329968378809, 34.998494179438836)",2.5411535617316976,0.7362706728948365,0.315980532950375,0.9069155,2C
