,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
opitutus spp.,peripheral_node,0.0,-1.433062683344524,1,1,0.0,0.02142362185436685,0.04376314626563145,0
paludibacter propionicigenes,connector_node,0.058867209223339205,0.31898088913156,6,8,1.0,9.598559364523466e-05,0.23917961216592024,1
magnetospirillum sp.,connector_node,0.0,-1.118033988749895,1,1,1.0,1.0259064169546245e-17,0.3417873050887716,4
rhodopseudomonas palustris,connector_node,0.014324185478402774,-0.8845379626717031,1,2,1.0,1.2668523019244563e-05,-0.43494997062656077,3
acetobacter spp.,connector_node,0.16281172910487646,-0.0996815278536125,5,10,1.0,0.0001049513914937283,0.07870830854114534,1
bacteroides spp.,connector_node,0.019508217412241003,-1.6192902627322676,1,3,1.0,7.88090949907446e-05,0.0012434417887460974,2
pleomorphomonas oryzae,connector_node,0.00018243543372041372,-0.518343944838785,4,4,1.0,0.0005048271852494986,0.09737746059990902,1
afipia sp.,connector_node,0.02404093778369902,-0.518343944838785,4,5,1.0,8.257692054058254e-05,0.28475973234449525,1
rhodoblastus acidophilus,connector_node,0.0,0,4,4,1.0,-4.4034474624014185e-18,-0.7276444319682244,6
spirochaeta spp.,connector_node,0.016798794200279063,-0.4439989430072347,6,7,1.0,4.591121861879055e-05,0.09036546074406315,2
citrobacter werkmanii,connector_node,0.0005711022272986865,1.118033988749895,3,3,1.0,5.545335546355154e-18,-0.15814736802528653,4
pontibacter spp.,connector_node,0.0686542477599768,1.99363055707225,10,10,1.0,0.0008749997886523316,-0.04834920766618765,1
pontibacter sp.,connector_node,0.04450400443934413,1.156305723101905,8,9,1.0,0.0005999643203640541,0.07732213816000266,1
ruminococcus spp.,connector_node,0.0,-1.6192902627322676,1,1,1.0,3.999185625760755e-06,0.38619553756961894,2
eubacterium sp.,peripheral_node,0.03896306422492805,1.288146232219797,14,14,0.0,0.29972747344208095,0.003320610030266265,0
ancalomicrobium spp.,connector_node,0.07527819479936503,1.156305723101905,8,8,1.0,0.00021466185536651468,0.3032251395900256,1
rhodocyclus tenuis,connector_node,0.0593153708525586,-0.9370063618239575,3,4,1.0,0.002884723672952646,-0.2107003374050359,1
escherichia spp.,connector_node,0.0005711022272986865,1.118033988749895,3,3,1.0,-2.1012843462325213e-17,0.13627164118949783,4
rhodoplanes elegans,connector_node,0.01656196459166191,0.026117584882778416,8,8,1.0,4.9022708794161506e-05,-0.1303344238277156,2
propionicimonas paludicola,connector_node,0.00019389757396610623,-0.8845379626717031,1,2,0.75,0.03279577011134782,0.47844205111475296,3
rhodopseudomonas spp.,connector_node,0.0,-0.8845379626717031,1,1,1.0,0.0007034922096675688,-0.05083828530012906,3
pleomorphomonas spp.,connector_node,0.29713240981114103,1.156305723101905,8,9,1.0,0.003814265948308977,-0.19015426751336495,1
caulobacter spp.,peripheral_node,0.06268321833636883,0.8694987067483629,12,12,0.0,0.2359817356442181,0.03735372394281363,0
opitutus terrae,connector_node,0.0,0,2,2,1.0,2.273377150975281e-18,-0.007813062363187111,9
barnesiella viscericola,connector_node,0.008731643871305232,0.7376433061167325,7,7,1.0,0.000576449287296086,-0.019737497900086335,1
pontibacter salisaro,connector_node,0.0,-0.518343944838785,4,4,1.0,0.00020300259022809058,-0.17615150171252622,1
phaeospirillum sp.,connector_node,0.0,0,1,1,1.0,2.125520706617574e-18,-0.5068083379149213,10
rhodopseudomonas pangongensis,peripheral_node,0.016720005035093913,0.8694987067483629,12,12,0.0,0.2694285665093604,0.044142589804515096,0
prolixibacter spp.,connector_node,0.08280018858086859,2.1092828340632925,5,7,0.9795918367346939,0.02809776955620577,0.17812424672873214,3
cloacibacterium normanense,connector_node,0.025691608355936008,0.9663506406628046,12,14,1.0,9.22875945092241e-05,-0.0856596969298956,2
pleomorphomonas sp.,connector_node,0.2813468563821284,-0.8845379626717031,1,4,0.75,0.03682471142408883,-0.0765451289187426,3
citrobacter spp.,connector_node,0.0,0.0,2,2,1.0,8.270867351038674e-18,-0.11928842410796157,4
