,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,rhodopseudomonas pangongensis,enterobacter spp.,cloacibacterium normanense,clostridium sp.,pleomorphomonas sp.,bradyrhizobium sp.,fibrobacter spp.,chlorobium spp.,desulfovibrio desulfuricans,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,rhodocyclus spp.,clostridium spp.,acinetobacter junii,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,pseudomonas veronii,stenotrophomonas spp.,zoogloea sp.,rhizobium straminoryzae,pontibacter korlensis,bacteroides fragilis,sphingobium yanoikuyae,rhodothermus spp.,rhodovibrio sodomensis,rhizobium sp.,gemmatimonas spp.,bacteroides caccae,citrobacter sp.,pseudochrobactrum kiredjianiae,steroidobacter spp.,salinibacter spp.,streptococcus sanguinis,porphyromonas spp.,sphingobacterium spp.,hartmannibacter stappia sp.,aquabacterium spp.,staphylococcus aureus,roseburia spp.,paenibacillus spp.,elizabethkingia meningoseptica,methylopila sp.,acinetobacter lwoffii,parabacteroides spp.,aeromonas spp.,corynebacterium tuberculostearicum,bacillus thermoamylovorans
paludibacter propionicigenes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magnetospirillum sp.,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhodopseudomonas palustris,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acetobacter spp.,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteroides spp.,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afipia sp.,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhodoblastus acidophilus,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spirochaeta spp.,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citrobacter werkmanii,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pontibacter spp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
