,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
opitutus spp.,-0.21747850336007174,1,0.0,0,-1.433062683344524,0.0,0.021423621854366828,1,peripheral_node
paludibacter propionicigenes,-0.04016443158195756,6,0.058867209223339205,1,0.31898088913156,1.0,9.598559364474283e-05,8,connector_node
magnetospirillum sp.,0.36903834877707814,1,0.0,4,-1.118033988749895,1.0,1.4880454065348782e-17,1,connector_node
rhodopseudomonas palustris,0.5844239182147463,1,0.014324185478402774,3,-0.8845379626717031,1.0,1.2668523019272939e-05,2,connector_node
acetobacter spp.,0.022212416258857413,5,0.16281172910487646,1,-0.0996815278536125,1.0,0.00010495139149294556,10,connector_node
bacteroides spp.,0.314009099522293,1,0.019508217412241003,2,-1.6192902627322676,1.0,7.880909499083698e-05,3,connector_node
pleomorphomonas oryzae,-0.21112785783654797,4,0.00018243543372041372,1,-0.518343944838785,1.0,0.0005048271852496402,4,connector_node
afipia sp.,-0.12276492002829213,4,0.02404093778369902,1,-0.518343944838785,1.0,8.257692054064518e-05,5,connector_node
rhodoblastus acidophilus,-0.7032760039892747,4,0.0,6,0,1.0,8.892752360591342e-18,4,connector_node
spirochaeta spp.,0.03158463292886435,6,0.016798794200279063,2,-0.4439989430072347,1.0,4.591121861783607e-05,7,connector_node
citrobacter werkmanii,0.1607101238250844,3,0.0005711022272986865,4,1.118033988749895,1.0,-1.8745697504373504e-17,3,connector_node
pontibacter spp.,-0.113763237168729,10,0.0686542477599768,1,1.99363055707225,1.0,0.000874999788652722,10,connector_node
pontibacter sp.,-0.001888741447723793,8,0.04450400443934413,1,1.156305723101905,1.0,0.0005999643203644841,9,connector_node
ruminococcus spp.,0.10932216662317336,1,0.0,2,-1.6192902627322676,1.0,3.999185625700041e-06,1,connector_node
eubacterium sp.,-0.1350666746251975,14,0.03896306422492805,0,1.288146232219797,0.0,0.2997274734420809,14,peripheral_node
ancalomicrobium spp.,0.08511547908495118,8,0.07527819479936503,1,1.156305723101905,1.0,0.00021466185536648678,8,connector_node
rhodocyclus tenuis,-0.24861477042103752,3,0.0593153708525586,1,-0.9370063618239575,1.0,0.0028847236729527843,4,connector_node
escherichia spp.,0.19804648870244285,3,0.0005711022272986865,4,1.118033988749895,1.0,-1.3370077756023474e-17,3,connector_node
rhodoplanes elegans,-0.1569719980077512,8,0.01656196459166191,2,0.026117584882778416,1.0,4.902270879310616e-05,8,connector_node
propionicimonas paludicola,-0.2168850677514433,1,0.00019389757396610623,3,-0.8845379626717031,0.75,0.03279577011134781,2,connector_node
rhodopseudomonas spp.,0.26874987925184995,1,0.0,3,-0.8845379626717031,1.0,0.000703492209667572,1,connector_node
pleomorphomonas spp.,-0.3940982868089616,8,0.29713240981114103,1,1.156305723101905,1.0,0.0038142659483092205,9,connector_node
caulobacter spp.,-0.28269956692209713,12,0.06268321833636883,0,0.8694987067483629,0.0,0.23598173564421815,12,peripheral_node
opitutus terrae,0.0591427047265529,2,0.0,9,0,1.0,-2.920711089744634e-17,2,connector_node
barnesiella viscericola,-0.10490635810099072,7,0.008731643871305232,1,0.7376433061167325,1.0,0.0005764492872964576,7,connector_node
pontibacter salisaro,-0.047817174327069834,4,0.0,1,-0.518343944838785,1.0,0.00020300259022835765,4,connector_node
phaeospirillum sp.,0.77140820787822,1,0.0,10,0,1.0,-3.5366802024648025e-18,1,connector_node
rhodopseudomonas pangongensis,-0.14151320262736594,12,0.016720005035093913,0,0.8694987067483629,0.0,0.2694285665093607,12,peripheral_node
prolixibacter spp.,0.0012225260537510002,5,0.08280018858086859,3,2.1092828340632925,0.9795918367346939,0.028097769556205746,7,connector_node
cloacibacterium normanense,0.11567250197848726,12,0.025691608355936008,2,0.9663506406628046,1.0,9.228759450725317e-05,14,connector_node
pleomorphomonas sp.,0.2227003389523764,1,0.2813468563821284,3,-0.8845379626717031,0.75,0.036824711424088837,4,connector_node
citrobacter spp.,0.40280499474764625,2,0.0,4,0.0,1.0,-2.3409454862251735e-17,2,connector_node
acidovorax caeni,-0.09709429736477856,8,0.0001288200512703804,2,0.026117584882778416,1.0,5.637682269944273e-05,8,connector_node
fibrobacter spp.,-0.346900680116897,6,0.19579565155862746,1,0.31898088913156,1.0,0.0004164167922375431,6,connector_node
chlorobium spp.,0.1207229774280679,6,0.008237112928158392,1,0.31898088913156,1.0,0.00020826200431203035,6,connector_node
inquilinus spp.,-0.15556026009242932,1,0.0,2,-1.6192902627322676,1.0,4.270218004212567e-06,1,connector_node
dechloromonas agitata,0.22497253770259584,12,0.025691608355936008,2,0.9663506406628046,1.0,9.228759450722636e-05,14,connector_node
acidovorax spp.,0.16804467562006578,12,0.0015925525179162011,2,0.9663506406628046,1.0,7.73724477579169e-05,12,connector_node
opitutus sp.,-0.14393052581108287,11,0.0685908286599405,0,0.6601749440126459,0.38265306122448983,0.245946219706647,14,peripheral_node
beijerinckia spp.,-0.7337756937873221,4,0.0,6,0,1.0,2.2142660016218394e-17,4,connector_node
rhodocyclus spp.,0.9532672013278548,2,0.03274319436512469,8,0,1.0,9.296532700224627e-06,3,connector_node
bradyrhizobium elkanii,0.4005661067752258,2,0.013509161374165789,3,-0.13608276348795423,1.0,6.285952186077611e-05,2,connector_node
ochrobactrum anthropi,-0.34544444884015113,10,0.041344895623827684,0,0.45085118127692897,0.17355371900826455,0.2342572869919765,11,peripheral_node
nitrospirillum azospirillum amazonense,-0.1375516833845332,9,0.0,0,0.24152741854121196,0.0,0.21075776896169632,9,peripheral_node
acinetobacter junii,0.07409759924450925,11,0.020108997508073833,2,0.7312923767177981,1.0,8.210317703726581e-05,12,connector_node
propionibacterium acnes,0.43201743737033443,2,0.0,9,0,1.0,-3.010249910662287e-17,2,connector_node
brevundimonas sp.,-0.08396536607097377,11,0.0007025383815555599,0,0.6601749440126459,0.0,0.24870344652435517,11,peripheral_node
rhizobium petrolearium,-0.17070130734246072,4,0.01656196459166191,0,-0.8050913951373729,0.0,0.07110710647671453,4,peripheral_node
escherichia vulneris,-0.18226528693674923,14,0.030315721923887023,0,1.288146232219797,0.0,0.29076183647268833,14,peripheral_node
brevundimonas spp.,-0.12009132496570281,11,0.0518375380779151,0,0.6601749440126459,0.15972222222222232,0.22110597818928193,12,peripheral_node
parabacteroides distasonis,0.9717638376069756,2,0.0,8,0,1.0,8.870617168511943e-07,2,connector_node
nitrobacter hamburgensis,-0.17146011342844988,1,0.0,0,-1.433062683344524,0.0,0.02041448793309553,1,peripheral_node
methylocystis heyerii,0.9054468232489163,2,0.0,8,0,1.0,8.870617168619786e-07,2,connector_node
pseudomonas veronii,-0.22659121339949834,12,0.01730523583986482,2,0.9663506406628046,1.0,7.421167707604414e-05,12,connector_node
stenotrophomonas spp.,0.20980155793422675,10,0.002772150004473668,2,0.49623411277279156,1.0,6.730680685022203e-05,10,connector_node
zoogloea sp.,0.21591345556336272,10,0.002772150004473668,2,0.49623411277279156,1.0,6.730680685024545e-05,10,connector_node
bordetella hinzii,0.29946845382409343,10,0.01819910646105431,2,0.49623411277279156,1.0,8.150354848114815e-05,12,connector_node
cytophaga spp.,-0.08025649051594573,13,0.029208303666720677,0,1.0788224694840798,0.1377551020408163,0.29571068676452145,14,peripheral_node
rhizobium straminoryzae,-0.02484018138726512,12,0.01446461829743892,0,0.8694987067483629,0.0,0.2519124422269068,12,peripheral_node
methanosaeta sp.,0.0368912603516126,3,0.0,5,0.2041241452319317,1.0,0.0112181433812801,3,connector_node
pontibacter korlensis,-0.20389370918331537,3,0.01656196459166191,1,-0.9370063618239575,1.0,0.00033000192322562693,3,connector_node
bacteroides fragilis,-0.06012918211111383,7,0.020600839713256113,1,0.7376433061167325,1.0,0.00027908515321747244,8,connector_node
sphingobium yanoikuyae,0.18289006320127096,12,0.004297334860503077,2,0.9663506406628046,1.0,8.387812352398375e-05,13,connector_node
rhodothermus spp.,0.1307058238163341,10,0.013733271362737935,0,0.45085118127692897,0.17355371900826455,0.22165499967533367,11,peripheral_node
rhodovibrio sodomensis,-0.07510552877550278,12,0.20578922871142444,0,0.8694987067483629,0.3599999999999999,0.2343612190563562,15,peripheral_node
rhizobium sp.,-0.3576868790050025,1,0.0,0,-1.433062683344524,0.0,0.0022349427924193933,1,peripheral_node
enterobacter sp.,0.15363250076391602,2,0.0,0,-1.223738920608807,0.0,0.04458723746117744,2,peripheral_node
gemmatimonas spp.,-0.14220476752540712,3,0.012685812776763549,3,0.6123724356957947,0.84,0.05264800422878307,5,connector_node
bacteroides caccae,0.3352872643653325,4,0.011741040486264086,2,-0.9141154708972479,1.0,2.5690122889929267e-05,4,connector_node
eubacterium rectale,-0.14719145401324613,1,0.0,0,-1.433062683344524,0.0,0.0061939222409367976,1,peripheral_node
citrobacter sp.,-0.014338171438855015,1,0.0,2,-1.6192902627322676,1.0,6.464351876388546e-06,1,connector_node
hydrogenophaga spp.,-0.21119137999137932,3,0.0,1,-0.9370063618239575,1.0,2.457537055125659e-05,3,connector_node
ochrobactrum intermedium,-0.18052278674808386,5,0.027679119591617778,0,-0.595767632401656,0.0,0.025657460479499596,5,peripheral_node
pseudochrobactrum kiredjianiae,0.0368912603516126,3,0.0,5,0.2041241452319317,1.0,0.01121814338128009,3,connector_node
steroidobacter spp.,0.24846081311337628,4,0.06465829050066628,5,1.2247448713915894,0.691358024691358,0.10634959153143145,9,connector_node
oligotropha carboxidovorans,0.018012774145604565,1,0.0,1,-1.7743311957943024,1.0,2.8745456721528168e-05,1,connector_node
salinibacter spp.,0.15528617755570226,4,0.04236782200831217,1,-0.518343944838785,1.0,8.119175696052131e-05,10,connector_node
pantoea agglomerans,-0.04121150869764974,8,0.008389673279663218,1,1.156305723101905,1.0,0.0006381398329345358,8,connector_node
