,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
paludibacter propionicigenes,connector_node,0.0068077186795964355,-1.819080844303033,1,2,0.75,0.0004810312856584864,0.15228306266549008,2
magnetospirillum sp.,connector_node,0.008987168184934856,1.1091956367701419,7,7,1.0,1.926158903812563e-05,-0.017082215815336928,2
rhodopseudomonas palustris,connector_node,0.0,-0.3549426037664456,4,4,1.0,4.419210013488341e-06,-0.034183761921993065,2
acetobacter spp.,connector_node,0.2388578705064159,-0.3549426037664456,4,5,0.96,0.00017388072150502235,-0.001777043185668428,2
bacteroides spp.,peripheral_node,0.03198158487608971,-1.2986597821765165,4,5,0.3599999999999999,0.006412549548761343,0.0771089190667319,0
afipia sp.,connector_node,0.005950631795474582,0.6211495565912795,6,6,1.0,7.68200566143191e-06,-0.2017578478094196,2
rhodoblastus acidophilus,connector_node,0.005093544911352729,0.6211495565912795,6,6,1.0,1.8933969879100555e-05,-0.20333917148559066,2
spirochaeta spp.,connector_node,0.021745518660005878,0.13310347641241693,5,5,1.0,2.0344227608391238e-05,-0.1351716724202849,2
citrobacter werkmanii,peripheral_node,0.0,-1.7010614048227608,2,2,0.0,0.0022366773744066305,-0.14534235643481816,0
pontibacter spp.,connector_node,0.03629150749338819,1.0897247358851683,11,12,1.0,1.9251197712767205e-05,-0.4498404740906484,1
pontibacter sp.,connector_node,0.0016162209814869234,0.8029550685469661,10,11,1.0,1.9077308984260324e-05,-0.4659018311020312,1
ruminococcus spp.,peripheral_node,0.23415613674209032,-1.7010614048227608,2,3,0.5555555555555556,0.002249660033943693,-0.18576492708570091,0
desulfovibrio mexicanus,peripheral_node,0.20692526202370462,-1.0974589708533942,5,5,0.0,0.023578265275922865,-0.12555721407513465,0
ancalomicrobium spp.,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.8992811218322307,9
rhodocyclus tenuis,connector_node,0.3175384464688021,1.5972417169490045,8,9,1.0,2.1310489960264856e-05,-0.07033629890717637,2
escherichia spp.,peripheral_node,0.0,-1.902262216145883,1,1,0.0,0.005661750631180977,-0.3252713335928954,0
rhodoplanes elegans,connector_node,0.005950631795474582,0.6211495565912795,6,6,1.0,7.68200566143191e-06,-0.12394314044060603,2
propionicimonas paludicola,peripheral_node,0.02747575668527771,-1.0974589708533942,5,5,0.0,0.05743796031846225,0.002148539351242299,0
rhodopseudomonas spp.,connector_node,0.13752571260652366,-0.2672612419124246,2,3,1.0,1.6877351709745733e-06,0.4580274376641382,3
pleomorphomonas spp.,connector_node,0.024831031442844553,1.0690449676496974,3,3,1.0,1.463348594049059e-07,0.2768542079753647,3
opitutus terrae,peripheral_node,0.00577921441865021,0.7133483310547061,14,14,0.0,0.24617939368828742,-0.31720496756236044,0
barnesiella viscericola,connector_node,0.23611519247722604,-0.8429886839453081,3,14,1.0,2.1806770321115717e-05,-0.25704866458994896,2
pontibacter salisaro,connector_node,0.01924772259770791,1.0897247358851683,11,12,1.0,1.924946233027424e-05,-0.4958983248460668,1
rhodopseudomonas pangongensis,connector_node,0.006317954745812524,1.0897247358851683,11,12,1.0,1.989000181182565e-05,-0.3570566253594631,1
enterobacter spp.,connector_node,0.05113135468704085,-0.2672612419124246,2,2,1.0,1.1929445114293587e-08,-0.4425512365375813,3
cloacibacterium normanense,peripheral_node,0.18562053090410416,0.9145491423778283,15,15,0.0,0.24781579061430853,-0.2600855252933174,0
clostridium sp.,connector_node,0.017631501616220985,-1.4912022701586514,2,2,1.0,1.9260443436153257e-06,-0.19788731765082634,1
pleomorphomonas sp.,connector_node,0.09065530414340289,2.4053511772118195,4,4,1.0,1.4724263348622397e-07,0.3869849844769321,3
bradyrhizobium sp.,connector_node,0.034675286511901264,-0.2672612419124246,2,2,1.0,9.840967385967939e-10,0.4283809675005683,3
fibrobacter spp.,connector_node,0.0002448819668919581,-0.3441236008058427,6,7,1.0,1.2680958816949159e-05,-0.32007286364947035,1
chlorobium spp.,connector_node,0.01150945244392203,-1.3310347641241707,2,2,1.0,3.740697374978248e-05,-0.042623292405170286,2
desulfovibrio desulfuricans,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.2916278190053547,8
bradyrhizobium yuanmingense,connector_node,0.0,-1.0,1,1,1.0,1.1198737194527931e-08,0.9720893152637194,5
bradyrhizobium spp.,connector_node,0.0,-0.6308932681440449,5,5,1.0,9.00166149258232e-06,-0.5306796391988822,1
rhodopseudomonas sp.,connector_node,0.0,-1.0,1,1,1.0,1.1162797030235318e-07,0.43497247448913323,5
inquilinus spp.,connector_node,0.009256538348516016,-0.2672612419124246,2,2,1.0,1.2011067804850945e-08,0.5507367216345808,3
dechloromonas agitata,peripheral_node,0.0,0.10974589708533931,11,11,0.0,0.21546128722903718,-0.39886757313270227,0
acidovorax spp.,peripheral_node,0.017631501616220985,-1.0974589708533942,5,5,0.0,0.07591642188711613,-0.3844400385461719,0
rhodocyclus spp.,connector_node,0.0002938583602703497,-0.2672612419124246,2,2,1.0,1.961536162712442e-09,0.45484685788563783,3
clostridium spp.,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.2916278190053547,8
acinetobacter junii,peripheral_node,0.00577921441865021,0.7133483310547061,14,14,0.0,0.24617939368828742,-0.31720496756236044,0
brevundimonas sp.,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.8799253048254436,9
rhizobium petrolearium,connector_node,0.0,-1.7779719374968537,1,1,1.0,1.9117175830067706e-07,-0.39066235316146314,1
escherichia vulneris,connector_node,0.017631501616220988,1.0,2,2,1.0,1.1274177290737414e-07,0.7522160964719925,5
brevundimonas spp.,connector_node,0.017631501616220985,-0.2672612419124246,2,2,1.0,8.281796707795743e-11,0.1513179170241675,3
delftia sp.,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
pseudomonas veronii,connector_node,0.002938583602703495,0.5161854012087639,9,10,1.0,1.774432202883815e-05,-0.7701853651183074,1
stenotrophomonas spp.,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
zoogloea sp.,connector_node,0.0,0,3,3,1.0,2.288807241988885e-21,0.5420866512965853,6
rhizobium straminoryzae,connector_node,0.0002938583602703497,1.4142135623730951,2,2,1.0,3.524681613053218e-29,-0.7819370232056438,7
pontibacter korlensis,connector_node,0.00019590557351356646,0.5161854012087639,9,10,1.0,1.8073385723557178e-05,-0.39948297905325353,1
bacteroides fragilis,connector_node,0.06699970614163975,-0.6308932681440449,5,7,1.0,1.1153885158375683e-05,-0.3828704798823002,1
sphingobium yanoikuyae,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
rhodothermus spp.,connector_node,0.0,-1.6035674514745466,1,1,1.0,7.064882521371635e-12,0.18262007035866923,3
rhodovibrio sodomensis,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
rhizobium sp.,connector_node,0.002938583602703495,0.5161854012087639,9,10,1.0,1.774432202883815e-05,-0.7701853651183074,1
gemmatimonas spp.,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
bacteroides caccae,connector_node,0.0,-0.7071067811865474,1,1,1.0,2.4923262701134693e-29,-0.9194169229705068,7
citrobacter sp.,connector_node,0.05171907140758156,1.0,2,3,1.0,1.1257370031636228e-06,0.4444656347547833,5
rhodovibrio spp.,connector_node,0.0,0,1,1,1.0,3.330652895949439e-32,0.9271309779337102,11
pseudochrobactrum kiredjianiae,connector_node,0.0,-1.7779719374968537,1,1,1.0,1.9068687675222943e-06,-0.4047877377441725,1
steroidobacter spp.,peripheral_node,0.0028210402585953556,0.7133483310547061,14,14,0.0,0.2668314485757773,-0.5765171203693347,0
salinibacter spp.,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
streptococcus sanguinis,peripheral_node,0.0,0.10974589708533931,11,11,0.0,0.21546128722903718,-0.39886757313270227,0
porphyromonas spp.,connector_node,0.0,0,6,6,1.0,1.2852244284354525e-12,-0.955501220367199,4
sphingobacterium spp.,connector_node,0.008081104907434617,-0.2672612419124246,2,2,1.0,1.1935365324095432e-08,0.15516067886308893,3
hartmannibacter stappia sp.,connector_node,0.002938583602703495,0.5161854012087639,9,10,1.0,1.774432202883815e-05,-0.7701853651183074,1
