,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
opitutus spp.,connector_node,0.07702347605708958,0.3181818181818181,8,8,1.0,0.00016159939080334778,-0.16265260128489908,1
paludibacter propionicigenes,connector_node,0.0014814141162447295,-1.3341029341670156,2,2,1.0,0.0012089076777234574,0.6095023359586612,2
magnetospirillum sp.,peripheral_node,0.11648631113318327,-1.1193572629599386,2,3,0.5555555555555556,0.02658108680120372,-0.1152411471931998,0
rhodopseudomonas palustris,peripheral_node,0.019024291715731296,0.6326801921077915,11,11,0.0,0.1845712575644163,0.14238243602670622,0
acetobacter spp.,connector_node,0.006674900865809599,0.9221005574389669,12,12,1.0,0.01396971390481084,0.25247680253484195,2
bacteroides spp.,connector_node,0.4476376161594242,0.9221005574389669,12,14,0.9948979591836735,0.01634717127392543,0.16152459097424454,2
pleomorphomonas oryzae,connector_node,0.0033714596949891065,-0.8636363636363639,4,4,1.0,9.127650756876626e-06,-0.06888786635145519,1
afipia sp.,peripheral_node,0.0,-1.3140280913007976,1,1,0.0,0.015210262533248019,-0.18299321931482335,0
citrobacter werkmanii,connector_node,0.00784313725490196,0.9090909090909092,10,10,1.0,4.943115326353715e-05,-0.7427604738017658,1
pontibacter spp.,connector_node,0.022022860426221726,0.9221005574389669,12,12,1.0,0.013514286945847569,0.13498482742206433,2
pontibacter sp.,connector_node,0.012101965638006274,0.9221005574389669,12,12,1.0,0.013987331789647301,0.16839763639607327,2
ruminococcus spp.,connector_node,0.001810279667422525,-0.2727272727272729,6,6,1.0,5.3031723991881245e-05,-0.16432287210275479,1
eubacterium sp.,peripheral_node,0.016802299558202494,1.411363505471227,15,15,0.0,0.2853806242298842,-0.3537537845023767,0
desulfovibrio mexicanus,connector_node,0.05909430438842206,1.2626716210644433,9,9,1.0,2.1581000758966175e-06,-0.12567425071593227,4
ancalomicrobium spp.,connector_node,0.0008403361344537815,-1.4545454545454548,2,2,1.0,6.106747162645626e-06,-0.25641392431530863,1
rhodocyclus tenuis,connector_node,0.0,-1.118033988749895,1,1,1.0,8.110699509471768e-05,0.17192593138342954,5
escherichia spp.,connector_node,0.41666666666666663,-1.1590909090909094,3,4,1.0,0.0013897214556078674,-0.2512170765287828,1
rhodoplanes elegans,connector_node,0.0,-0.6799001036500851,5,5,1.0,4.844459946150888e-07,0.04893304522797274,4
propionicimonas paludicola,connector_node,0.0,0.21811193349741448,11,11,1.0,0.0007536543617867153,-0.7443650332223783,3
rhodopseudomonas spp.,connector_node,0.0,-1.118033988749895,1,1,1.0,0.0004264584498698467,0.4779495797287637,5
pleomorphomonas spp.,peripheral_node,0.0,-0.9246864346190798,3,3,0.0,0.02746375728894865,0.029548873114714484,0
caulobacter spp.,peripheral_node,0.03843104224877736,1.411363505471227,15,15,0.0,0.2720783960682868,-0.29734854052801213,0
barnesiella viscericola,connector_node,0.01142610555038147,0.9221005574389669,12,12,1.0,0.014048220810289357,0.10109137802062675,2
pontibacter salisaro,connector_node,0.37918662470781983,0.4708598591177704,10,11,0.9917355371900827,0.030857684267653795,0.07561779409242708,2
phaeospirillum sp.,peripheral_node,0.024837054180581727,0.04866770708521473,8,8,0.0,0.13406360918417756,-0.1426891090794706,0
rhodopseudomonas pangongensis,peripheral_node,0.018150331147999736,1.606034333812086,16,16,0.0,0.2992482118232902,-0.37840967759982963,0
enterobacter spp.,connector_node,0.0,-1.559723283327614,1,1,1.0,0.00025651136214839315,0.60586314919717,2
prolixibacter spp.,connector_node,0.015367819855214812,0.0,2,3,0.8888888888888888,0.005142458469219659,0.6783452977377742,5
cloacibacterium normanense,connector_node,0.28490296118447356,2.0909090909090913,14,15,1.0,0.0001886778568782429,-0.55521019262522,1
rhodopseudomonas rhenobacensis,connector_node,0.06154850829220578,0.3181818181818181,8,8,1.0,0.00016380030051485798,-0.14287949516427553,1
pleomorphomonas sp.,connector_node,0.01764705882352941,1.118033988749895,3,4,0.9375,0.0009842056092983858,0.486208698425592,5
citrobacter spp.,connector_node,0.0,0.3181818181818181,8,8,1.0,4.535696534039575e-05,-0.7851703988069636,1
bradyrhizobium sp.,connector_node,0.032034486521881476,1.118033988749895,3,4,0.9375,0.005174926652001391,0.6576229140632003,5
acidovorax caeni,connector_node,0.0,-0.6799001036500851,5,5,1.0,4.844459946150888e-07,0.20858943675746353,4
fibrobacter spp.,connector_node,0.007054796413772372,1.147720906599565,13,13,1.0,0.014731166222459641,0.2770777462963662,2
chlorobium spp.,connector_node,0.015045196528012983,-0.4316215375246227,6,6,1.0,0.0061360358500754724,0.5554930707296991,2
bradyrhizobium yuanmingense,connector_node,0.021211262282690855,1.5000000000000002,12,12,1.0,6.495151083232111e-05,-0.5362505006213633,1
inquilinus spp.,connector_node,0.0010643387176661767,0.2452395099571721,9,9,1.0,0.010123928426746578,0.04938883725685314,2
dechloromonas agitata,connector_node,0.005469298830643367,0.3181818181818181,8,8,1.0,6.07238862686359e-05,-0.16168907512811773,1
acidovorax spp.,connector_node,0.052705415499533136,-0.19425717247145302,6,7,1.0,4.87588432521062e-06,-0.14287480040081363,4
opitutus sp.,peripheral_node,0.38186518354834037,0.6326801921077915,11,12,0.15972222222222232,0.2348243548654536,-0.3373478059797509,0
methylocella palustris,connector_node,0.03305322128851541,1.0,2,2,1.0,0.0004078284630526009,-0.8619109294507162,6
beijerinckia spp.,connector_node,0.0,0.022727272727272648,7,7,1.0,2.6662198692627628e-05,-0.740608180241779,1
rhodocyclus spp.,connector_node,0.0,-1.0,1,1,1.0,2.7885882377556426e-06,-0.48134451782700954,6
bradyrhizobium elkanii,connector_node,0.016666666666666666,1.0,2,2,1.0,3.383846455578264e-05,-0.7461037632465559,6
ochrobactrum anthropi,peripheral_node,0.012121210026870563,1.411363505471227,15,15,0.0,0.27571537500367915,-0.4045290751839539,0
nitrospirillum azospirillum amazonense,peripheral_node,0.10674812067794466,1.411363505471227,15,15,0.0,0.2052259837224318,-0.2016963095231381,0
acinetobacter junii,connector_node,0.05343137254901974,-0.5681818181818183,5,6,1.0,3.7141964190625645e-05,-0.13493289739861394,1
propionibacterium acnes,connector_node,0.09160597572362272,-2.1368288971859815,2,3,1.0,1.6132282954551724e-05,-0.2697111809287641,4
brevundimonas sp.,peripheral_node,0.033902420445257105,1.8007051621529448,17,17,0.0,0.30318157980557536,-0.38311111307963175,0
rhizobium petrolearium,peripheral_node,0.0020374695332678527,-1.1193572629599386,2,3,0.5555555555555556,0.0015445047723309751,-0.16877589132858303,0
escherichia vulneris,peripheral_node,0.050537910526201046,1.8007051621529448,17,17,0.0,0.26462028358983375,-0.2575752194724538,0
brevundimonas spp.,peripheral_node,0.001409914984446944,0.43800936376693256,10,10,0.0,0.18214596434273944,-0.25672960292000474,0
parabacteroides distasonis,connector_node,0.007054796413772372,1.147720906599565,13,13,1.0,0.014731166222459641,0.2324425350206864,2
nitrobacter hamburgensis,peripheral_node,0.0,-1.3140280913007976,1,1,0.0,0.004634893024255094,-0.26311643603159085,0
methylocystis heyerii,connector_node,0.0,0.21811193349741448,11,11,1.0,0.0007536543617867153,-0.7582952304811734,3
micrococcus luteus,connector_node,0.0010500867013472051,-0.8636363636363639,4,4,1.0,2.6680180246506054e-05,-0.18380145620785704,1
delftia sp.,connector_node,0.0009103641456582632,0.7770286898858112,8,8,1.0,9.295696905011755e-07,-0.06446280733875426,4
rhodobacter capsulatus,connector_node,0.0,0.21811193349741448,11,11,1.0,0.0007536543617867153,-0.7582952304811734,3
pseudomonas veronii,connector_node,0.0038383131030189925,-0.5681818181818183,5,5,1.0,2.5592575558992683e-05,0.1522312593818313,1
