otu name	16rRNA	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	Olin1	Olin2	Olin3	Olin4	Olin5	Olin6	Olin7	Olin8	Olin9	Olin10	Olin11	Olin12	Olin13	Olin14	Olin15	Olin16	Olin17	Olin18	Olin19	Olin20	Olin21	Olin22	Olin23	Olin24	Olin25	Olin26	Olin27	Olin28	Olin29	Olin30	Olin31	Olin32	Olin33	Olin34	Olin35	Olin36	Olin37	Olin38	Olin39	Olin40	Olin41	Olin42	Olin43	Olin44	Olin45	Olin46	Olin47	Olin48	Olin49	Olin50	Olin51	Olin52	Olin53	Olin54	Olin55	Olin56	Olin57	Olin58	Olin59	Olin60	Olin61	Olin62	Olin63	Olin64	Olin65	Olin66	Olin67	Olin68	Olin69	Olin70	Olin71	Olin72	Olin73	Olin74	Olin75	Olin76	Olin77	Olin78	Olin79	Olin80	Olin81	Olin82	Olin83	Olin84	Olin85	Olin86	Olin87	Olin88	
OTU_1	eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__magnetospirillum;s__magnetospirillum sp.;superkingdom__bacteria	100	0	711.813611822971			6	11	13	20	18	30	59	94	36	89	30	15	16	7	15	82	88	23	25	12	12	4	38	34	52	5	8	7	10	13	69	63	77	42	39	12	16	19	38	31	31	3	22	45	23	30	33	18	5	4	8	28	23	0	0	1	1	3	2	38	0	0	32	30	46	6	27	45	1	14	10	9	6	9	6	3	1	2	4	11	19	25	22	16	16	6	5	4	
OTU_2	uncultured opitutus sp. ;k__bacteria;p__verrucomicrobia;c__opitutae;o__opitutales;f__opitutaceae;g__opitutus;s__opitutus spp.;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	96.969696969697	0	661.319285391857			17546	18302	32674	9700	4428	12766	1179	2121	1224	2216	15446	22216	6927	9794	10329	2054	1681	25011	21224	5375	5177	3760	945	742	2023	13067	13340	3191	5961	6060	2633	2345	2937	16708	15848	26573	25968	35296	21662	26784	20862	10566	24878	13480	17081	21216	17399	24527	19921	19616	18845	25233	14729	45	14849	14128	12561	11609	7390	10692	12902	6896	7112	6869	8322	13093	10139	7693	9792	21106	39348	23763	25159	15111	24470	34872	33561	22189	11996	31216	17838	12257	19679	16779	15614	2107	42046	56298	
OTU_3	rhodopseudomonas palustris ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__rhodopseudomonas;s__rhodopseudomonas palustris;superkingdom__bacteria	99.4936708860759	0	704.600136618526			3169	3033	4495	3455	2142	2717	756	1293	714	530	3138	4601	1522	2083	1888	715	937	3633	1919	2399	3849	1881	254	247	549	2952	2110	1502	1202	2636	1464	1495	1298	1552	1328	3331	3828	7116	1334	1432	1115	597	1315	1729	2759	2600	861	925	3918	6140	3456	1064	830	9	2426	1821	4906	7547	3593	1001	7783	5739	424	610	599	801	639	414	993	2016	1433	1514	1250	1272	3008	1979	2067	2374	1785	1073	4207	1275	2274	4900	2027	1140	3192	2086	
OTU_4	ay297802.1 waterlogged archaeological wood clone pach82  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__methylocystaceae;g__pleomorphomonas;s__pleomorphomonas oryzae;superkingdom__bacteria	99.492385786802	0	702.796767817415			5243	3526	4658	29020	18697	29632	3724	5802	3281	6647	2475	5861	65195	58453	62564	8444	9214	5526	3808	35675	42014	39716	1417	1296	3601	4545	4121	12377	14378	29203	5878	4658	5997	12612	6432	23539	28539	28814	14278	20531	15602	5007	15282	10011	10033	19739	14969	17724	27367	27639	34537	18452	15174	67	16938	16987	23663	17761	16951	9510	7429	4551	8560	7179	6226	4660	7512	4111	10400	21570	21360	19999	29446	7436	27375	29348	27454	13616	24846	17928	19104	11308	11368	26958	15939	3121	30080	23869	
OTU_5	rhodoblastus acidophilus ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__rhodoblastus;s__rhodoblastus acidophilus;superkingdom__bacteria	99.746835443038	0	708.206874220749			3809	1128	1313	1001	758	999	608	736	360	309	1989	3024	1261	1350	1164	349	429	2419	1540	1871	1257	1666	233	181	302	1956	869	4174	2493	4494	1177	611	815	943	798	7699	3374	8384	4546	7792	7484	1123	2027	3468	9138	4099	7470	8590	6341	6504	5272	7619	5866	18	3723	4327	3236	10467	1954	4654	3031	2546	1086	923	1287	48631	12606	12295	2062	3568	2621	56349	20805	41872	7346	3789	4428	29340	12847	17129	22577	7156	26149	9243	2211	1368	13865	5190	
OTU_6	eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__magnetospirillum;s__magnetospirillum sp.;superkingdom__bacteria	99.746192893401	0	706.403505419638			9546	13226	18642	22919	17614	26890	81683	91515	55775	92462	23944	15878	8393	11258	12172	95217	97059	20226	27774	10890	8694	3606	32920	37103	60037	5608	6964	9008	9736	12267	90129	66115	92018	44735	56886	15430	12867	19928	50067	34742	34250	3899	14414	40673	26589	40337	36904	17860	5712	3832	4371	22157	18438	75	970	1081	2596	1446	1106	39492	1535	5674	40081	44125	58103	2578	31297	47813	965	8503	5516	9500	3636	5900	3122	3349	3948	3831	3184	11193	17951	26464	27195	17786	31737	6777	3955	3747	
OTU_7	af025373.1 citrobacter werkmanii str. cdc 0876_58  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacteriales;f__enterobacteriaceae;g__citrobacter;s__citrobacter werkmanii;superkingdom__bacteria	100	0	715.420349425194			1830	13726	26926	19167	16826	10141	574	536	342	243	6587	22043	512	1029	2274	351	389	4882	2085	486	637	358	130	83	217	1844	1778	149	328	380	363	238	418	3335	7702	1351	353	582	4952	10747	7401	2300	5697	288	301	417	12759	18478	481	307	377	11669	5732	71	6958	8323	257	265	160	966	2000	876	2672	4127	5853	3057	5686	16845	1875	5312	5827	11210	10393	3859	5316	4719	6523	5505	11878	13053	4030	4011	4750	4546	716	1303	3135	9704	
OTU_8	uncultured bacteroides sp. ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__bacteroidaceae;g__bacteroides;s__bacteroides spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.7455470737914	0	704.600136618526			1913	786	1695	941	373	487	482	639	557	254	1043	2645	639	744	770	298	266	3758	3092	1280	2027	1555	87	165	250	8430	8731	497	828	2950	330	882	659	6255	5182	1184	1731	952	227	328	264	4020	11625	2872	3564	2986	406	1167	20216	21711	26394	836	992	26	27890	48458	41225	22831	21004	5120	19404	8495	2689	1299	2436	976	297	278	12711	23268	35308	3780	9532	8579	66777	35764	36097	6744	19340	17546	8331	15479	16778	68697	35174	82	3728	1787	
OTU_9	eubacterium sp. oral clone ji012 ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__eubacteriaceae;g__eubacterium;s__eubacterium sp.;superkingdom__bacteria	84.0616966580977	2.2124747752039e-115	419.667866042956			321	282	357	202	204	220	302	388	224	242	14705	11055	135	134	142	240	278	23966	32521	121	91	80	112	94	143	4856	5427	53	88	101	234	189	247	21535	14501	495	266	2622	191	169	331	7687	39936	18417	42580	22087	336	368	19269	33186	25329	4305	38514	39	511	401	1157	701	1289	18717	398	351	4036	4714	4185	1492	6159	2470	789	4424	6726	3743	22806	11157	2787	2274	5581	9924	1058	21067	6274	418	1620	319	473	13	70	65	
OTU_10	uncultured pontibacter sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__pontibacter;s__pontibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	85.5329949238579	1.58729898208769e-123	446.718398059624			1329	288	856	143	363	822	294	228	256	285	272	4432	427	315	371	418	292	290	141	76	430	352	65	338	1137	1410	1309	141	391	725	1242	5626	4150	1804	1410	223	1031	323	189	1324	78	274	5056	260	718	452	240	601	2424	2305	4938	793	1050	5	3900	1942	13432	12877	8319	655	1895	1704	682	156	516	293	74	72	3203	842	4900	12608	8931	2548	5855	3639	2839	5341	18078	11496	12691	5939	7273	4891	5905	580	3615	1250	
